,QP,DR,DL,AR,AL,RR,RL,LR,LL,phi
0,-35.0,230.9+/-2.0,1181+/-6,1186+/-6,263+/-5,244.7+/-2.0,1205+/-11,1160+/-5,217+/-4,-0.777+/-0.004
1,-33.1578947368421,65.7+/-2.2,1406+/-8,1385+/-8,73.4+/-2.4,555+/-6,920+/-6,910+/-15,506+/-7,-1.289+/-0.007
2,-31.315789473684212,60.8+/-2.6,1472+/-12,1466+/-11,46.0+/-1.5,929+/-8,600+/-5,570.9+/-2.5,878+/-8,-1.792+/-0.004
3,-29.473684210526315,223+/-6,1346+/-14,1341+/-13,188+/-4,1289+/-13,286+/-4,287+/-7,1240+/-4,-2.281+/-0.006
4,-27.63157894736842,496+/-5,1102+/-4,1080+/-11,446+/-4,1494+/-5,94+/-4,96.9+/-1.5,1436+/-11,-2.717+/-0.004
5,-25.789473684210527,791+/-10,786+/-8,763+/-7,732+/-12,1527+/-16,39.3+/-1.8,41.1+/-1.3,1519+/-5,-3.133+/-0.006
6,-23.94736842105263,1106+/-8,495+/-7,475+/-7,1054+/-9,1441+/-11,116.3+/-3.3,117.5+/-1.2,1474+/-9,2.724+/-0.005
7,-22.105263157894736,1344+/-9,263+/-4,260+/-6,1270+/-13,1279+/-6,282.6+/-2.9,278.1+/-3.3,1344+/-13,2.349+/-0.006
8,-20.263157894736842,1460+/-9,117.73+/-0.29,99.8+/-2.9,1446+/-14,1058+/-4,492+/-4,503+/-6,1125.3+/-2.1,1.9872+/-0.0034
9,-18.42105263157895,1542+/-8,56.5+/-1.3,47.1+/-1.7,1546+/-11,834+/-15,731+/-8,728+/-6,913+/-6,1.667+/-0.006
10,-16.578947368421055,1543+/-11,69.5+/-1.1,54.5+/-0.9,1549+/-16,620+/-7,972+/-5,961+/-11,699+/-9,1.367+/-0.005
11,-14.736842105263158,1493+/-13,140.3+/-3.5,118.6+/-3.1,1491+/-11,426+/-10,1191+/-7,1167+/-9,509+/-9,1.089+/-0.006
12,-12.894736842105264,1343+/-8,235+/-5,221+/-5,1367+/-10,266+/-5,1308+/-8,1317+/-16,330.6+/-1.5,0.838+/-0.006
13,-11.05263157894737,1250+/-8,365+/-4,343+/-7,1290+/-9,161.1+/-3.5,1461+/-11,1423+/-5,215.2+/-3.3,0.631+/-0.005
14,-9.210526315789473,1126+/-4,482+/-7,462.7+/-2.8,1143+/-5,91+/-4,1504+/-12,1480+/-5,148.2+/-2.8,0.450+/-0.004
15,-7.368421052631579,987+/-7,579+/-7,556+/-5,1036+/-5,60.3+/-2.4,1547+/-13,1492+/-10,97.6+/-2.5,0.299+/-0.004
16,-5.526315789473685,916+/-10,665+/-8,647+/-8,958+/-8,43.3+/-1.4,1546+/-11,1518+/-10,67.8+/-0.8,0.188+/-0.006
17,-3.684210526315791,850+/-6,744+/-5,716+/-9,901+/-5,36.1+/-2.2,1571+/-11,1537+/-5,54.3+/-2.3,0.096+/-0.004
18,-1.8421052631578974,805+/-7,760.4+/-2.9,714+/-6,875+/-9,32.6+/-1.3,1546+/-7,1506+/-7,47.9+/-2.1,0.069+/-0.004
19,0.0,788+/-5,790.4+/-2.6,763+/-7,819+/-6,36.3+/-1.1,1565+/-7,1519+/-8,43.5+/-1.9,0.0181+/-0.0035
