start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2023-07-21_13-24-46,2023-07-21_13-25-02,5,3,68.36054464285714,-25.194475446428555,3.997767857142857,-0.002200892857160852,45.00027275085449,9.13085937526148e-05,45.000248138427736,-0.002594970703114541,29935.4,32789.13333333334,0.0,11176.333333333334,1876.6666666666665,0.0,11.666666666666668,0.0,39.16551771364383,13.435690446634677,0.0,25.594487253660144,9.076832536126712,0.0,0.8299933065325821,0.0,
2023-07-21_13-25-02,2023-07-21_13-25-18,5,3,68.04664955357143,-25.194475446428555,3.997767857142857,-0.002200892857160852,45.00027275085449,9.13085937526148e-05,45.000248138427736,-0.002594970703114541,29309.06666666667,32215.666666666668,0.0,11345.2,1826.4,0.0,14.533333333333335,0.0,40.48887364312404,45.32610236448261,0.0,14.103821389175796,10.07218391853967,0.0,0.7423685817106692,0.0,
2023-07-21_13-25-18,2023-07-21_13-25-33,5,3,67.74279910714286,-25.194475446428555,3.997767857142857,-0.002200892857160852,45.00027275085449,9.13085937526148e-05,45.000248138427736,-0.002594970703114541,28735.0,31594.533333333336,0.0,11605.733333333334,1782.6,0.0,14.133333333333335,0.0,32.94406033128177,78.49392050060683,0.0,26.168556195047227,16.74694001900049,0.0,1.167142760000773,0.0,
2023-07-21_13-25-34,2023-07-21_13-25-49,5,3,67.40379241071427,-25.194475446428555,3.997767857142857,-0.002200892857160852,45.00027275085449,9.13085937526148e-05,45.000248138427736,-0.002594970703114541,28219.06666666667,30987.86666666667,0.0,11832.8,1744.6,0.0,13.466666666666665,0.0,33.7381090163629,32.87866582856809,0.0,17.583957334899257,11.32421201575533,0.0,1.5077577170531524,0.0,
2023-07-21_13-25-49,2023-07-21_13-26-05,5,3,67.102453125,-25.194475446428555,3.997767857142857,-0.002200892857160852,45.00027275085449,9.13085937526148e-05,45.000248138427736,-0.002594970703114541,27721.333333333336,30354.93333333333,0.0,12079.133333333333,1710.6666666666665,0.0,14.066666666666666,0.0,39.86128726248314,49.438558950591336,0.0,15.486409812764293,14.28402370949211,0.0,0.35590260840104376,0.0,
2023-07-21_13-26-05,2023-07-21_13-26-21,5,3,66.79860267857143,-25.194475446428555,3.997767857142857,-0.002200892857160852,45.00027275085449,9.13085937526148e-05,45.000248138427736,-0.002594970703114541,27250.533333333333,29978.333333333336,0.0,12314.133333333335,1677.3333333333333,0.0,15.0,0.0,65.99398962531878,41.13730396826929,0.0,20.460150971529327,17.927322412699798,0.0,0.5577733510227171,0.0,
2023-07-21_13-26-21,2023-07-21_13-26-36,5,3,66.47215178571427,-25.194475446428555,3.997767857142857,-0.002200892857160852,45.00027275085449,9.13085937526148e-05,45.000248138427736,-0.002594970703114541,26724.466666666664,29312.533333333333,0.0,12534.2,1640.3333333333333,0.0,12.933333333333334,0.0,46.947441061491574,31.93997843177424,0.0,29.589337418889205,11.350477229320955,0.0,0.8589399151150084,0.0,
2023-07-21_13-26-37,2023-07-21_13-26-52,5,3,66.14067857142857,-25.194475446428555,3.997767857142857,-0.002200892857160852,45.00027275085449,9.13085937526148e-05,45.000248138427736,-0.002594970703114541,26155.266666666666,28690.4,0.0,12744.933333333334,1603.3333333333335,0.0,13.266666666666666,0.0,53.74336134713675,44.23691269115003,0.0,57.751421338930314,8.555050490142609,0.0,1.1372481406154653,0.0,
2023-07-21_13-26-53,2023-07-21_13-27-08,5,3,65.82678348214286,-25.194475446428555,3.997767857142857,-0.002200892857160852,45.00027275085449,9.13085937526148e-05,45.000248138427736,-0.002594970703114541,25577.666666666664,28250.066666666662,0.0,12995.466666666667,1568.3333333333333,0.0,12.6,0.0,54.300910571452505,34.721815108724385,0.0,17.361707545310555,7.441624673267091,0.0,1.1469767022723503,0.0,
2023-07-21_13-27-09,2023-07-21_13-27-24,5,3,65.520421875,-25.194475446428555,3.997767857142857,-0.002200892857160852,45.00027275085449,9.13085937526148e-05,45.000248138427736,-0.002594970703114541,25157.8,27599.333333333332,0.0,13177.266666666668,1540.0,0.0,13.933333333333332,0.0,41.46961404316297,39.182904435480395,0.0,26.017387348549043,12.000925890206211,0.0,0.8393118874676112,0.0,
2023-07-21_13-27-25,2023-07-21_13-27-40,5,3,65.23414955357143,-25.194475446428555,3.997767857142857,-0.002200892857160852,45.00027275085449,9.13085937526148e-05,45.000248138427736,-0.002594970703114541,24649.06666666667,27117.0,0.0,13450.066666666666,1513.8666666666668,0.0,11.6,0.0,35.432470983548626,11.465891446663344,0.0,14.92514656544457,9.063725012990593,0.0,0.8653836657164781,0.0,
2023-07-21_13-27-41,2023-07-21_13-27-56,5,3,64.88258705357143,-25.194475446428555,3.997767857142857,-0.002200892857160852,45.00027275085449,9.13085937526148e-05,45.000248138427736,-0.002594970703114541,24103.533333333333,26643.13333333334,0.0,13600.466666666665,1453.8,0.0,13.8,0.0,53.01295439167101,18.271897061395165,0.0,22.38863799142568,7.686640647541962,0.0,0.5120763831912406,0.0,
2023-07-21_13-27-56,2023-07-21_13-28-12,5,3,64.60384821428572,-25.194475446428555,3.997767857142857,-0.002200892857160852,45.00027275085449,9.13085937526148e-05,45.000248138427736,-0.002594970703114541,23570.333333333336,26023.133333333335,0.0,13815.6,1410.0666666666668,0.0,12.4,0.0,19.457646311925764,31.785146775743556,0.0,44.86639425375446,4.662378982641577,0.0,1.2840906856172147,0.0,
2023-07-21_13-28-12,2023-07-21_13-28-28,5,3,64.26986383928572,-25.194475446428555,3.997767857142857,-0.002200892857160852,45.00027275085449,9.13085937526148e-05,45.000248138427736,-0.002594970703114541,23099.266666666666,25377.466666666667,0.0,14048.133333333335,1388.2,0.0,11.666666666666666,0.0,14.803678221607314,62.327325913723826,0.0,43.095578530620706,11.286471744723606,0.0,0.8027729719194864,0.0,
2023-07-21_13-28-28,2023-07-21_13-28-43,5,3,63.94090178571428,-25.194475446428555,3.997767857142857,-0.002200892857160852,45.00027275085449,9.13085937526148e-05,45.000248138427736,-0.002594970703114541,22560.933333333334,24846.666666666664,0.0,14269.933333333334,1344.6666666666665,0.0,12.933333333333332,0.0,57.7017619603884,81.09986984507967,0.0,20.890827333226095,14.36624129300665,0.0,0.8653836657164781,0.0,
2023-07-21_13-28-44,2023-07-21_13-28-59,5,3,63.61193973214285,-25.194475446428555,3.997767857142857,-0.002200892857160852,45.00027275085449,9.13085937526148e-05,45.000248138427736,-0.002594970703114541,22025.13333333334,24234.4,0.0,14525.866666666665,1318.8666666666666,0.0,12.066666666666666,0.0,38.995526808995685,49.03585989411787,0.0,39.30148428070719,8.901061110277203,0.0,0.4642796092394704,0.0,
2023-07-21_13-29-00,2023-07-21_13-29-15,5,3,63.29553348214285,-25.194475446428555,3.997767857142857,-0.002200892857160852,45.00027275085449,9.13085937526148e-05,45.000248138427736,-0.002594970703114541,21460.13333333333,23701.73333333333,0.0,14725.93333333333,1279.3333333333335,0.0,11.466666666666665,0.0,32.637163547778684,35.019899105127905,0.0,37.225648266872035,8.463647755745372,0.0,1.2409673645990855,0.0,
2023-07-21_13-29-16,2023-07-21_13-29-31,5,3,63.01930580357143,-25.194475446428555,3.997767857142857,-0.002200892857160852,45.00027275085449,9.13085937526148e-05,45.000248138427736,-0.002594970703114541,20997.799999999996,23189.933333333334,0.0,15011.2,1249.3333333333335,0.0,11.666666666666666,0.0,44.77146908963865,42.026235192370535,0.0,14.120749114532082,10.738301127790708,0.0,0.7958224257542215,0.0,
2023-07-21_13-29-32,2023-07-21_13-29-47,5,3,62.682810267857135,-25.194475446428555,3.997767857142857,-0.002200892857160852,45.00027275085449,9.13085937526148e-05,45.000248138427736,-0.002594970703114541,20439.733333333334,22590.200000000004,0.0,15167.4,1206.9333333333334,0.0,12.133333333333333,0.0,13.8429283992466,39.146959581102045,0.0,25.055139193387074,3.5891812746394,0.0,1.0143416036468627,0.0,
2023-07-21_13-29-48,2023-07-21_13-30-03,5,3,62.348825892857135,-25.194475446428555,3.997767857142857,-0.002200892857160852,45.00027275085449,9.13085937526148e-05,45.000248138427736,-0.002594970703114541,19895.733333333334,22009.466666666667,0.0,15441.066666666666,1174.0666666666668,0.0,11.933333333333334,0.0,32.57425704789339,44.85267240892387,0.0,14.855750850540497,3.3852621759621506,0.0,1.3012814197295424,0.0,
