,QP,DR,DL,AR,AL,RR,RL,LR,LL,phi
0,-15.0,1510+/-20,40.6+/-2.2,39.2+/-3.4,1487+/-17,591+/-8,908+/-4,863+/-9,689+/-5,1.404+/-0.005
1,-13.333333333333334,1433+/-14,98+/-4,74.8+/-2.9,1448+/-8,444+/-7,1067+/-12,1008+/-11,548+/-6,1.190+/-0.006
2,-11.666666666666666,1336+/-4,169+/-6,142.8+/-3.2,1413+/-13,308+/-5,1180+/-24,1167+/-12,395+/-11,0.977+/-0.009
3,-10.0,1275+/-6,265.0+/-3.3,214.8+/-2.8,1339+/-27,212+/-5,1330+/-11,1262+/-15,302+/-7,0.799+/-0.008
4,-8.333333333333332,1165+/-10,352+/-6,316+/-6,1250.6+/-2.2,148+/-9,1354+/-10,1295+/-18,231+/-8,0.656+/-0.006
5,-6.666666666666666,1092+/-17,426+/-7,360+/-10,1171+/-5,108.2+/-3.3,1416+/-16,1374+/-27,172.8+/-3.5,0.532+/-0.009
6,-5.0,1030+/-8,474+/-11,444+/-10,1135+/-25,69.6+/-2.6,1469+/-11,1421+/-15,122+/-5,0.433+/-0.009
7,-3.333333333333332,954+/-15,548+/-12,506+/-9,1070+/-10,54+/-5,1479+/-16,1427+/-8,102+/-6,0.339+/-0.008
8,-1.666666666666666,952+/-13,587+/-9,524+/-8,1041+/-14,48.6+/-0.9,1492+/-26,1449+/-9,81+/-4,0.304+/-0.008
9,0.0,929+/-12,606+/-9,522+/-11,1028+/-19,42.6+/-2.2,1490+/-12,1443+/-14,82+/-4,0.287+/-0.009
