start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2023-07-21_12-21-23,2023-07-21_12-21-28,5,1,61.98972991071428,-25.807198660714278,4.005301339285714,0.005332589285714284,44.999752044677734,0.0001218261718776148,0.00122851562497317,-0.002594970703114541,30551.8,22110.6,0.0,15620.2,13.8,0.0,908.2,0.0,58.48196303134839,79.69040092758978,0.0,32.00843638792748,1.9078784028338913,0.0,13.309395177843355,0.0,
2023-07-21_12-21-29,2023-07-21_12-21-34,5,1,62.871147321428566,-25.807198660714278,4.005301339285714,0.005332589285714284,44.999752044677734,0.0001218261718776148,0.00122851562497317,-0.002594970703114541,29158.6,23735.4,0.0,14941.2,11.0,0.0,860.4,0.0,77.2972185786785,70.05754777324138,0.0,37.976835044537346,0.8944271909999159,0.0,17.408618555186965,0.0,
2023-07-21_12-21-34,2023-07-21_12-21-40,5,1,63.76512053571428,-25.807198660714278,4.005301339285714,0.005332589285714284,44.999752044677734,0.0001218261718776148,0.00122851562497317,-0.002594970703114541,28025.8,25392.0,0.0,14257.2,12.6,0.0,796.6,0.0,95.71123236067959,52.633639433350986,0.0,71.2779068155063,0.7483314773547882,0.0,21.341508850125848,0.0,
2023-07-21_12-21-40,2023-07-21_12-21-46,5,1,64.64653794642857,-25.807198660714278,4.005301339285714,0.005332589285714284,44.999752044677734,0.0001218261718776148,0.00122851562497317,-0.002594970703114541,26863.8,26986.8,0.0,13577.0,11.4,0.0,781.4,0.0,82.47508714757444,65.52358354058484,0.0,33.86443562205045,0.9273618495495702,0.0,7.833262411026455,0.0,
2023-07-21_12-21-46,2023-07-21_12-21-51,5,1,65.54302232142857,-25.807198660714278,4.005301339285714,0.005332589285714284,44.999752044677734,0.0001218261718776148,0.00122851562497317,-0.002594970703114541,25624.0,28493.0,0.0,13084.8,10.8,0.0,758.2,0.0,46.23959342381808,45.33321078414808,0.0,26.86149660759802,1.7146428199482247,0.0,10.056838469419699,0.0,
2023-07-21_12-21-52,2023-07-21_12-21-57,5,1,66.42695089285714,-25.807198660714278,4.005301339285714,0.005332589285714284,44.999752044677734,0.0001218261718776148,0.00122851562497317,-0.002594970703114541,24248.6,30182.6,0.0,12454.2,12.0,0.0,689.2,0.0,102.29594322357069,66.0701142726422,0.0,65.5083200822613,0.5477225575051661,0.0,11.926441212700459,0.0,
2023-07-21_12-21-58,2023-07-21_12-22-03,5,1,67.30334598214286,-25.807198660714278,4.005301339285714,0.005332589285714284,44.999752044677734,0.0001218261718776148,0.00122851562497317,-0.002594970703114541,23166.8,31667.2,0.0,11815.2,10.0,0.0,681.8,0.0,84.34951096479456,69.59554583448569,0.0,37.33952329636789,1.5811388300841895,0.0,11.213384859176108,0.0,
2023-07-21_12-22-04,2023-07-21_12-22-09,5,1,68.20485267857143,-25.807198660714278,4.005301339285714,0.005332589285714284,44.999752044677734,0.0001218261718776148,0.00122851562497317,-0.002594970703114541,21817.8,33195.4,0.0,11117.8,12.2,0.0,623.8,0.0,77.13650238376121,66.99746263852086,0.0,30.903721458749914,2.2226110770892866,0.0,8.175573374387879,0.0,
2023-07-21_12-22-09,2023-07-21_12-22-15,5,1,69.09380357142857,-25.807198660714278,4.005301339285714,0.005332589285714284,44.999752044677734,0.0001218261718776148,0.00122851562497317,-0.002594970703114541,20579.0,34834.8,0.0,10466.6,12.8,0.0,581.4,0.0,14.328293687665674,107.355670553539,0.0,58.74912765309796,1.5937377450509227,0.0,5.259277516921881,0.0,
2023-07-21_12-22-15,2023-07-21_12-22-21,5,1,69.99028794642857,-25.807198660714278,4.005301339285714,0.005332589285714284,44.999752044677734,0.0001218261718776148,0.00122851562497317,-0.002594970703114541,19416.4,36361.8,0.0,9710.0,10.6,0.0,545.4,0.0,25.962665502602,63.402208163438594,0.0,54.87895771604996,1.4,0.0,6.305553108173778,0.0,
