,QP,DR,DL,AR,AL,RR,RL,LR,LL,phi
0,-20.0,1394+/-10,234+/-9,179+/-9,1378+/-6,372+/-10,1277+/-21,1153+/-15,403+/-7,0.959+/-0.009
1,-19.210526315789473,1358+/-16,293+/-4,238+/-12,1306+/-24,280+/-8,1332+/-8,1215+/-6,311+/-10,0.828+/-0.008
2,-18.42105263157895,1275+/-12,384+/-7,310+/-7,1235+/-15,212+/-4,1392+/-15,1298+/-16,243+/-9,0.682+/-0.008
3,-17.63157894736842,1203+/-18,459+/-10,354+/-6,1156+/-7,166+/-5,1486+/-11,1359+/-14,200+/-4,0.558+/-0.008
4,-16.842105263157894,1098+/-15,534+/-9,448+/-14,1085+/-12,124+/-6,1509+/-14,1415+/-11,150+/-5,0.425+/-0.008
5,-16.05263157894737,1053+/-12,634+/-5,521+/-6,1010+/-23,89+/-6,1524+/-26,1468+/-10,133+/-6,0.317+/-0.009
6,-15.263157894736842,925+/-7,711+/-9,601+/-9,916+/-12,64+/-8,1528+/-23,1489+/-13,111.6+/-3.4,0.184+/-0.007
7,-14.473684210526315,862+/-9,793+/-13,688+/-12,823+/-13,64.6+/-1.7,1536+/-15,1495+/-22,101.6+/-2.7,0.071+/-0.008
8,-13.68421052631579,773+/-10,877+/-12,776+/-15,757+/-8,59+/-4,1555+/-19,1488+/-27,109.2+/-2.2,-0.042+/-0.008
9,-12.894736842105264,716+/-12,930+/-14,832+/-16,701+/-14,64+/-5,1531+/-8,1502+/-13,108.4+/-2.9,-0.120+/-0.010
10,-12.105263157894736,641+/-5,1005+/-12,904+/-12,590+/-7,75.8+/-2.0,1528+/-5,1489+/-24,118.8+/-2.3,-0.236+/-0.007
11,-11.31578947368421,567+/-15,1067+/-15,968+/-9,567+/-4,102+/-5,1484+/-10,1499+/-29,148+/-5,-0.318+/-0.008
12,-10.526315789473685,515+/-6,1146+/-7,1019+/-5,514+/-9,115.2+/-3.4,1477+/-14,1414+/-19,162+/-6,-0.410+/-0.006
13,-9.736842105263158,465+/-10,1167+/-15,1088+/-7,453+/-15,153.8+/-3.3,1397+/-20,1434+/-12,191+/-9,-0.493+/-0.009
14,-8.947368421052632,416+/-10,1237+/-21,1124+/-31,410+/-5,178+/-5,1401+/-27,1408+/-17,200.8+/-3.1,-0.563+/-0.013
15,-8.157894736842104,380+/-4,1258+/-10,1173+/-13,372+/-12,206+/-7,1368+/-26,1405+/-19,238+/-4,-0.625+/-0.009
16,-7.368421052631579,342+/-8,1274+/-21,1193+/-17,328+/-6,234+/-9,1306+/-16,1370+/-16,271+/-4,-0.692+/-0.010
17,-6.578947368421053,308+/-8,1329+/-32,1249+/-8,304+/-5,240+/-11,1292+/-7,1335+/-11,298+/-4,-0.755+/-0.010
18,-5.789473684210526,280+/-9,1356+/-14,1245+/-15,286+/-7,278+/-7,1266+/-14,1308+/-9,313+/-5,-0.798+/-0.008
19,-5.0,260+/-7,1355+/-5,1294+/-15,270+/-6,301+/-5,1258+/-17,1287+/-17,342+/-5,-0.839+/-0.008
