,QP,DR,DL,AR,AL,RR,RL,LR,LL,phi
0,-20.0,221+/-6,1242+/-18,1352+/-18,252+/-7,1278+/-15,243+/-12,310+/-8,1251+/-24,0.8206+/-0.010
1,-19.63157894736842,253+/-4,1204+/-13,1279+/-19,271+/-8,1317+/-8,210+/-11,276+/-5,1293+/-16,0.7446+/-0.008
2,-19.263157894736842,285+/-8,1153+/-11,1280+/-17,296+/-11,1322+/-7,171+/-8,242.6+/-3.4,1332+/-29,0.6906+/-0.009
3,-18.894736842105264,342+/-9,1124+/-11,1238+/-14,356+/-7,1376+/-17,166.6+/-2.4,200+/-8,1350+/-22,0.6146+/-0.008
4,-18.526315789473685,359+/-6,1100+/-14,1211+/-24,380+/-8,1385+/-10,127+/-4,193+/-5,1398+/-15,0.5676+/-0.009
5,-18.157894736842106,400+/-4,1066+/-6,1145+/-17,413+/-6,1406+/-25,109+/-4,159+/-4,1410+/-8,0.516+/-0.007
6,-17.789473684210527,434+/-8,1009+/-12,1152+/-16,456+/-9,1421+/-23,106+/-6,138+/-6,1411+/-8,0.4566+/-0.008
7,-17.42105263157895,463+/-6,986+/-8,1086+/-15,479+/-11,1424+/-13,94+/-5,120+/-8,1398+/-18,0.4086+/-0.008
8,-17.05263157894737,524+/-12,950+/-11,1053+/-9,555+/-5,1468+/-28,84+/-4,99+/-4,1429+/-9,0.3286+/-0.007
9,-16.68421052631579,539+/-4,925+/-23,1030+/-13,562.6+/-3.2,1464+/-13,69.0+/-0.9,91.4+/-3.1,1460+/-21,0.2996+/-0.009
10,-16.315789473684212,567+/-8,871+/-6,988+/-14,608+/-11,1499+/-22,66+/-4,79.6+/-2.7,1455+/-17,0.2386+/-0.007
11,-15.947368421052632,647+/-5,830+/-15,954+/-19,647+/-5,1492+/-7,56.2+/-1.7,66+/-4,1449+/-15,0.1716+/-0.009
12,-15.578947368421053,660+/-16,784+/-14,896+/-10,679+/-22,1493+/-15,61.4+/-1.4,64.4+/-2.8,1446+/-10,0.1206+/-0.011
13,-15.210526315789474,694+/-11,746+/-5,845+/-13,733+/-8,1491+/-23,58.6+/-3.2,54.4+/-2.4,1474+/-9,0.0576+/-0.007
14,-14.842105263157894,739+/-9,712+/-5,829+/-7,774+/-11,1478+/-18,69.2+/-2.7,48.8+/-2.0,1453+/-11,0.0106+/-0.006
15,-14.473684210526315,768+/-16,658+/-19,784+/-7,797+/-16,1499+/-27,72+/-4,49.0+/-2.5,1459+/-21,-0.0486+/-0.011
16,-14.105263157894736,810+/-7,646+/-10,757+/-14,826+/-15,1486+/-20,83.2+/-3.0,55+/-6,1448+/-18,-0.0836+/-0.008
17,-13.736842105263158,832+/-12,613+/-18,714+/-9,882+/-16,1488+/-19,85.4+/-2.0,52.2+/-1.1,1428+/-17,-0.1386+/-0.010
18,-13.368421052631579,885+/-6,563+/-11,709+/-15,876+/-9,1502+/-14,94+/-4,58.8+/-1.8,1437+/-11,-0.1736+/-0.008
19,-13.0,887+/-16,531+/-7,664+/-5,956+/-18,1442+/-10,115+/-4,64.6+/-3.3,1422+/-21,-0.2386+/-0.009
