start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2024-06-18_09-54-32,2024-06-18_09-54-38,5,1,-100.03042008928571,-22.731026785714278,3.7818080357142856,0.004534517857141651,8.173654642857143,0.0008469238281350044,-0.00028125000000045475,45.00195678710938,-0.0030043249130358163,44280.0,11695.0,0.0,21287.0,121.6,0.0,1329.2,0.0,118.11985438528104,39.47404210364071,0.0,44.71800532224128,2.874021572639983,0.0,20.39705861147631,0.0,
2024-06-18_09-54-39,2024-06-18_09-54-44,5,1,-101.10268571428571,-22.731026785714278,3.7818080357142856,0.004534517857141651,8.173654642857143,0.0008469238281350044,-0.00028125000000045475,45.00195678710938,-0.0030043249130358163,43075.0,12750.8,0.0,20689.2,130.6,0.0,1295.2,0.0,101.65284058992154,8.946507698538015,0.0,61.89943456930766,4.843552415324934,0.0,15.464152094440871,0.0,
2024-06-18_09-54-45,2024-06-18_09-54-50,5,1,-102.0945941964286,-22.731026785714278,3.7818080357142856,0.004534517857141651,8.173654642857143,0.0008469238281350044,-0.00028125000000045475,45.00195678710938,-0.0030043249130358163,41759.8,13737.0,0.0,20147.4,116.2,0.0,1232.4,0.0,75.43301664390734,45.97934318800128,0.0,76.53273809292334,5.791372894228104,0.0,15.194077793666844,0.0,
2024-06-18_09-54-51,2024-06-18_09-54-56,5,1,-103.14174821428571,-22.731026785714278,3.7818080357142856,0.004534517857141651,8.173654642857143,0.0008469238281350044,-0.00028125000000045475,45.00195678710938,-0.0030043249130358163,40354.6,14716.8,0.0,19531.8,116.6,0.0,1195.4,0.0,63.31318977906579,26.66533329999833,0.0,86.83455533369188,0.9797958971132711,0.0,33.87417895683967,0.0,
2024-06-18_09-54-57,2024-06-18_09-55-02,5,1,-104.20396919642857,-22.731026785714278,3.7818080357142856,0.004534517857141651,8.173654642857143,0.0008469238281350044,-0.00028125000000045475,45.00195678710938,-0.0030043249130358163,38955.4,15932.0,0.0,18945.8,113.6,0.0,1152.8,0.0,101.75195329820455,86.38518391483576,0.0,26.48093653932957,2.7313000567495322,0.0,11.275637454263949,0.0,
2024-06-18_09-55-03,2024-06-18_09-55-08,5,1,-105.25865669642857,-22.731026785714278,3.7818080357142856,0.004534517857141651,8.173654642857143,0.0008469238281350044,-0.00028125000000045475,45.00195678710938,-0.0030043249130358163,37429.8,17191.6,0.0,18118.2,102.4,0.0,1078.4,0.0,77.75950102720567,59.89373923875517,0.0,58.848449427321356,1.1224972160321824,0.0,14.298951010476257,0.0,
2024-06-18_09-55-09,2024-06-18_09-55-14,5,1,-106.30329955357143,-22.731026785714278,3.7818080357142856,0.004534517857141651,8.173654642857143,0.0008469238281350044,-0.00028125000000045475,45.00195678710938,-0.0030043249130358163,35964.4,18249.8,0.0,17516.8,103.4,0.0,1064.2,0.0,30.6473489881262,21.809172382279893,0.0,44.07992740465891,5.344155686354955,0.0,12.431411826498225,0.0,
2024-06-18_09-55-14,2024-06-18_09-55-20,5,1,-107.36552053571427,-22.731026785714278,3.7818080357142856,0.004534517857141651,8.173654642857143,0.0008469238281350044,-0.00028125000000045475,45.00195678710938,-0.0030043249130358163,34105.8,19677.2,0.0,16631.0,104.0,0.0,971.6,0.0,52.672003948967046,68.10315704870075,0.0,85.67379996241559,2.9832867780352594,0.0,10.707940978544848,0.0,
2024-06-18_09-55-20,2024-06-18_09-55-25,5,1,-108.42020803571427,-22.731026785714278,3.7818080357142856,0.004534517857141651,8.173654642857143,0.0008469238281350044,-0.00028125000000045475,45.00195678710938,-0.0030043249130358163,32408.4,20952.0,0.0,15873.8,98.4,0.0,934.0,0.0,30.24665270736581,56.53140719989199,0.0,61.63229672825766,2.9257477676655586,0.0,9.20326029187483,0.0,
2024-06-18_09-55-26,2024-06-18_09-55-32,5,1,-109.46987321428571,-22.731026785714278,3.7818080357142856,0.004534517857141651,8.173654642857143,0.0008469238281350044,-0.00028125000000045475,45.00195678710938,-0.0030043249130358163,30812.0,22375.6,0.0,15177.2,105.6,0.0,899.4,0.0,89.56840960963859,60.70304769943597,0.0,40.98585121721885,7.004284403134984,0.0,13.60367597379473,0.0,
