start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2024-05-23_11-05-02,2024-05-23_11-05-08,5,1,-100.02539776785716,-21.116350446428555,2.943080357142857,0.007045678571429903,0.0008469238281350044,-0.0005253906250004547,45.0024755859375,-0.0030043249130358163,44521.8,11666.2,0.0,22281.8,15.8,0.0,1362.0,0.0,73.79051429553802,42.515173761846484,0.0,57.22097517519253,1.0677078252031311,0.0,12.77888884058391,0.0,
2024-05-23_11-05-08,2024-05-23_11-05-14,5,1,-101.08510758928571,-21.116350446428555,2.943080357142857,0.007045678571429903,0.0008469238281350044,-0.0005253906250004547,45.0024755859375,-0.0030043249130358163,43523.2,12836.2,0.0,21653.4,14.8,0.0,1335.2,0.0,143.4874210514636,46.06234904995619,0.0,50.16432995665346,1.3928388277184118,0.0,17.6448292709224,0.0,
2024-05-23_11-05-14,2024-05-23_11-05-20,5,1,-102.10966116071427,-21.116350446428555,2.943080357142857,0.007045678571429903,0.0008469238281350044,-0.0005253906250004547,45.0024755859375,-0.0030043249130358163,42140.2,14195.2,0.0,20987.2,17.6,0.0,1294.2,0.0,85.50695878114249,58.384415728856965,0.0,90.80055065912319,1.4352700094407322,0.0,18.599462357820993,0.0,
2024-05-23_11-05-21,2024-05-23_11-05-26,5,1,-103.15681517857143,-21.116350446428555,2.943080357142857,0.007045678571429903,0.0008469238281350044,-0.0005253906250004547,45.0024755859375,-0.0030043249130358163,40410.6,15676.2,0.0,20148.0,15.4,0.0,1181.0,0.0,87.72491094324349,43.368652273272225,0.0,58.65151319446071,0.7483314773547882,0.0,10.36822067666386,0.0,
2024-05-23_11-05-27,2024-05-23_11-05-33,5,1,-104.20899151785716,-21.116350446428555,2.943080357142857,0.007045678571429903,0.0008469238281350044,-0.0005253906250004547,45.0024755859375,-0.0030043249130358163,38962.0,17084.4,0.0,19448.0,16.8,0.0,1191.8,0.0,87.02815636332876,106.85906606367098,0.0,59.00762662571678,2.517935662402834,0.0,12.411285187280164,0.0,
2024-05-23_11-05-33,2024-05-23_11-05-39,5,1,-105.26367901785716,-21.116350446428555,2.943080357142857,0.007045678571429903,0.0008469238281350044,-0.0005253906250004547,45.0024755859375,-0.0030043249130358163,37370.2,18501.2,0.0,18687.4,19.6,0.0,1124.6,0.0,88.39819002671943,95.45491082181157,0.0,62.989364181582275,2.2271057451320084,0.0,14.298951010476257,0.0,
2024-05-23_11-05-39,2024-05-23_11-05-45,5,1,-106.30581071428571,-21.116350446428555,2.943080357142857,0.007045678571429903,0.0008469238281350044,-0.0005253906250004547,45.0024755859375,-0.0030043249130358163,35600.6,19908.4,0.0,17777.6,17.2,0.0,1069.0,0.0,118.22292501879657,50.63259819523387,0.0,83.9747581121851,0.7999999999999999,0.0,7.3824115301167,0.0,
2024-05-23_11-05-46,2024-05-23_11-05-51,5,1,-107.36049821428571,-21.116350446428555,2.943080357142857,0.007045678571429903,0.0008469238281350044,-0.0005253906250004547,45.0024755859375,-0.0030043249130358163,33777.4,21563.0,0.0,16766.0,18.8,0.0,978.8,0.0,75.4,100.07996802557443,0.0,50.889095099048475,2.8354893757515653,0.0,10.786102168995061,0.0,
2024-05-23_11-05-52,2024-05-23_11-05-57,5,1,-108.41267455357143,-21.116350446428555,2.943080357142857,0.007045678571429903,0.0008469238281350044,-0.0005253906250004547,45.0024755859375,-0.0030043249130358163,31939.4,23194.4,0.0,16077.2,18.6,0.0,945.8,0.0,45.61863654253598,117.68967669256294,0.0,39.76606593566932,1.9646882704388497,0.0,18.738729946290384,0.0,
2024-05-23_11-05-58,2024-05-23_11-06-03,5,1,-109.46987321428571,-21.116350446428555,2.943080357142857,0.007045678571429903,0.0008469238281350044,-0.0005253906250004547,45.0024755859375,-0.0030043249130358163,30167.6,24942.6,0.0,15077.2,18.4,0.0,878.4,0.0,93.62510347123788,97.70035823885192,0.0,37.2188124474707,2.767670500619609,0.0,11.96912695228854,0.0,
