start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2024-11-23_16-15-22,2024-11-23_16-15-27,5,1,-100.03042008928571,-17.460100446428555,-0.14815848214283278,0.004107142857140644,7.835098839285714,45.00128628540039,-0.00020507812502046363,44.99987396240235,-0.0009206061363329354,47459.0,45490.6,0.0,5273.2,2166.4,0.0,48.4,0.0,42.48058380013156,82.25788715983411,0.0,20.063399512545224,25.683847063864867,0.0,1.5362291495737215,0.0,
2024-11-23_16-15-28,2024-11-23_16-15-33,5,1,-101.4617816964286,-17.460100446428555,-0.14815848214283278,0.004107142857140644,7.835098839285714,45.00128628540039,-0.00020507812502046363,44.99987396240235,-0.0009206061363329354,45833.2,44012.8,0.0,5983.0,2093.4,0.0,41.2,0.0,74.59584438827675,60.65344178197969,0.0,24.06449667040638,15.111584959890868,0.0,1.4966629547095764,0.0,
2024-11-23_16-15-33,2024-11-23_16-15-39,5,1,-102.87305401785716,-17.460100446428555,-0.14815848214283278,0.004107142857140644,7.835098839285714,45.00128628540039,-0.00020507812502046363,44.99987396240235,-0.0009206061363329354,43826.6,42246.2,0.0,6724.0,2026.2,0.0,44.6,0.0,37.904617133009005,39.19489762711468,0.0,15.820872289478858,10.02197585309404,0.0,4.66476151587624,0.0,
2024-11-23_16-15-39,2024-11-23_16-15-44,5,1,-104.28683749999999,-17.460100446428555,-0.14815848214283278,0.004107142857140644,7.835098839285714,45.00128628540039,-0.00020507812502046363,44.99987396240235,-0.0009206061363329354,41766.0,40469.2,0.0,7451.0,1925.6,0.0,40.8,0.0,104.56911589948535,83.42985077296973,0.0,38.85485812610824,7.6459139414461115,0.0,2.0832666655999654,0.0,
2024-11-23_16-15-45,2024-11-23_16-15-50,5,1,-105.71317678571427,-17.460100446428555,-0.14815848214283278,0.004107142857140644,7.835098839285714,45.00128628540039,-0.00020507812502046363,44.99987396240235,-0.0009206061363329354,39525.0,38444.0,0.0,8365.4,1772.0,0.0,36.4,0.0,97.51153777887004,79.69880802119941,0.0,30.65550521521379,9.257429448826494,0.0,2.7313000567495327,0.0,
2024-11-23_16-15-51,2024-11-23_16-15-56,5,1,-107.13951607142857,-17.460100446428555,-0.14815848214283278,0.004107142857140644,7.835098839285714,45.00128628540039,-0.00020507812502046363,44.99987396240235,-0.0009206061363329354,37351.2,36250.8,0.0,9310.6,1672.2,0.0,33.4,0.0,117.21066504375784,76.33374090138646,0.0,28.92853262783994,17.02468795602433,0.0,2.3790754506740637,0.0,
2024-11-23_16-15-56,2024-11-23_16-16-01,5,1,-108.56836651785716,-17.460100446428555,-0.14815848214283278,0.004107142857140644,7.835098839285714,45.00128628540039,-0.00020507812502046363,44.99987396240235,-0.0009206061363329354,34961.8,34105.8,0.0,10154.0,1551.4,0.0,34.2,0.0,32.75270981155605,59.20422282236293,0.0,32.82224855185884,21.16270304096336,0.0,3.2310988842807022,0.0,
2024-11-23_16-16-02,2024-11-23_16-16-07,5,1,-109.99972812499999,-17.460100446428555,-0.14815848214283278,0.004107142857140644,7.835098839285714,45.00128628540039,-0.00020507812502046363,44.99987396240235,-0.0009206061363329354,32561.0,31850.4,0.0,11114.4,1471.6,0.0,29.2,0.0,80.48043240440498,61.691652595792895,0.0,67.5156278205276,17.82582396412575,0.0,3.261901286060018,0.0,
2024-11-23_16-16-07,2024-11-23_16-16-13,5,1,-111.42355624999999,-17.460100446428555,-0.14815848214283278,0.004107142857140644,7.835098839285714,45.00128628540039,-0.00020507812502046363,44.99987396240235,-0.0009206061363329354,30176.2,29785.0,0.0,11994.2,1297.2,0.0,24.6,0.0,62.81432957534451,142.47140063886505,0.0,25.239651344660054,31.923972183924732,0.0,1.630950643030009,0.0,
2024-11-23_16-16-13,2024-11-23_16-16-18,5,1,-112.85240669642857,-17.460100446428555,-0.14815848214283278,0.004107142857140644,7.835098839285714,45.00128628540039,-0.00020507812502046363,44.99987396240235,-0.0009206061363329354,27690.2,27368.6,0.0,12919.6,1183.0,0.0,26.2,0.0,69.2375620599108,65.63124256023193,0.0,42.46245400350761,16.26653005407115,0.0,0.6633249580710798,0.0,
