start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2024-05-23_09-34-12,2024-05-23_09-34-17,5,1,-105.02511874999999,-20.573939732142833,2.360491071428571,-0.0029989642857231047,45.0014382019043,-0.0005253906250004547,44.99987396240235,-0.0035252695083727303,37385.4,41073.4,0.0,7992.6,2251.4,0.0,18.6,0.0,128.40623037843608,67.63475437968263,0.0,32.903799172739916,10.210778618695048,0.0,2.357965224510319,0.0,
2024-05-23_09-34-18,2024-05-23_09-34-23,5,1,-105.77595580357143,-20.573939732142833,2.360491071428571,-0.0029989642857231047,45.0014382019043,-0.0005253906250004547,44.99987396240235,-0.0035252695083727303,36143.2,39819.2,0.0,8529.6,2158.0,0.0,23.8,0.0,35.78044158475409,63.84935395131261,0.0,47.19279606041583,19.939909728983228,0.0,3.3823069050575527,0.0,
2024-05-23_09-34-24,2024-05-23_09-34-29,5,1,-106.57952723214288,-20.573939732142833,2.360491071428571,-0.0029989642857231047,45.0014382019043,-0.0005253906250004547,44.99987396240235,-0.0035252695083727303,34823.4,38219.8,0.0,9052.2,2075.2,0.0,22.4,0.0,91.74453662207902,56.10650586162,0.0,14.221111067704943,18.34775190588754,0.0,1.8601075237738274,0.0,
2024-05-23_09-34-30,2024-05-23_09-34-35,5,1,-107.36552053571427,-20.573939732142833,2.360491071428571,-0.0029989642857231047,45.0014382019043,-0.0005253906250004547,44.99987396240235,-0.0035252695083727303,33619.6,37040.0,0.0,9745.6,2035.0,0.0,19.4,0.0,52.11295424364272,69.68213544374196,0.0,54.61007233102699,17.85777141750896,0.0,1.16619037896906,0.0,
2024-05-23_09-34-35,2024-05-23_09-34-41,5,1,-108.14900267857143,-20.573939732142833,2.360491071428571,-0.0029989642857231047,45.0014382019043,-0.0005253906250004547,44.99987396240235,-0.0035252695083727303,32149.6,35365.6,0.0,10256.2,1874.6,0.0,20.0,0.0,32.90227955628607,57.84254489560431,0.0,39.841435717102364,15.184202316881843,0.0,2.0493901531919194,0.0,
2024-05-23_09-34-42,2024-05-23_09-34-47,5,1,-108.94001830357143,-20.573939732142833,2.360491071428571,-0.0029989642857231047,45.0014382019043,-0.0005253906250004547,44.99987396240235,-0.0035252695083727303,30747.6,33878.4,0.0,10835.8,1805.2,0.0,17.0,0.0,65.9989393854174,67.48748032042683,0.0,49.496868587820785,25.700972744236743,0.0,1.6431676725154982,0.0,
2024-05-23_09-34-48,2024-05-23_09-34-53,5,1,-109.72601160714288,-20.573939732142833,2.360491071428571,-0.0029989642857231047,45.0014382019043,-0.0005253906250004547,44.99987396240235,-0.0035252695083727303,29395.8,32510.4,0.0,11456.0,1738.2,0.0,19.8,0.0,38.747128925895915,49.28853822137557,0.0,46.55534340975265,28.69912890664105,0.0,2.3958297101421877,0.0,
2024-05-23_09-34-53,2024-05-23_09-34-59,5,1,-110.51953839285716,-20.573939732142833,2.360491071428571,-0.0029989642857231047,45.0014382019043,-0.0005253906250004547,44.99987396240235,-0.0035252695083727303,28201.6,31268.0,0.0,11757.4,1654.6,0.0,17.8,0.0,140.88385287178937,97.74865727978057,0.0,74.42351778839804,19.3251131950113,0.0,1.5937377450509227,0.0,
2024-05-23_09-35-00,2024-05-23_09-35-05,5,1,-111.31055401785716,-20.573939732142833,2.360491071428571,-0.0029989642857231047,45.0014382019043,-0.0005253906250004547,44.99987396240235,-0.0035252695083727303,26632.8,29526.4,0.0,12498.2,1535.0,0.0,15.4,0.0,49.61794030388606,65.53365547564091,0.0,27.599637678781217,13.663820841916802,0.0,0.6782329983125267,0.0,
2024-05-23_09-35-06,2024-05-23_09-35-11,5,1,-112.09152499999999,-20.573939732142833,2.360491071428571,-0.0029989642857231047,45.0014382019043,-0.0005253906250004547,44.99987396240235,-0.0035252695083727303,25502.6,28174.4,0.0,13059.8,1520.2,0.0,17.4,0.0,60.55047481234148,69.1705139492255,0.0,23.65882499195596,15.894653189044423,0.0,2.619160170741759,0.0,
2024-05-23_09-35-12,2024-05-23_09-35-17,5,1,-112.88254062499999,-20.573939732142833,2.360491071428571,-0.0029989642857231047,45.0014382019043,-0.0005253906250004547,44.99987396240235,-0.0035252695083727303,24102.4,26657.2,0.0,13645.0,1404.6,0.0,16.2,0.0,65.82674228609525,58.32015089143716,0.0,66.14227090144396,11.578428218026831,0.0,2.3748684174075834,0.0,
2024-05-23_09-35-18,2024-05-23_09-35-23,5,1,-113.67606741071427,-20.573939732142833,2.360491071428571,-0.0029989642857231047,45.0014382019043,-0.0005253906250004547,44.99987396240235,-0.0035252695083727303,22544.6,25001.2,0.0,14184.0,1280.8,0.0,17.6,0.0,28.045677028732964,67.40801139330547,0.0,59.809698210240114,10.781465577554844,0.0,1.4352700094407322,0.0,
2024-05-23_09-35-23,2024-05-23_09-35-29,5,1,-114.46708303571427,-20.573939732142833,2.360491071428571,-0.0029989642857231047,45.0014382019043,-0.0005253906250004547,44.99987396240235,-0.0035252695083727303,21380.2,23594.4,0.0,14778.8,1199.8,0.0,15.2,0.0,42.5104692987504,15.88584275384847,0.0,81.83116765633983,13.047605144240071,0.0,1.3190905958272916,0.0,
