start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-05-20_16-13-21,2025-05-20_16-13-25,3,1,-55.021618303571415,-21.282087053571445,0.9955357142857153,67.49497767857143,44.994977678571416,22.49969364929199,-0.00020507812502046363,45.00195678710938,-0.0019624953270067635,9917.666666666666,11643.666666666666,0.0,539.6666666666666,425.6666666666667,0.0,0.0,0.0,26.206445348001278,122.35240541612214,0.0,14.344956527566675,5.811865258054232,0.0,0.0,0.0,
2025-05-20_16-13-25,2025-05-20_16-13-29,3,1,-57.15610491071425,-21.282087053571445,0.9955357142857153,67.49497767857143,44.994977678571416,22.49969364929199,-0.00020507812502046363,45.00195678710938,-0.0019624953270067635,12292.0,14563.0,0.0,514.0,613.3333333333334,0.0,0.0,0.0,71.7936858876415,74.14400402819727,0.0,15.275252316519467,22.378064656662733,0.0,0.0,0.0,
2025-05-20_16-13-29,2025-05-20_16-13-32,3,1,-59.30565848214286,-21.282087053571445,0.9955357142857153,67.49497767857143,44.994977678571416,22.49969364929199,-0.00020507812502046363,45.00195678710938,-0.0019624953270067635,15202.0,17272.0,0.0,506.0,814.3333333333334,0.0,0.0,0.0,43.52393977265079,81.03291512301242,0.0,7.234178138070235,16.271993663278565,0.0,0.0,0.0,
2025-05-20_16-13-33,2025-05-20_16-13-36,3,1,-61.44265625000003,-21.282087053571445,0.9955357142857153,67.49497767857143,44.994977678571416,22.49969364929199,-0.00020507812502046363,45.00195678710938,-0.0019624953270067635,18202.666666666668,20648.0,0.0,506.3333333333333,1036.6666666666667,0.0,0.0,0.0,126.76005329405282,56.88878038184097,0.0,12.346839451634755,13.34582747944507,0.0,0.0,0.0,
2025-05-20_16-13-36,2025-05-20_16-13-40,3,1,-63.59220982142858,-21.282087053571445,0.9955357142857153,67.49497767857143,44.994977678571416,22.49969364929199,-0.00020507812502046363,45.00195678710938,-0.0019624953270067635,21487.333333333332,24107.333333333332,0.0,511.6666666666667,1252.3333333333333,0.0,0.0,0.0,52.796254075875915,57.04481668925855,0.0,13.195116941926324,10.525102269231297,0.0,0.0,0.0,
2025-05-20_16-13-40,2025-05-20_16-13-43,3,1,-65.72920758928569,-21.282087053571445,0.9955357142857153,67.49497767857143,44.994977678571416,22.49969364929199,-0.00020507812502046363,45.00195678710938,-0.0019624953270067635,24720.666666666668,27776.0,0.0,493.6666666666667,1496.3333333333333,0.0,0.0,0.0,56.41020396267958,58.731025304632084,0.0,7.688375063113864,45.29287410227402,0.0,0.0,0.0,
2025-05-20_16-13-43,2025-05-20_16-13-47,3,1,-67.87122767857142,-21.282087053571445,0.9955357142857153,67.49497767857143,44.994977678571416,22.49969364929199,-0.00020507812502046363,45.00195678710938,-0.0019624953270067635,28146.666666666668,31110.0,0.0,508.0,1768.6666666666667,0.0,0.0,0.0,129.7052213461141,85.13518661517107,0.0,11.503622617824933,36.37917597258691,0.0,0.0,0.0,
2025-05-20_16-13-47,2025-05-20_16-13-51,3,1,-70.01073660714286,-21.282087053571445,0.9955357142857153,67.49497767857143,44.994977678571416,22.49969364929199,-0.00020507812502046363,45.00195678710938,-0.0019624953270067635,31415.0,34696.0,0.0,485.3333333333333,1926.3333333333333,0.0,0.6666666666666666,0.0,21.548395145191982,63.00264544710273,0.0,4.409585518440984,14.193112570695849,0.0,0.33333333333333337,0.0,
2025-05-20_16-13-51,2025-05-20_16-13-54,3,1,-72.16029017857142,-21.282087053571445,0.9955357142857153,67.49497767857143,44.994977678571416,22.49969364929199,-0.00020507812502046363,45.00195678710938,-0.0019624953270067635,34823.0,38384.0,0.0,496.6666666666667,2226.0,0.0,0.0,0.0,17.21433511156714,133.4478674739066,0.0,14.344956527566675,34.530180036213736,0.0,0.0,0.0,
2025-05-20_16-13-55,2025-05-20_16-13-58,3,1,-74.29728794642858,-21.282087053571445,0.9955357142857153,67.49497767857143,44.994977678571416,22.49969364929199,-0.00020507812502046363,45.00195678710938,-0.0019624953270067635,37927.333333333336,41632.0,0.0,549.6666666666666,2443.6666666666665,0.0,0.3333333333333333,0.0,118.43469836909189,139.60778392816545,0.0,2.6034165586355518,49.363729374691474,0.0,0.33333333333333337,0.0,
