start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2024-05-24_14-25-00,2024-05-24_14-25-05,5,1,-100.03293124999999,-22.703404017857167,2.943080357142857,0.007045678571429903,0.0008469238281350044,-0.00019732666015670475,45.00195678710938,-0.0030043249130358163,46624.0,10523.2,0.0,23195.8,16.2,0.0,1400.2,0.0,95.50235599188116,75.0229298281532,0.0,97.0022680147222,2.6153393661244038,0.0,26.961824864055476,0.0,
2024-05-24_14-25-06,2024-05-24_14-25-11,5,1,-101.05999598214288,-22.703404017857167,2.943080357142857,0.007045678571429903,0.0008469238281350044,-0.00019732666015670475,45.00195678710938,-0.0030043249130358163,45298.4,11579.6,0.0,22494.8,14.4,0.0,1375.0,0.0,115.55111423088918,45.66464715729225,0.0,54.343720888433836,1.208304597359457,0.0,12.255610959882823,0.0,
2024-05-24_14-25-12,2024-05-24_14-25-17,5,1,-102.11468348214288,-22.703404017857167,2.943080357142857,0.007045678571429903,0.0008469238281350044,-0.00019732666015670475,45.00195678710938,-0.0030043249130358163,44027.8,12728.8,0.0,21806.4,15.0,0.0,1323.8,0.0,177.12069331390956,33.153280380680286,0.0,76.88862074455491,0.8944271909999159,0.0,9.178235124467012,0.0,
2024-05-24_14-25-18,2024-05-24_14-25-23,5,1,-103.16434866071427,-22.703404017857167,2.943080357142857,0.007045678571429903,0.0008469238281350044,-0.00019732666015670475,45.00195678710938,-0.0030043249130358163,42468.6,14142.6,0.0,21037.6,14.8,0.0,1300.6,0.0,65.17407460025804,36.71729837556135,0.0,51.80019304983331,2.3958297101421877,0.0,13.588966112254456,0.0,
2024-05-24_14-25-23,2024-05-24_14-25-28,5,1,-104.21150267857143,-22.703404017857167,2.943080357142857,0.007045678571429903,0.0008469238281350044,-0.00019732666015670475,45.00195678710938,-0.0030043249130358163,40950.6,15471.4,0.0,20427.0,20.0,0.0,1241.6,0.0,98.1746403100108,58.0315431468094,0.0,78.67464648792519,2.408318915758459,0.0,13.655035701161676,0.0,
2024-05-24_14-25-29,2024-05-24_14-25-34,5,1,-105.24610089285716,-22.703404017857167,2.943080357142857,0.007045678571429903,0.0008469238281350044,-0.00019732666015670475,45.00195678710938,-0.0030043249130358163,39351.6,16998.6,0.0,19606.4,17.6,0.0,1163.2,0.0,40.48407094154441,97.20010288060398,0.0,23.846593048064538,1.833030277982336,0.0,7.638062581571323,0.0,
2024-05-24_14-25-35,2024-05-24_14-25-40,5,1,-106.29576607142857,-22.703404017857167,2.943080357142857,0.007045678571429903,0.0008469238281350044,-0.00019732666015670475,45.00195678710938,-0.0030043249130358163,37704.4,18392.4,0.0,18875.0,18.0,0.0,1143.6,0.0,83.8460494000761,27.91164631475542,0.0,59.450820011165526,1.760681686165901,0.0,19.780293223306874,0.0,
2024-05-24_14-25-40,2024-05-24_14-25-46,5,1,-107.37305401785716,-22.703404017857167,2.943080357142857,0.007045678571429903,0.0008469238281350044,-0.00019732666015670475,45.00195678710938,-0.0030043249130358163,35941.8,20001.2,0.0,17953.6,20.6,0.0,1085.2,0.0,36.52314334774596,58.679127464542276,0.0,39.6050501830259,1.3638181696985854,0.0,15.522242106087639,0.0,
2024-05-24_14-25-46,2024-05-24_14-25-52,5,1,-108.43025267857143,-22.703404017857167,2.943080357142857,0.007045678571429903,0.0008469238281350044,-0.00019732666015670475,45.00195678710938,-0.0030043249130358163,34029.0,21660.2,0.0,17044.2,18.0,0.0,997.8,0.0,70.20185182742688,78.61450247886836,0.0,92.02141055211008,1.9235384061671343,0.0,15.100993344810133,0.0,
2024-05-24_14-25-52,2024-05-24_14-25-58,5,1,-109.47740669642857,-22.703404017857167,2.943080357142857,0.007045678571429903,0.0008469238281350044,-0.00019732666015670475,45.00195678710938,-0.0030043249130358163,32436.4,23214.6,0.0,16163.0,22.8,0.0,962.2,0.0,56.18060163437198,149.6581437810853,0.0,76.01513007290062,3.4698703145794942,0.0,9.451983918733676,0.0,
