start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-06-25_10-56-03,2025-06-25_10-56-19,5,3,-65.2163214285714,-15.004185267857167,1.0055803571428577,67.4915,44.99005133928573,45.0020241394043,0.0020742187499962483,-7.498752441406225,-60.001334228515645,24454.13333333333,27326.93333333333,0.0,712.6666666666667,257.1333333333333,0.0,0.0,0.0,69.18265678622053,44.186272378043626,0.0,2.8616234708446266,3.832028763519973,0.0,0.0,0.0,
2025-06-25_10-56-19,2025-06-25_10-56-35,5,3,-65.2163214285714,-13.894252232142833,1.0055803571428577,67.4915,44.99005133928573,45.0020241394043,0.0020742187499962483,-7.498752441406225,-60.001334228515645,24616.866666666665,27380.13333333334,0.0,700.4666666666667,197.59999999999997,0.0,0.13333333333333333,0.0,42.860963850831084,28.01162457107959,0.0,6.457209579652454,2.3295206946208187,0.0,0.13333333333333333,0.0,
2025-06-25_10-56-35,2025-06-25_10-56-51,5,3,-65.2163214285714,-12.776785714285722,1.0055803571428577,67.4915,44.99005133928573,45.0020241394043,0.0020742187499962483,-7.498752441406225,-60.001334228515645,24593.2,27496.13333333333,0.0,712.6666666666667,140.66666666666669,0.0,0.26666666666666666,0.0,32.1521729004774,35.41556468873813,0.0,10.329569206893375,3.2231799343022867,0.0,0.19436506316151003,0.0,
2025-06-25_10-56-52,2025-06-25_10-57-07,5,3,-65.2163214285714,-11.659319196428555,1.0055803571428577,67.4915,44.99005133928573,45.0020241394043,0.0020742187499962483,-7.498752441406225,-60.001334228515645,24498.466666666667,27314.066666666662,0.0,698.6000000000001,103.86666666666667,0.0,0.13333333333333333,0.0,24.809854672868973,41.00588033712045,0.0,11.835164177615422,3.375730373645909,0.0,0.0816496580927726,0.0,
2025-06-25_10-57-08,2025-06-25_10-57-23,5,3,-65.2163214285714,-10.546875,1.0055803571428577,67.4915,44.99005133928573,45.0020241394043,0.0020742187499962483,-7.498752441406225,-60.001334228515645,24416.86666666666,27281.06666666667,0.0,711.4666666666666,75.0,0.0,0.13333333333333333,0.0,45.44026603990972,54.399795751250544,0.0,5.11924473596122,3.0623157540948935,0.0,0.0816496580927726,0.0,
2025-06-25_10-57-24,2025-06-25_10-57-40,5,3,-65.2163214285714,-9.436941964285722,1.0055803571428577,67.4915,44.99005133928573,45.0020241394043,0.0020742187499962483,-7.498752441406225,-60.001334228515645,24450.933333333334,27285.0,0.0,711.4,53.6,0.0,0.06666666666666667,0.0,37.92923235008424,75.86977146546762,0.0,4.944581770876975,1.8630918149976168,0.0,0.06666666666666667,0.0,
2025-06-25_10-57-41,2025-06-25_10-57-56,5,3,-65.2163214285714,-8.339564732142833,1.0055803571428577,67.4915,44.99005133928573,45.0020241394043,0.0020742187499962483,-7.498752441406225,-60.001334228515645,24488.799999999996,27258.86666666667,0.0,708.0,39.53333333333333,0.0,0.13333333333333333,0.0,29.717671510399388,40.50810618464762,0.0,7.588002225736211,1.9737161790783286,0.0,0.0816496580927726,0.0,
2025-06-25_10-57-57,2025-06-25_10-58-12,5,3,-65.2163214285714,-7.214564732142833,1.0055803571428577,67.4915,44.99005133928573,45.0020241394043,0.0020742187499962483,-7.498752441406225,-60.001334228515645,24349.533333333333,27159.13333333333,0.0,700.6666666666666,34.53333333333333,0.0,0.13333333333333333,0.0,46.35678063790794,48.64732492359942,0.0,5.690147430232164,1.7016332024133625,0.0,0.0816496580927726,0.0,
2025-06-25_10-58-13,2025-06-25_10-58-28,5,3,-65.2163214285714,-6.104631696428555,1.0055803571428577,67.4915,44.99005133928573,45.0020241394043,0.0020742187499962483,-7.498752441406225,-60.001334228515645,24307.733333333334,27154.466666666667,0.0,701.5333333333334,37.46666666666667,0.0,0.06666666666666667,0.0,28.622524152997183,31.390656784039063,0.0,2.6153393661243998,0.6377042156569661,0.0,0.06666666666666667,0.0,
2025-06-25_10-58-29,2025-06-25_10-58-44,5,3,-65.2163214285714,-5.002232142857167,1.0055803571428577,67.4915,44.99005133928573,45.0020241394043,0.0020742187499962483,-7.498752441406225,-60.001334228515645,24283.13333333333,27128.86666666667,0.0,702.8666666666666,39.266666666666666,0.0,0.06666666666666667,0.0,24.583327683615185,32.31143588404732,0.0,3.85371393737405,2.3837412238374833,0.0,0.06666666666666667,0.0,
