start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-06-26_12-22-38,2025-06-26_12-22-43,5,1,-65.19372098214285,-15.006696428571445,1.0055803571428577,67.4915,44.99005133928573,45.00149771118164,0.0018911132812462483,-7.498752441406225,-60.00081542968752,24654.6,26697.0,0.0,717.2,225.2,0.0,0.0,0.0,55.82168037599728,87.46027669748135,0.0,19.280560157837737,2.6153393661244038,0.0,0.0,0.0,
2025-06-26_12-22-44,2025-06-26_12-22-49,5,1,-65.19372098214285,-13.929408482142833,1.0055803571428577,67.4915,44.99005133928573,45.00149771118164,0.0018911132812462483,-7.498752441406225,-60.00081542968752,24622.8,26778.8,0.0,698.8,157.2,0.0,0.0,0.0,80.46949732662681,28.522622600315,0.0,14.273752134600066,6.248199740725323,0.0,0.0,0.0,
2025-06-26_12-22-50,2025-06-26_12-22-56,5,1,-65.19372098214285,-12.852120535714278,1.0055803571428577,67.4915,44.99005133928573,45.00149771118164,0.0018911132812462483,-7.498752441406225,-60.00081542968752,24602.4,26904.4,0.0,688.6,111.4,0.0,0.2,0.0,89.34181551770703,79.76440308809438,0.0,4.9254441424099,2.908607914449797,0.0,0.20000000000000004,0.0,
2025-06-26_12-22-56,2025-06-26_12-23-02,5,1,-65.19372098214285,-11.779854910714278,1.0055803571428577,67.4915,44.99005133928573,45.00149771118164,0.0018911132812462483,-7.498752441406225,-60.00081542968752,24759.4,26917.0,0.0,709.8,89.0,0.0,0.2,0.0,73.79742542934679,43.52125917296052,0.0,6.248199740725323,1.4142135623730951,0.0,0.20000000000000004,0.0,
2025-06-26_12-23-02,2025-06-26_12-23-08,5,1,-65.19372098214285,-10.715122767857167,1.0055803571428577,67.4915,44.99005133928573,45.00149771118164,0.0018911132812462483,-7.498752441406225,-60.00081542968752,24751.6,26957.6,0.0,722.2,57.0,0.0,0.0,0.0,76.1699415780267,20.92271492899523,0.0,6.48382603097893,2.846049894151541,0.0,0.0,0.0,
2025-06-26_12-23-09,2025-06-26_12-23-14,5,1,-65.19372098214285,-9.635323660714278,1.0055803571428577,67.4915,44.99005133928573,45.00149771118164,0.0018911132812462483,-7.498752441406225,-60.00081542968752,24566.6,26715.8,0.0,722.4,41.8,0.0,0.2,0.0,41.10547408800925,42.28758683112575,0.0,10.874741376235114,1.1135528725660042,0.0,0.2,0.0,
2025-06-26_12-23-15,2025-06-26_12-23-20,5,1,-65.19372098214285,-8.570591517857167,1.0055803571428577,67.4915,44.99005133928573,45.00149771118164,0.0018911132812462483,-7.498752441406225,-60.00081542968752,24698.4,26859.4,0.0,711.0,42.0,0.0,0.0,0.0,61.10941007733588,54.41194721749994,0.0,14.720733677368122,0.6324555320336759,0.0,0.0,0.0,
2025-06-26_12-23-21,2025-06-26_12-23-26,5,1,-65.19372098214285,-7.505859375,1.0055803571428577,67.4915,44.99005133928573,45.00149771118164,0.0018911132812462483,-7.498752441406225,-60.00081542968752,24587.4,26719.2,0.0,710.4,38.6,0.0,0.4,0.0,54.31077241210993,65.35472438928956,0.0,5.500909015790026,2.357965224510319,0.0,0.24494897427831783,0.0,
2025-06-26_12-23-27,2025-06-26_12-23-32,5,1,-65.19372098214285,-6.426060267857167,1.0055803571428577,67.4915,44.99005133928573,45.00149771118164,0.0018911132812462483,-7.498752441406225,-60.00081542968752,24843.6,26768.4,0.0,695.8,47.4,0.0,0.2,0.0,37.56540962108625,50.460479585513255,0.0,12.658593918757328,4.802082881417188,0.0,0.20000000000000004,0.0,
2025-06-26_12-23-33,2025-06-26_12-23-38,5,1,-65.19372098214285,-5.356305803571445,1.0055803571428577,67.4915,44.99005133928573,45.00149771118164,0.0018911132812462483,-7.498752441406225,-60.00081542968752,24384.0,26672.4,0.0,712.2,63.8,0.0,0.2,0.0,70.7311812427871,53.39906366220291,0.0,6.651315659326356,2.517935662402834,0.0,0.2,0.0,
