start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-06-26_12-24-38,2025-06-26_12-24-44,5,1,-65.19372098214285,-14.999162946428555,1.0055803571428577,67.4915,44.99005133928573,0.0009140624999872671,-0.0001840820312395408,-52.498813476562475,30.000882110595704,24199.4,26603.8,0.0,693.2,208.6,0.0,0.0,0.0,31.50492025065291,61.67690005180221,0.0,6.343500610861482,6.932532004974806,0.0,0.0,0.0,
2025-06-26_12-24-45,2025-06-26_12-24-50,5,1,-65.19372098214285,-13.931919642857167,1.0055803571428577,67.4915,44.99005133928573,0.0009140624999872671,-0.0001840820312395408,-52.498813476562475,30.000882110595704,24457.8,26537.8,0.0,701.0,151.2,0.0,0.0,0.0,73.69151918640299,94.92755132204769,0.0,9.633275663033835,3.9673668849754744,0.0,0.0,0.0,
2025-06-26_12-24-51,2025-06-26_12-24-57,5,1,-65.19372098214285,-12.897321428571445,1.0055803571428577,67.4915,44.99005133928573,0.0009140624999872671,-0.0001840820312395408,-52.498813476562475,30.000882110595704,24367.2,26780.4,0.0,710.4,101.4,0.0,0.0,0.0,59.22279966364306,55.27259718884214,0.0,14.06627171641441,5.500909015790027,0.0,0.0,0.0,
2025-06-26_12-24-57,2025-06-26_12-25-02,5,1,-65.19372098214285,-11.782366071428555,1.0055803571428577,67.4915,44.99005133928573,0.0009140624999872671,-0.0001840820312395408,-52.498813476562475,30.000882110595704,24530.8,26818.0,0.0,700.2,65.2,0.0,0.8,0.0,45.588814417573964,81.71230017567734,0.0,12.75695888525161,4.317406628984581,0.0,0.5830951894845301,0.0,
2025-06-26_12-25-03,2025-06-26_12-25-09,5,1,-65.19372098214285,-10.707589285714278,1.0055803571428577,67.4915,44.99005133928573,0.0009140624999872671,-0.0001840820312395408,-52.498813476562475,30.000882110595704,24725.8,26800.4,0.0,718.8,43.6,0.0,0.4,0.0,65.487708770425,38.95715595368841,0.0,18.169755089158464,3.1400636936215163,0.0,0.24494897427831783,0.0,
2025-06-26_12-25-10,2025-06-26_12-25-15,5,1,-65.19372098214285,-9.642857142857167,1.0055803571428577,67.4915,44.99005133928573,0.0009140624999872671,-0.0001840820312395408,-52.498813476562475,30.000882110595704,24564.0,26498.0,0.0,701.2,31.8,0.0,0.2,0.0,77.94485229955856,30.535225559998736,0.0,17.8,2.1771541057077237,0.0,0.20000000000000004,0.0,
2025-06-26_12-25-16,2025-06-26_12-25-21,5,1,-65.19372098214285,-8.573102678571445,1.0055803571428577,67.4915,44.99005133928573,0.0009140624999872671,-0.0001840820312395408,-52.498813476562475,30.000882110595704,24627.4,26709.6,0.0,712.4,33.6,0.0,0.0,0.0,89.2964724947184,29.227726562290126,0.0,8.417838202293984,1.4352700094407322,0.0,0.0,0.0,
2025-06-26_12-25-21,2025-06-26_12-25-27,5,1,-65.19372098214285,-7.505859375,1.0055803571428577,67.4915,44.99005133928573,0.0009140624999872671,-0.0001840820312395408,-52.498813476562475,30.000882110595704,24545.4,26686.8,0.0,709.4,33.4,0.0,0.2,0.0,45.65807705105417,60.15762628295768,0.0,14.780392416982709,2.063976744055029,0.0,0.20000000000000004,0.0,
2025-06-26_12-25-27,2025-06-26_12-25-33,5,1,-65.19372098214285,-6.428571428571445,1.0055803571428577,67.4915,44.99005133928573,0.0009140624999872671,-0.0001840820312395408,-52.498813476562475,30.000882110595704,24688.6,26836.0,0.0,703.2,44.6,0.0,0.0,0.0,64.60541772947528,25.240839922633317,0.0,16.332176829804407,4.296510211788166,0.0,0.0,0.0,
2025-06-26_12-25-34,2025-06-26_12-25-39,5,1,-65.19372098214285,-5.363839285714278,1.0055803571428577,67.4915,44.99005133928573,0.0009140624999872671,-0.0001840820312395408,-52.498813476562475,30.000882110595704,24701.6,26847.2,0.0,702.0,51.4,0.0,0.4,0.0,82.02597149683751,59.15352905786771,0.0,7.867655305108378,1.4352700094407322,0.0,0.24494897427831783,0.0,
2025-06-26_12-25-40,2025-06-26_12-25-45,5,1,-65.19372098214285,-4.276506696428555,1.0055803571428577,67.4915,44.99005133928573,0.0009140624999872671,-0.0001840820312395408,-52.498813476562475,30.000882110595704,24441.6,26534.4,0.0,694.6,48.0,0.0,0.2,0.0,50.07454443127765,100.59155034097047,0.0,7.64591394144611,2.8809720581775866,0.0,0.2,0.0,
2025-06-26_12-25-46,2025-06-26_12-25-52,5,1,-65.19372098214285,-3.2142857142857224,1.0055803571428577,67.4915,44.99005133928573,0.0009140624999872671,-0.0001840820312395408,-52.498813476562475,30.000882110595704,24370.4,26426.4,0.0,697.0,62.4,0.0,0.2,0.0,85.94393521360305,55.02326780553842,0.0,21.67025611293046,3.4727510708370675,0.0,0.20000000000000004,0.0,
2025-06-26_12-25-52,2025-06-26_12-25-58,5,1,-65.19372098214285,-2.136997767857167,1.0055803571428577,67.4915,44.99005133928573,0.0009140624999872671,-0.0001840820312395408,-52.498813476562475,30.000882110595704,24456.2,26545.2,0.0,703.8,79.6,0.0,0.2,0.0,52.83218715896589,41.25821130393319,0.0,6.7409198185410855,2.0149441679609885,0.0,0.20000000000000004,0.0,
2025-06-26_12-25-58,2025-06-26_12-26-03,5,1,-65.19372098214285,-1.0622209821428328,1.0055803571428577,67.4915,44.99005133928573,0.0009140624999872671,-0.0001840820312395408,-52.498813476562475,30.000882110595704,24435.2,26526.4,0.0,720.8,76.8,0.0,0.0,0.0,50.51870940552619,64.00359364910692,0.0,5.489990892524322,4.963869458396343,0.0,0.0,0.0,
2025-06-26_12-26-04,2025-06-26_12-26-09,5,1,-65.19372098214285,-0.007533482142832781,1.0055803571428577,67.4915,44.99005133928573,0.0009140624999872671,-0.0001840820312395408,-52.498813476562475,30.000882110595704,24546.8,26804.0,0.0,694.8,90.2,0.0,0.0,0.0,64.9333504448985,57.17954179599553,0.0,8.528774824088158,5.122499389946278,0.0,0.0,0.0,
