start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-07-11_13-22-36,2025-07-11_13-22-51,5,3,-60.038308035714294,-3.8671875,1.0080915178571423,22.496522321428568,44.99005133928573,22.501989807128908,0.0018987426757774983,0.001613769531275011,-0.0010595703125204636,59983.73333333332,37115.0,0.0,520.4666666666666,1857.0,0.0,0.13333333333333333,0.0,77.10507981536249,69.44078212565168,0.0,3.1703487365132434,11.736931266543033,0.0,0.0816496580927726,0.0,
2025-07-11_13-22-52,2025-07-11_13-23-07,5,3,-61.09550669642857,-3.8671875,1.0080915178571423,22.496522321428568,44.99005133928573,22.501989807128908,0.0018987426757774983,0.001613769531275011,-0.0010595703125204636,57429.86666666666,35597.46666666667,0.0,513.6666666666667,1772.6666666666667,0.0,0.13333333333333333,0.0,71.9972684667042,17.785637151614914,0.0,4.370354676682441,10.691637438255714,0.0,0.0816496580927726,0.0,
2025-07-11_13-23-07,2025-07-11_13-23-22,5,3,-62.16023883928574,-3.8671875,1.0080915178571423,22.496522321428568,44.99005133928573,22.501989807128908,0.0018987426757774983,0.001613769531275011,-0.0010595703125204636,55339.866666666676,34140.0,0.0,528.8000000000001,1681.7333333333331,0.0,0.06666666666666667,0.0,129.506482034256,67.20375320206846,0.0,4.904193217147056,3.9135093657171005,0.0,0.06666666666666667,0.0,
2025-07-11_13-23-23,2025-07-11_13-23-38,5,3,-63.24254910714285,-3.8671875,1.0080915178571423,22.496522321428568,44.99005133928573,22.501989807128908,0.0018987426757774983,0.001613769531275011,-0.0010595703125204636,52982.06666666667,32468.93333333333,0.0,519.2,1587.7333333333333,0.0,0.06666666666666667,0.0,70.61432023479458,42.61812342706381,0.0,4.657848812011345,10.909425079056911,0.0,0.06666666666666667,0.0,
2025-07-11_13-23-38,2025-07-11_13-23-53,5,3,-64.2846808035714,-3.8671875,1.0080915178571423,22.496522321428568,44.99005133928573,22.501989807128908,0.0018987426757774983,0.001613769531275011,-0.0010595703125204636,50666.33333333333,30940.533333333336,0.0,531.5333333333333,1515.0666666666668,0.0,0.13333333333333333,0.0,32.70983542198436,59.38037461054713,0.0,1.6248076809271816,11.135229379466471,0.0,0.0816496580927726,0.0,
2025-07-11_13-23-54,2025-07-11_13-24-09,5,3,-65.37703571428574,-3.8671875,1.0080915178571423,22.496522321428568,44.99005133928573,22.501989807128908,0.0018987426757774983,0.001613769531275011,-0.0010595703125204636,47824.6,29182.466666666667,0.0,520.8,1407.8666666666666,0.0,0.06666666666666667,0.0,72.64719922719325,25.708969468088952,0.0,4.486523028904325,6.198207626223739,0.0,0.06666666666666667,0.0,
2025-07-11_13-24-09,2025-07-11_13-24-24,5,3,-66.44930133928574,-3.8671875,1.0080915178571423,22.496522321428568,44.99005133928573,22.501989807128908,0.0018987426757774983,0.001613769531275011,-0.0010595703125204636,45306.2,27489.93333333333,0.0,514.9333333333333,1324.6,0.0,0.13333333333333333,0.0,101.4566464609938,42.24983892145473,0.0,8.101028741256675,6.080387414557655,0.0,0.0816496580927726,0.0,
2025-07-11_13-24-25,2025-07-11_13-24-40,5,3,-67.52910044642857,-3.8671875,1.0080915178571423,22.496522321428568,44.99005133928573,22.501989807128908,0.0018987426757774983,0.001613769531275011,-0.0010595703125204636,42949.533333333326,25911.06666666667,0.0,512.8666666666666,1232.5333333333333,0.0,0.2,0.0,108.61377035676047,40.605883536474934,0.0,3.9392610700203314,8.211509537770079,0.0,0.13333333333333333,0.0,
2025-07-11_13-24-40,2025-07-11_13-24-56,5,3,-68.58881026785713,-3.8671875,1.0080915178571423,22.496522321428568,44.99005133928573,22.501989807128908,0.0018987426757774983,0.001613769531275011,-0.0010595703125204636,40485.066666666666,24208.533333333333,0.0,510.6666666666667,1130.5333333333333,0.0,0.06666666666666667,0.0,57.734103151141866,24.150592355283937,0.0,3.3780336160421895,3.092284304882412,0.0,0.06666666666666667,0.0,
2025-07-11_13-24-56,2025-07-11_13-25-11,5,3,-69.67865401785713,-3.8671875,1.0080915178571423,22.496522321428568,44.99005133928573,22.501989807128908,0.0018987426757774983,0.001613769531275011,-0.0010595703125204636,37866.8,22549.2,0.0,509.6,1046.9333333333334,0.0,0.3333333333333333,0.0,90.26470948149019,44.70751863190607,0.0,5.793099343184099,4.754413154580108,0.0,0.21081851067789198,0.0,
2025-07-11_13-25-11,2025-07-11_13-25-27,5,3,-70.74589732142857,-3.8671875,1.0080915178571423,22.496522321428568,44.99005133928573,22.501989807128908,0.0018987426757774983,0.001613769531275011,-0.0010595703125204636,35321.66666666667,20867.6,0.0,515.4,951.6666666666666,0.0,0.13333333333333333,0.0,48.33126432353198,45.428013872988615,0.0,5.964152170351721,7.682592155140244,0.0,0.0816496580927726,0.0,
2025-07-11_13-25-27,2025-07-11_13-25-42,5,3,-71.7980736607143,-3.8671875,1.0080915178571423,22.496522321428568,44.99005133928573,22.501989807128908,0.0018987426757774983,0.001613769531275011,-0.0010595703125204636,32691.06666666667,19277.799999999996,0.0,516.6,865.4,0.0,0.13333333333333333,0.0,74.36198252093972,26.80186560670731,0.0,7.118364356445304,7.771314775077214,0.0,0.0816496580927726,0.0,
2025-07-11_13-25-43,2025-07-11_13-25-58,5,3,-72.8703392857143,-3.8671875,1.0080915178571423,22.496522321428568,44.99005133928573,22.501989807128908,0.0018987426757774983,0.001613769531275011,-0.0010595703125204636,30411.066666666662,17809.06666666667,0.0,514.5333333333334,769.8,0.0,0.0,0.0,47.38370559122171,61.20706204715647,0.0,4.653075446531154,8.195256080332207,0.0,0.0,0.0,
2025-07-11_13-25-59,2025-07-11_13-26-14,5,3,-73.94009375000002,-3.8671875,1.0080915178571423,22.496522321428568,44.99005133928573,22.501989807128908,0.0018987426757774983,0.001613769531275011,-0.0010595703125204636,28327.333333333332,16208.533333333335,0.0,518.5333333333333,691.0666666666667,0.0,0.06666666666666667,0.0,13.46889420520876,16.355291362600454,0.0,6.381918903346294,8.27539861409843,0.0,0.06666666666666667,0.0,
2025-07-11_13-26-14,2025-07-11_13-26-29,5,3,-75.00984821428574,-3.8671875,1.0080915178571423,22.496522321428568,44.99005133928573,22.501989807128908,0.0018987426757774983,0.001613769531275011,-0.0010595703125204636,26225.6,14748.733333333334,0.0,511.4666666666667,607.5333333333334,0.0,0.06666666666666667,0.0,54.806264848707485,43.43928073887854,0.0,5.991289974250587,6.963077225224796,0.0,0.06666666666666667,0.0,
