start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-06-26_12-29-28,2025-06-26_12-29-44,5,3,-60.038308035714294,-7.784598214285722,0.998046875,67.4915,44.992562500000005,67.50205084228516,0.0013417968749962483,0.001613769531275011,-0.0010595703125204636,31355.8,35212.933333333334,0.0,699.5333333333334,1963.1333333333332,0.0,0.26666666666666666,0.0,39.72385233640383,62.278086033532205,0.0,10.366934616044103,13.324413683160696,0.0,0.12472191289246472,0.0,
2025-06-26_12-29-44,2025-06-26_12-30-00,5,3,-61.09550669642857,-7.784598214285722,0.998046875,67.4915,44.992562500000005,67.50205084228516,0.0013417968749962483,0.001613769531275011,-0.0010595703125204636,30122.6,33748.93333333333,0.0,702.2,1862.6,0.0,0.06666666666666667,0.0,64.12101406282046,35.3700124085048,0.0,4.788411938094821,14.199139254037757,0.0,0.06666666666666667,0.0,
2025-06-26_12-30-00,2025-06-26_12-30-15,5,3,-62.16275000000002,-7.784598214285722,0.998046875,67.4915,44.992562500000005,67.50205084228516,0.0013417968749962483,0.001613769531275011,-0.0010595703125204636,28877.06666666667,32290.8,0.0,701.1333333333333,1767.1333333333332,0.0,0.26666666666666666,0.0,48.354638982325895,14.737178985289264,0.0,10.736024507340796,5.686826883245204,0.0,0.12472191289246472,0.0,
2025-06-26_12-30-15,2025-06-26_12-30-31,5,3,-63.22748214285713,-7.784598214285722,0.998046875,67.4915,44.992562500000005,67.50205084228516,0.0013417968749962483,0.001613769531275011,-0.0010595703125204636,27593.86666666667,30712.13333333333,0.0,698.8666666666667,1694.4,0.0,0.06666666666666667,0.0,40.83702024171476,33.19598369281023,0.0,7.747114158044781,8.520172142235923,0.0,0.06666666666666667,0.0,
2025-06-26_12-30-31,2025-06-26_12-30-46,5,3,-64.32234821428574,-7.784598214285722,0.998046875,67.4915,44.992562500000005,67.50205084228516,0.0013417968749962483,0.001613769531275011,-0.0010595703125204636,26388.13333333333,29217.466666666664,0.0,709.4666666666667,1587.3333333333335,0.0,0.06666666666666667,0.0,47.28302490793576,29.273347756771333,0.0,8.341063081726068,9.866328823044796,0.0,0.06666666666666667,0.0,
2025-06-26_12-30-47,2025-06-26_12-31-02,5,3,-65.37703571428574,-7.784598214285722,0.998046875,67.4915,44.992562500000005,67.50205084228516,0.0013417968749962483,0.001613769531275011,-0.0010595703125204636,24933.533333333333,27567.466666666664,0.0,702.5333333333333,1476.5333333333333,0.0,0.0,0.0,56.083429915716714,40.62547093744088,0.0,5.9745757636467935,9.339045870846627,0.0,0.0,0.0,
2025-06-26_12-31-02,2025-06-26_12-31-17,5,3,-66.45934598214285,-7.784598214285722,0.998046875,67.4915,44.992562500000005,67.50205084228516,0.0013417968749962483,0.001613769531275011,-0.0010595703125204636,23546.2,25939.86666666667,0.0,698.6,1378.0666666666666,0.0,0.13333333333333333,0.0,47.925590473380595,42.36791238661631,0.0,4.010264607506855,10.522145957719625,0.0,0.0816496580927726,0.0,
2025-06-26_12-31-18,2025-06-26_12-31-33,5,3,-67.53412276785713,-7.784598214285722,0.998046875,67.4915,44.992562500000005,67.50205084228516,0.0013417968749962483,0.001613769531275011,-0.0010595703125204636,22144.933333333338,24341.73333333333,0.0,708.2666666666667,1254.4666666666667,0.0,0.06666666666666667,0.0,13.787836829772832,48.49563554245523,0.0,2.524106002352343,5.12141473509896,0.0,0.06666666666666667,0.0,
2025-06-26_12-31-33,2025-06-26_12-31-48,5,3,-68.61392187500002,-7.784598214285722,0.998046875,67.4915,44.992562500000005,67.50205084228516,0.0013417968749962483,0.001613769531275011,-0.0010595703125204636,20972.93333333333,22752.133333333335,0.0,696.4,1190.7333333333331,0.0,0.06666666666666667,0.0,23.07894663492612,31.057580931768193,0.0,7.0674527864633765,9.295399100869444,0.0,0.06666666666666667,0.0,
2025-06-26_12-31-49,2025-06-26_12-32-04,5,3,-69.67865401785713,-7.784598214285722,0.998046875,67.4915,44.992562500000005,67.50205084228516,0.0013417968749962483,0.001613769531275011,-0.0010595703125204636,19547.13333333333,21088.6,0.0,704.7333333333333,1057.0,0.0,0.06666666666666667,0.0,46.82468484796396,19.41774675107545,0.0,3.6368484525295672,3.481698180805196,0.0,0.06666666666666667,0.0,
2025-06-26_12-32-04,2025-06-26_12-32-19,5,3,-70.75594196428574,-7.784598214285722,0.998046875,67.4915,44.992562500000005,67.50205084228516,0.0013417968749962483,0.001613769531275011,-0.0010595703125204636,18207.933333333334,19535.4,0.0,705.0666666666666,961.8,0.0,0.0,0.0,18.87190739933024,44.4260184026335,0.0,5.088549236603035,8.502679316283526,0.0,0.0,0.0,
