start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-07-09_12-32-42,2025-07-09_12-32-58,5,3,-40.03691294642857,-15.669642857142833,1.0055803571428577,0.009078125000000048,-0.007437499999980446,0.0009140624999872671,0.0018987426757774983,0.001094970703150011,-0.0010595703125204636,40047.53333333334,46641.2,0.0,698.6666666666667,2606.866666666667,0.0,0.13333333333333333,0.0,43.56739351599825,64.54986014271782,0.0,2.8146442443446085,13.633129582829518,0.0,0.0816496580927726,0.0,
2025-07-09_12-32-58,2025-07-09_12-33-13,5,3,-41.43562946428574,-15.669642857142833,1.0055803571428577,0.009078125000000048,-0.007437499999980446,0.0009140624999872671,0.0018987426757774983,0.001094970703150011,-0.0010595703125204636,40299.33333333333,46883.0,0.0,712.7333333333333,2615.133333333333,0.0,0.2,0.0,24.3029490665906,34.17601498127012,0.0,7.8254570331564475,10.076705810928456,0.0,0.1333333333333333,0.0,
2025-07-09_12-33-14,2025-07-09_12-33-29,5,3,-42.85443526785713,-15.669642857142833,1.0055803571428577,0.009078125000000048,-0.007437499999980446,0.0009140624999872671,0.0018987426757774983,0.001094970703150011,-0.0010595703125204636,40434.0,46914.933333333334,0.0,701.3999999999999,2647.733333333333,0.0,0.5999999999999999,0.0,68.43675101061417,47.07363026861859,0.0,5.233864091981502,13.238160328719713,0.0,0.19436506316150998,0.0,
2025-07-09_12-33-30,2025-07-09_12-33-45,5,3,-44.26570758928574,-15.669642857142833,1.0055803571428577,0.009078125000000048,-0.007437499999980446,0.0009140624999872671,0.0018987426757774983,0.001094970703150011,-0.0010595703125204636,40282.2,46901.66666666667,0.0,698.6,2604.866666666667,0.0,0.13333333333333333,0.0,38.91837612234038,97.01437465081621,0.0,4.53308822866804,17.42973194158634,0.0,0.0816496580927726,0.0,
2025-07-09_12-33-46,2025-07-09_12-34-01,5,3,-45.669446428571405,-15.669642857142833,1.0055803571428577,0.009078125000000048,-0.007437499999980446,0.0009140624999872671,0.0018987426757774983,0.001094970703150011,-0.0010595703125204636,40106.53333333333,46550.73333333334,0.0,695.4666666666667,2592.8,0.0,0.13333333333333333,0.0,58.707996805281006,84.9972156406707,0.0,10.740163458305048,2.572504184210007,0.0,0.0816496580927726,0.0,
2025-07-09_12-34-01,2025-07-09_12-34-17,5,3,-47.083229910714294,-15.669642857142833,1.0055803571428577,0.009078125000000048,-0.007437499999980446,0.0009140624999872671,0.0018987426757774983,0.001094970703150011,-0.0010595703125204636,39589.933333333334,46116.53333333333,0.0,694.6,2586.0666666666666,0.0,0.2,0.0,77.34959599118875,33.51178897045094,0.0,3.411418733866866,6.215929357527986,0.0,0.0816496580927726,0.0,
2025-07-09_12-34-17,2025-07-09_12-34-33,5,3,-48.49701339285713,-15.669642857142833,1.0055803571428577,0.009078125000000048,-0.007437499999980446,0.0009140624999872671,0.0018987426757774983,0.001094970703150011,-0.0010595703125204636,39199.2,45309.33333333333,0.0,697.4666666666668,2522.9333333333334,0.0,0.3333333333333333,0.0,27.940730921799666,49.28139157486842,0.0,7.91103308326065,17.008951891414274,0.0,0.0,0.0,
2025-07-09_12-34-33,2025-07-09_12-34-48,5,3,-49.88066294642857,-15.669642857142833,1.0055803571428577,0.009078125000000048,-0.007437499999980446,0.0009140624999872671,0.0018987426757774983,0.001094970703150011,-0.0010595703125204636,38444.53333333333,44518.066666666666,0.0,700.6000000000001,2475.0,0.0,0.13333333333333333,0.0,39.96659716424271,36.3554061393281,0.0,8.888444433332776,7.489993324429622,0.0,0.0816496580927726,0.0,
2025-07-09_12-34-49,2025-07-09_12-35-04,5,3,-51.28942410714285,-15.669642857142833,1.0055803571428577,0.009078125000000048,-0.007437499999980446,0.0009140624999872671,0.0018987426757774983,0.001094970703150011,-0.0010595703125204636,37581.73333333333,43376.200000000004,0.0,697.5333333333333,2411.466666666667,0.0,0.26666666666666666,0.0,58.56348881532112,60.9047161100396,0.0,5.971785513748972,12.836839347925334,0.0,0.12472191289246472,0.0,
2025-07-09_12-35-05,2025-07-09_12-35-20,5,3,-52.725808035714294,-15.669642857142833,1.0055803571428577,0.009078125000000048,-0.007437499999980446,0.0009140624999872671,0.0018987426757774983,0.001094970703150011,-0.0010595703125204636,36579.600000000006,42193.53333333333,0.0,704.2,2342.733333333333,0.0,0.26666666666666666,0.0,66.38167417794374,37.2780245065526,0.0,8.794948044821579,23.93681497424229,0.0,0.12472191289246469,0.0,
2025-07-09_12-35-20,2025-07-09_12-35-36,5,3,-54.096901785714294,-15.669642857142833,1.0055803571428577,0.009078125000000048,-0.007437499999980446,0.0009140624999872671,0.0018987426757774983,0.001094970703150011,-0.0010595703125204636,35279.8,40836.666666666664,0.0,701.4666666666666,2246.6,0.0,0.2,0.0,47.960585669670024,39.788608084894136,0.0,7.492663077971671,7.812667775976214,0.0,0.1333333333333333,0.0,
2025-07-09_12-35-36,2025-07-09_12-35-51,5,3,-55.53328571428574,-15.669642857142833,1.0055803571428577,0.009078125000000048,-0.007437499999980446,0.0009140624999872671,0.0018987426757774983,0.001094970703150011,-0.0010595703125204636,34072.8,39189.53333333333,0.0,701.0666666666667,2135.9333333333334,0.0,0.26666666666666666,0.0,58.81775997850487,34.01186067633778,0.0,2.3031379560166267,8.053570636680359,0.0,0.12472191289246472,0.0,
2025-07-09_12-35-52,2025-07-09_12-36-07,5,3,-56.94958035714285,-15.669642857142833,1.0055803571428577,0.009078125000000048,-0.007437499999980446,0.0009140624999872671,0.0018987426757774983,0.001094970703150011,-0.0010595703125204636,32545.0,37508.6,0.0,701.1333333333332,2047.0666666666668,0.0,0.06666666666666667,0.0,58.1435961888991,100.74116448712644,0.0,5.35267326773372,10.344832311620868,0.0,0.06666666666666667,0.0,
2025-07-09_12-36-08,2025-07-09_12-36-23,5,3,-58.34578571428574,-15.669642857142833,1.0055803571428577,0.009078125000000048,-0.007437499999980446,0.0009140624999872671,0.0018987426757774983,0.001094970703150011,-0.0010595703125204636,31087.533333333336,35732.13333333333,0.0,711.8666666666666,1925.8,0.0,0.26666666666666666,0.0,23.154937078539188,63.19613208979781,0.0,8.666410252617089,12.573605511370092,0.0,0.06666666666666665,0.0,
2025-07-09_12-36-23,2025-07-09_12-36-39,5,3,-59.74701339285713,-15.669642857142833,1.0055803571428577,0.009078125000000048,-0.007437499999980446,0.0009140624999872671,0.0018987426757774983,0.001094970703150011,-0.0010595703125204636,29528.6,33813.666666666664,0.0,708.6,1816.4,0.0,0.13333333333333333,0.0,32.4989572482286,44.352752639116986,0.0,10.180809834629496,8.650240844431261,0.0,0.0816496580927726,0.0,
2025-07-09_12-36-39,2025-07-09_12-36-54,5,3,-61.18339732142857,-15.669642857142833,1.0055803571428577,0.009078125000000048,-0.007437499999980446,0.0009140624999872671,0.0018987426757774983,0.001094970703150011,-0.0010595703125204636,27815.533333333333,31746.8,0.0,689.4000000000001,1688.4,0.0,0.0,0.0,28.845296169585527,42.902939552229114,0.0,4.9591665966504275,12.985205256581628,0.0,0.0,0.0,
2025-07-09_12-36-55,2025-07-09_12-37-10,5,3,-62.59466964285713,-15.669642857142833,1.0055803571428577,0.009078125000000048,-0.007437499999980446,0.0009140624999872671,0.0018987426757774983,0.001094970703150011,-0.0010595703125204636,26275.266666666663,29800.06666666667,0.0,703.4666666666667,1581.0666666666664,0.0,0.13333333333333333,0.0,44.59613834801795,93.49625066754788,0.0,14.991701408149476,15.946925861884619,0.0,0.0816496580927726,0.0,
2025-07-09_12-37-11,2025-07-09_12-37-26,5,3,-64.0109642857143,-15.669642857142833,1.0055803571428577,0.009078125000000048,-0.007437499999980446,0.0009140624999872671,0.0018987426757774983,0.001094970703150011,-0.0010595703125204636,24616.266666666666,27737.4,0.0,692.0,1442.6,0.0,0.2,0.0,29.420023415656395,64.22957089828472,0.0,7.481829841541287,15.393144217114635,0.0,0.20000000000000004,0.0,
2025-07-09_12-37-27,2025-07-09_12-37-42,5,3,-65.42223660714285,-15.669642857142833,1.0055803571428577,0.009078125000000048,-0.007437499999980446,0.0009140624999872671,0.0018987426757774983,0.001094970703150011,-0.0010595703125204636,22685.73333333333,25540.86666666667,0.0,704.2666666666667,1307.6,0.0,0.13333333333333333,0.0,23.86405944790948,42.636656112368954,0.0,4.699172503986441,8.083178692678866,0.0,0.0816496580927726,0.0,
2025-07-09_12-37-42,2025-07-09_12-37-58,5,3,-66.82597544642857,-15.669642857142833,1.0055803571428577,0.009078125000000048,-0.007437499999980446,0.0009140624999872671,0.0018987426757774983,0.001094970703150011,-0.0010595703125204636,21017.2,23487.0,0.0,695.6,1177.2666666666667,0.0,0.3333333333333333,0.0,23.690973433403393,28.844024992670043,0.0,2.957852073530549,9.020593722760783,0.0,0.10540925533894598,0.0,
2025-07-09_12-37-58,2025-07-09_12-38-13,5,3,-68.2472924107143,-15.669642857142833,1.0055803571428577,0.009078125000000048,-0.007437499999980446,0.0009140624999872671,0.0018987426757774983,0.001094970703150011,-0.0010595703125204636,19254.066666666666,21395.533333333333,0.0,701.3333333333333,1037.8,0.0,0.13333333333333333,0.0,46.811133528491055,57.559495789622225,0.0,4.4484703987875385,6.096082530791571,0.0,0.0816496580927726,0.0,
2025-07-09_12-38-14,2025-07-09_12-38-29,5,3,-69.65103125000002,-15.669642857142833,1.0055803571428577,0.009078125000000048,-0.007437499999980446,0.0009140624999872671,0.0018987426757774983,0.001094970703150011,-0.0010595703125204636,17515.6,19303.466666666667,0.0,701.8666666666667,936.8666666666666,0.0,0.06666666666666667,0.0,41.28941214834038,38.029608348116156,0.0,6.907805568903753,6.563874194745401,0.0,0.06666666666666667,0.0,
2025-07-09_12-38-30,2025-07-09_12-38-45,5,3,-71.06732589285713,-15.669642857142833,1.0055803571428577,0.009078125000000048,-0.007437499999980446,0.0009140624999872671,0.0018987426757774983,0.001094970703150011,-0.0010595703125204636,15798.06666666667,17272.866666666665,0.0,699.6,802.7333333333333,0.0,0.2,0.0,37.82553517283149,32.34288518704261,0.0,5.3866089105814545,2.497554359323883,0.0,0.0816496580927726,0.0,
2025-07-09_12-38-46,2025-07-09_12-39-01,5,3,-72.4660424107143,-15.669642857142833,1.0055803571428577,0.009078125000000048,-0.007437499999980446,0.0009140624999872671,0.0018987426757774983,0.001094970703150011,-0.0010595703125204636,14225.533333333335,15379.0,0.0,696.6,677.8,0.0,0.2,0.0,51.00082787999069,27.886077768903476,0.0,3.4179265969622925,3.75292478534335,0.0,0.0816496580927726,0.0,
