start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-06-20_14-01-21,2025-06-20_14-01-36,5,3,-105.01821875000002,-12.995256696428555,1.003069196428573,0.0065669642857143495,-44.99488169642859,0.0009140624999872671,45.002074218749996,0.001613769531275011,-0.0010595703125204636,16796.533333333333,18545.2,0.0,695.3333333333333,879.3333333333333,0.0,0.0,0.0,25.92609153386235,36.368423422279825,0.0,8.361950862222413,9.05722547656474,0.0,0.0,0.0,
2025-06-20_14-01-37,2025-06-20_14-01-52,5,3,-106.09801785714285,-12.995256696428555,1.003069196428573,0.0065669642857143495,-44.99488169642859,0.0009140624999872671,45.002074218749996,0.001613769531275011,-0.0010595703125204636,18089.06666666667,20095.93333333333,0.0,706.8000000000001,979.8666666666666,0.0,0.13333333333333333,0.0,37.59379381405033,23.3143732491352,0.0,8.050258795011912,8.747444071143175,0.0,0.0816496580927726,0.0,
2025-06-20_14-01-52,2025-06-20_14-02-07,5,3,-107.15019419642857,-12.995256696428555,1.003069196428573,0.0065669642857143495,-44.99488169642859,0.0009140624999872671,45.002074218749996,0.001613769531275011,-0.0010595703125204636,19456.333333333336,21698.533333333333,0.0,695.9333333333333,1082.6666666666665,0.0,0.13333333333333333,0.0,45.100874591175085,37.38903582602807,0.0,7.752705620907093,9.978866557769868,0.0,0.13333333333333333,0.0,
2025-06-20_14-02-08,2025-06-20_14-02-23,5,3,-108.23501562500002,-12.995256696428555,1.003069196428573,0.0065669642857143495,-44.99488169642859,0.0009140624999872671,45.002074218749996,0.001613769531275011,-0.0010595703125204636,20833.4,23349.13333333333,0.0,695.2666666666667,1186.2666666666667,0.0,0.06666666666666667,0.0,50.97879733553732,43.919319970448925,0.0,5.495857025473324,10.057280392277471,0.0,0.06666666666666667,0.0,
2025-06-20_14-02-24,2025-06-20_14-02-39,5,3,-109.30728125000002,-12.995256696428555,1.003069196428573,0.0065669642857143495,-44.99488169642859,0.0009140624999872671,45.002074218749996,0.001613769531275011,-0.0010595703125204636,22195.999999999996,24959.066666666662,0.0,705.4666666666666,1314.2666666666667,0.0,0.13333333333333333,0.0,24.065189243663447,67.08927716938888,0.0,3.9603591307411117,13.070067584625018,0.0,0.0816496580927726,0.0,
2025-06-20_14-02-39,2025-06-20_14-02-55,5,3,-110.3820580357143,-12.995256696428555,1.003069196428573,0.0065669642857143495,-44.99488169642859,0.0009140624999872671,45.002074218749996,0.001613769531275011,-0.0010595703125204636,23708.2,26575.26666666667,0.0,695.9333333333333,1396.1333333333334,0.0,0.2,0.0,40.9965581211131,49.7317694124079,0.0,8.643173285573093,14.345576166733627,0.0,0.13333333333333333,0.0,
2025-06-20_14-02-55,2025-06-20_14-03-11,5,3,-111.45683482142857,-12.995256696428555,1.003069196428573,0.0065669642857143495,-44.99488169642859,0.0009140624999872671,45.002074218749996,0.001613769531275011,-0.0010595703125204636,25108.200000000004,28190.13333333333,0.0,709.0666666666667,1507.0666666666666,0.0,0.13333333333333333,0.0,48.097886301444234,41.64780906602421,0.0,8.314244804350345,15.922171822824797,0.0,0.0816496580927726,0.0,
2025-06-20_14-03-11,2025-06-20_14-03-27,5,3,-112.53161160714285,-12.995256696428555,1.003069196428573,0.0065669642857143495,-44.99488169642859,0.0009140624999872671,45.002074218749996,0.001613769531275011,-0.0010595703125204636,26601.6,29957.13333333333,0.0,700.6666666666666,1615.0666666666668,0.0,0.13333333333333333,0.0,26.618581646829107,38.77622410131683,0.0,8.098010729665512,9.414173711307123,0.0,0.13333333333333333,0.0,
2025-06-20_14-03-27,2025-06-20_14-03-42,5,3,-113.60136607142857,-12.995256696428555,1.003069196428573,0.0065669642857143495,-44.99488169642859,0.0009140624999872671,45.002074218749996,0.001613769531275011,-0.0010595703125204636,28002.2,31480.0,0.0,707.6,1740.6666666666667,0.0,0.13333333333333333,0.0,21.696031383130055,22.858744983533516,0.0,8.499281015343458,6.099180272790764,0.0,0.13333333333333333,0.0,
2025-06-20_14-03-43,2025-06-20_14-03-58,5,3,-114.65605357142857,-12.995256696428555,1.003069196428573,0.0065669642857143495,-44.99488169642859,0.0009140624999872671,45.002074218749996,0.001613769531275011,-0.0010595703125204636,29192.466666666664,33037.6,0.0,703.8666666666667,1802.0666666666664,0.0,0.2,0.0,36.785806441554975,24.86706880818681,0.0,2.9582276976445,5.992958831458455,0.0,0.1333333333333333,0.0,
2025-06-20_14-03-58,2025-06-20_14-04-14,5,3,-115.73083035714285,-12.995256696428555,1.003069196428573,0.0065669642857143495,-44.99488169642859,0.0009140624999872671,45.002074218749996,0.001613769531275011,-0.0010595703125204636,30537.333333333332,34600.53333333334,0.0,701.3333333333333,1917.1333333333337,0.0,0.13333333333333333,0.0,30.468563033614515,62.07554537282213,0.0,3.069563848859034,10.293795326419827,0.0,0.0816496580927726,0.0,
2025-06-20_14-04-14,2025-06-20_14-04-29,5,3,-116.81314062500002,-12.995256696428555,1.003069196428573,0.0065669642857143495,-44.99488169642859,0.0009140624999872671,45.002074218749996,0.001613769531275011,-0.0010595703125204636,31949.8,36065.933333333334,0.0,706.2666666666667,1998.8,0.0,0.39999999999999997,0.0,55.01500805335904,62.05207490487325,0.0,5.380417166808616,11.935753944440307,0.0,0.06666666666666667,0.0,
