start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-05-22_17-04-15,2025-05-22_17-04-20,5,1,-65.43791294642858,-35.00558035714283,0.9930245535714306,-0.002511160714277594,44.99246651785714,45.00233151245117,0.0029687499999937472,-14.9988366699219,-105.00176037597657,23608.2,22950.4,0.0,525.0,994.2,0.0,0.0,0.0,77.45798861318308,79.01493529706899,0.0,3.974921382870358,14.613007903919026,0.0,0.0,0.0,
2025-05-22_17-04-21,2025-05-22_17-04-26,5,1,-65.43791294642858,-32.85100446428572,0.9930245535714306,-0.002511160714277594,44.99246651785714,45.00233151245117,0.0029687499999937472,-14.9988366699219,-105.00176037597657,28670.6,25988.8,0.0,496.2,1200.2,0.0,0.0,0.0,67.93644088410873,46.20216445146266,0.0,9.753973549277237,10.32182154466933,0.0,0.0,0.0,
2025-05-22_17-04-27,2025-05-22_17-04-32,5,1,-65.43791294642858,-30.708984375,0.9930245535714306,-0.002511160714277594,44.99246651785714,45.00233151245117,0.0029687499999937472,-14.9988366699219,-105.00176037597657,30343.6,27134.6,0.0,514.8,1131.4,0.0,0.4,0.0,82.74575517813587,82.81883843667454,0.0,5.112729212465686,10.452750834110606,0.0,0.4,0.0,
2025-05-22_17-04-33,2025-05-22_17-04-38,5,1,-65.43791294642858,-28.566964285714278,0.9930245535714306,-0.002511160714277594,44.99246651785714,45.00233151245117,0.0029687499999937472,-14.9988366699219,-105.00176037597657,31158.6,27696.0,0.0,507.0,927.0,0.0,0.2,0.0,29.437391188758557,67.31641701695062,0.0,12.976902558006667,16.813684902483452,0.0,0.2,0.0,
2025-05-22_17-04-39,2025-05-22_17-04-44,5,1,-65.43791294642858,-26.429966517857167,0.9930245535714306,-0.002511160714277594,44.99246651785714,45.00233151245117,0.0029687499999937472,-14.9988366699219,-105.00176037597657,30956.8,28073.2,0.0,527.0,671.0,0.0,0.0,0.0,88.9693205548969,61.151778387876824,0.0,10.765686229869418,5.449770637375485,0.0,0.0,0.0,
2025-05-22_17-04-45,2025-05-22_17-04-51,5,1,-65.43791294642858,-24.277901785714278,0.9930245535714306,-0.002511160714277594,44.99246651785714,45.00233151245117,0.0029687499999937472,-14.9988366699219,-105.00176037597657,30362.2,28391.2,0.0,517.8,474.0,0.0,0.0,0.0,84.006785440225,81.55145614886345,0.0,8.725823743349391,9.904544411531507,0.0,0.0,0.0,
2025-05-22_17-04-52,2025-05-22_17-04-57,5,1,-65.43791294642858,-22.133370535714278,0.9930245535714306,-0.002511160714277594,44.99246651785714,45.00233151245117,0.0029687499999937472,-14.9988366699219,-105.00176037597657,29757.4,28748.4,0.0,510.6,361.0,0.0,0.2,0.0,81.45771909401833,89.62845530298958,0.0,14.868086628749511,6.06630035524124,0.0,0.20000000000000004,0.0,
2025-05-22_17-04-58,2025-05-22_17-05-03,5,1,-65.43791294642858,-20.006417410714278,0.9930245535714306,-0.002511160714277594,44.99246651785714,45.00233151245117,0.0029687499999937472,-14.9988366699219,-105.00176037597657,29008.6,29076.2,0.0,514.2,302.6,0.0,0.6,0.0,78.82740640158092,77.12094397762516,0.0,6.568104749469209,6.968500556073737,0.0,0.24494897427831783,0.0,
2025-05-22_17-05-04,2025-05-22_17-05-09,5,1,-65.43791294642858,-17.859375,0.9930245535714306,-0.002511160714277594,44.99246651785714,45.00233151245117,0.0029687499999937472,-14.9988366699219,-105.00176037597657,28854.0,29268.0,0.0,501.6,350.2,0.0,0.0,0.0,11.013627921806693,34.06024075076393,0.0,2.7313000567495322,7.002856560004638,0.0,0.0,0.0,
2025-05-22_17-05-11,2025-05-22_17-05-16,5,1,-65.43791294642858,-15.707310267857167,0.9930245535714306,-0.002511160714277594,44.99246651785714,45.00233151245117,0.0029687499999937472,-14.9988366699219,-105.00176037597657,28702.2,29478.8,0.0,518.8,436.6,0.0,0.2,0.0,117.73036991362933,106.63836082761212,0.0,9.32416216075203,12.217200988769891,0.0,0.20000000000000004,0.0,
2025-05-22_17-05-17,2025-05-22_17-05-22,5,1,-65.43791294642858,-13.567801339285722,0.9930245535714306,-0.002511160714277594,44.99246651785714,45.00233151245117,0.0029687499999937472,-14.9988366699219,-105.00176037597657,28645.6,29735.2,0.0,510.2,558.2,0.0,0.0,0.0,77.21826208870542,62.39583319421257,0.0,14.73567100609945,6.792643079096678,0.0,0.0,0.0,
2025-05-22_17-05-24,2025-05-22_17-05-29,5,1,-65.43791294642858,-11.423270089285722,0.9930245535714306,-0.002511160714277594,44.99246651785714,45.00233151245117,0.0029687499999937472,-14.9988366699219,-105.00176037597657,28759.6,29506.2,0.0,526.4,674.4,0.0,0.0,0.0,59.05980020284524,81.41891672087021,0.0,13.987851872249719,9.01443287178955,0.0,0.0,0.0,
2025-05-22_17-05-30,2025-05-22_17-05-35,5,1,-65.43791294642858,-9.278738839285722,0.9930245535714306,-0.002511160714277594,44.99246651785714,45.00233151245117,0.0029687499999937472,-14.9988366699219,-105.00176037597657,28797.0,29382.2,0.0,496.2,798.2,0.0,0.2,0.0,63.42239352153149,65.12173216369479,0.0,13.723702124426922,7.806407624509495,0.0,0.20000000000000004,0.0,
2025-05-22_17-05-36,2025-05-22_17-05-41,5,1,-65.43791294642858,-7.134207589285722,0.9930245535714306,-0.002511160714277594,44.99246651785714,45.00233151245117,0.0029687499999937472,-14.9988366699219,-105.00176037597657,29115.2,29474.6,0.0,515.6,888.8,0.0,0.0,0.0,81.06935302566562,47.45271330493125,0.0,6.1773780845922,17.69011023142592,0.0,0.0,0.0,
2025-05-22_17-05-42,2025-05-22_17-05-48,5,1,-65.43791294642858,-4.994698660714278,0.9930245535714306,-0.002511160714277594,44.99246651785714,45.00233151245117,0.0029687499999937472,-14.9988366699219,-105.00176037597657,29017.4,28952.2,0.0,526.2,903.6,0.0,0.0,0.0,73.26431600718047,83.74688053891917,0.0,6.47610994347687,6.079473661428265,0.0,0.0,0.0,
