start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-06-02_15-42-36,2025-06-02_15-42-51,5,3,-112.00989955357142,-33.00418526785711,1.0005580357142847,67.49246651785714,44.99246651785714,45.00233151245117,0.0019921874999937472,-7.498989257812525,-60.00119580078126,27348.06666666667,28595.666666666668,0.0,525.6000000000001,717.1333333333333,0.0,0.0,0.0,26.084563336280787,53.08117473371463,0.0,10.667916593433054,5.224514863176814,0.0,0.0,0.0,
2025-06-02_15-42-52,2025-06-02_15-43-07,5,3,-112.00989955357142,-31.891741071428555,1.0005580357142847,67.49246651785714,44.99246651785714,45.00233151245117,0.0019921874999937472,-7.498989257812525,-60.00119580078126,28023.8,29373.26666666667,0.0,515.3999999999999,543.7333333333333,0.0,0.06666666666666667,0.0,35.499389666114986,50.885645214430596,0.0,5.639542928681751,6.359070512093558,0.0,0.06666666666666667,0.0,
2025-06-02_15-43-09,2025-06-02_15-43-24,5,3,-112.00989955357142,-30.769252232142833,1.0005580357142847,67.49246651785714,44.99246651785714,45.00233151245117,0.0019921874999937472,-7.498989257812525,-60.00119580078126,28872.2,29974.533333333336,0.0,503.4,362.46666666666664,0.0,0.13333333333333333,0.0,53.88027880815457,60.24889118389559,0.0,6.497349887112097,5.350597059103669,0.0,0.0816496580927726,0.0,
2025-06-02_15-43-25,2025-06-02_15-43-40,5,3,-112.00989955357142,-29.664341517857167,1.0005580357142847,67.49246651785714,44.99246651785714,45.00233151245117,0.0019921874999937472,-7.498989257812525,-60.00119580078126,28992.666666666664,29995.86666666667,0.0,515.3333333333334,234.26666666666665,0.0,0.13333333333333333,0.0,34.979358992919515,51.8597039028268,0.0,4.1579909678700435,4.6659523262792915,0.0,0.0816496580927726,0.0,
2025-06-02_15-43-42,2025-06-02_15-43-57,5,3,-112.00989955357142,-28.546875,1.0005580357142847,67.49246651785714,44.99246651785714,45.00233151245117,0.0019921874999937472,-7.498989257812525,-60.00119580078126,28943.066666666662,29957.666666666668,0.0,517.8666666666666,143.93333333333334,0.0,0.13333333333333333,0.0,37.40698092899505,60.575297495486275,0.0,6.1288026744399495,3.2615606353060165,0.0,0.0816496580927726,0.0,
2025-06-02_15-43-57,2025-06-02_15-44-13,5,3,-112.00989955357142,-27.434430803571445,1.0005580357142847,67.49246651785714,44.99246651785714,45.00233151245117,0.0019921874999937472,-7.498989257812525,-60.00119580078126,29075.2,29933.2,0.0,507.2666666666666,100.06666666666666,0.0,0.13333333333333333,0.0,37.8041150023525,50.21504865188397,0.0,5.733333333333342,2.985892756874493,0.0,0.0816496580927726,0.0,
2025-06-02_15-44-13,2025-06-02_15-44-29,5,3,-112.00989955357142,-26.324497767857167,1.0005580357142847,67.49246651785714,44.99246651785714,45.00233151245117,0.0019921874999937472,-7.498989257812525,-60.00119580078126,29115.266666666663,29891.8,0.0,492.3333333333333,117.4,0.0,0.06666666666666667,0.0,16.61639083689492,58.879972071249185,0.0,2.7467152099270256,4.42141254452566,0.0,0.06666666666666667,0.0,
2025-06-02_15-44-30,2025-06-02_15-44-45,5,3,-112.00989955357142,-25.219587053571445,1.0005580357142847,67.49246651785714,44.99246651785714,45.00233151245117,0.0019921874999937472,-7.498989257812525,-60.00119580078126,28923.4,29751.733333333337,0.0,498.1333333333334,165.4,0.0,0.26666666666666666,0.0,62.05279114503106,40.398624839082096,0.0,1.8844392033470108,4.179845823844598,0.0,0.12472191289246469,0.0,
2025-06-02_15-44-46,2025-06-02_15-45-02,5,3,-112.00989955357142,-24.107142857142833,1.0005580357142847,67.49246651785714,44.99246651785714,45.00233151245117,0.0019921874999937472,-7.498989257812525,-60.00119580078126,28730.6,29611.466666666667,0.0,512.6,255.0,0.0,0.0,0.0,19.285112277494253,27.685254799862467,0.0,7.304032371840146,3.3796778281697515,0.0,0.0,0.0,
2025-06-02_15-45-02,2025-06-02_15-45-18,5,3,-112.00989955357142,-23.007254464285722,1.0005580357142847,67.49246651785714,44.99246651785714,45.00233151245117,0.0019921874999937472,-7.498989257812525,-60.00119580078126,28599.666666666664,29408.8,0.0,509.1333333333333,363.8,0.0,0.0,0.0,27.66927698529305,21.366536661070956,0.0,6.837478417597464,5.031677431809177,0.0,0.0,0.0,
