start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-06-03_16-44-08,2025-06-03_16-44-23,5,3,-64.94321428571425,-32.994140625,1.003069196428573,-0.002511160714277594,-44.99246651785711,0.0012214355468813665,-0.0009375000000204636,-59.99889770507815,15.00136767578125,24315.799999999996,25766.4,0.0,503.4,273.26666666666665,0.0,0.13333333333333333,0.0,49.78426793007333,21.724896112780563,0.0,8.93644224509956,5.255050480780891,0.0,0.0816496580927726,0.0,
2025-06-03_16-44-24,2025-06-03_16-44-40,5,3,-64.94321428571425,-31.891741071428555,1.003069196428573,-0.002511160714277594,-44.99246651785711,0.0012214355468813665,-0.0009375000000204636,-59.99889770507815,15.00136767578125,24839.466666666667,26492.0,0.0,503.8666666666666,164.26666666666665,0.0,0.0,0.0,36.50138505743449,29.9106075572601,0.0,4.7253453724451555,5.1933718441019705,0.0,0.0,0.0,
2025-06-03_16-44-40,2025-06-03_16-44-55,5,3,-64.94321428571425,-30.776785714285722,1.003069196428573,-0.002511160714277594,-44.99246651785711,0.0012214355468813665,-0.0009375000000204636,-59.99889770507815,15.00136767578125,25066.533333333333,26831.2,0.0,515.4,108.06666666666665,0.0,0.13333333333333333,0.0,44.86307563638012,33.32243155060006,0.0,6.860029154456998,1.7172329163188336,0.0,0.0816496580927726,0.0,
2025-06-03_16-44-56,2025-06-03_16-45-12,5,3,-64.94321428571425,-29.659319196428555,1.003069196428573,-0.002511160714277594,-44.99246651785711,0.0012214355468813665,-0.0009375000000204636,-59.99889770507815,15.00136767578125,25234.666666666668,27032.93333333333,0.0,508.8666666666667,93.2,0.0,0.2,0.0,43.636758205286554,37.179952782230274,0.0,3.120897306865438,1.9049642749639393,0.0,0.1333333333333333,0.0,
2025-06-03_16-45-13,2025-06-03_16-45-28,5,3,-64.94321428571425,-28.561941964285722,1.003069196428573,-0.002511160714277594,-44.99246651785711,0.0012214355468813665,-0.0009375000000204636,-59.99889770507815,15.00136767578125,25266.6,26931.533333333333,0.0,508.8666666666667,126.8,0.0,0.2,0.0,40.37785421627965,32.72131483367433,0.0,4.414118761932486,1.3441230102437278,0.0,0.0816496580927726,0.0,
2025-06-03_16-45-29,2025-06-03_16-45-44,5,3,-64.94321428571425,-27.439453125,1.003069196428573,-0.002511160714277594,-44.99246651785711,0.0012214355468813665,-0.0009375000000204636,-59.99889770507815,15.00136767578125,25397.6,27127.333333333336,0.0,508.2666666666667,205.06666666666666,0.0,0.3333333333333333,0.0,65.23269459745198,24.85424175736075,0.0,6.96531087285812,4.257542327055206,0.0,0.10540925533894598,0.0,
2025-06-03_16-45-45,2025-06-03_16-46-01,5,3,-64.94321428571425,-26.334542410714278,1.003069196428573,-0.002511160714277594,-44.99246651785711,0.0012214355468813665,-0.0009375000000204636,-59.99889770507815,15.00136767578125,25606.6,27173.666666666664,0.0,509.2,320.8,0.0,0.06666666666666667,0.0,64.30434580095546,20.765088222516077,0.0,6.64546629080475,4.402776901507098,0.0,0.06666666666666667,0.0,
2025-06-03_16-46-01,2025-06-03_16-46-17,5,3,-64.94321428571425,-25.224609375,1.003069196428573,-0.002511160714277594,-44.99246651785711,0.0012214355468813665,-0.0009375000000204636,-59.99889770507815,15.00136767578125,25752.8,27221.733333333337,0.0,499.2,475.8666666666666,0.0,0.13333333333333333,0.0,43.402585688463645,25.901394213868848,0.0,2.5595138427269992,4.534558657931576,0.0,0.0816496580927726,0.0,
2025-06-03_16-46-18,2025-06-03_16-46-33,5,3,-64.94321428571425,-24.1171875,1.003069196428573,-0.002511160714277594,-44.99246651785711,0.0012214355468813665,-0.0009375000000204636,-59.99889770507815,15.00136767578125,26032.8,27330.06666666667,0.0,514.9333333333333,611.1333333333333,0.0,0.3333333333333333,0.0,17.812791907939516,21.520894239990888,0.0,2.702673573416594,7.744962520531943,0.0,0.10540925533894598,0.0,
2025-06-03_16-46-34,2025-06-03_16-46-50,5,3,-64.94321428571425,-23.004743303571445,1.003069196428573,-0.002511160714277594,-44.99246651785711,0.0012214355468813665,-0.0009375000000204636,-59.99889770507815,15.00136767578125,26183.06666666667,27313.73333333333,0.0,514.8666666666667,755.4,0.0,0.0,0.0,29.982291069526227,47.38229861691224,0.0,4.5638677554119464,6.066666666666678,0.0,0.0,0.0,
