start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-05-23_14-10-25,2025-05-23_14-10-40,5,3,-60.03389508928569,-19.097377232142833,1.0055803571428577,-0.005022321428555188,44.994977678571416,0.0012214355468813665,135.00248046874998,45.0024755859375,-0.0024834399223436776,17810.533333333333,38151.46666666667,0.0,515.9333333333334,23.46666666666667,0.0,0.13333333333333333,0.0,29.35749005317394,47.821845310368886,0.0,8.21678498900607,1.1284207253207172,0.0,0.0816496580927726,0.0,
2025-05-23_14-10-40,2025-05-23_14-10-56,5,3,-61.07853794642858,-19.097377232142833,1.0055803571428577,-0.005022321428555188,44.994977678571416,0.0012214355468813665,135.00248046874998,45.0024755859375,-0.0024834399223436776,19506.200000000004,36526.26666666667,0.0,517.9333333333333,22.866666666666667,0.0,0.0,0.0,47.16644287343856,30.776145163277445,0.0,2.8487814158962,1.3727506854649332,0.0,0.0,0.0,
2025-05-23_14-10-56,2025-05-23_14-11-12,5,3,-62.14327008928569,-19.097377232142833,1.0055803571428577,-0.005022321428555188,44.994977678571416,0.0012214355468813665,135.00248046874998,45.0024755859375,-0.0024834399223436776,21276.8,34920.46666666667,0.0,515.0000000000001,23.2,0.0,0.2,0.0,54.39961192672053,49.21840215926507,0.0,4.771442828607164,2.001665972800324,0.0,0.2,0.0,
2025-05-23_14-11-12,2025-05-23_14-11-28,5,3,-63.22055803571425,-19.097377232142833,1.0055803571428577,-0.005022321428555188,44.994977678571416,0.0012214355468813665,135.00248046874998,45.0024755859375,-0.0024834399223436776,22913.533333333333,33395.73333333333,0.0,516.6666666666666,26.8,0.0,0.06666666666666667,0.0,40.826543653200325,46.42429919294,0.0,3.3216461782274918,0.7195677714974298,0.0,0.06666666666666667,0.0,
2025-05-23_14-11-28,2025-05-23_14-11-43,5,3,-64.30286830357142,-19.097377232142833,1.0055803571428577,-0.005022321428555188,44.994977678571416,0.0012214355468813665,135.00248046874998,45.0024755859375,-0.0024834399223436776,24705.133333333335,31616.8,0.0,512.6666666666666,26.0,0.0,0.13333333333333333,0.0,37.35425009286129,72.13025255281796,0.0,2.097617696340291,1.1055415967851332,0.0,0.0816496580927726,0.0,
2025-05-23_14-11-44,2025-05-23_14-11-59,5,3,-65.36006696428569,-19.097377232142833,1.0055803571428577,-0.005022321428555188,44.994977678571416,0.0012214355468813665,135.00248046874998,45.0024755859375,-0.0024834399223436776,26584.8,29986.06666666667,0.0,515.0,24.133333333333333,0.0,0.13333333333333333,0.0,12.240461138735187,5.075431016180028,0.0,7.323478226453154,0.5011098792790968,0.0,0.0816496580927726,0.0,
2025-05-23_14-11-59,2025-05-23_14-12-14,5,3,-66.43986607142858,-19.097377232142833,1.0055803571428577,-0.005022321428555188,44.994977678571416,0.0012214355468813665,135.00248046874998,45.0024755859375,-0.0024834399223436776,28415.666666666664,28170.333333333332,0.0,506.7333333333333,26.2,0.0,0.13333333333333333,0.0,35.67102777075813,43.7092667520287,0.0,3.5393031329156686,0.4027681991198188,0.0,0.13333333333333333,0.0,
2025-05-23_14-12-15,2025-05-23_14-12-30,5,3,-67.50710937500003,-19.097377232142833,1.0055803571428577,-0.005022321428555188,44.994977678571416,0.0012214355468813665,135.00248046874998,45.0024755859375,-0.0024834399223436776,30268.26666666667,26471.73333333333,0.0,512.3333333333333,27.866666666666664,0.0,0.06666666666666667,0.0,38.70650246836229,22.938904362094686,0.0,5.994441870043721,1.0677078252031307,0.0,0.06666666666666667,0.0,
2025-05-23_14-12-30,2025-05-23_14-12-45,5,3,-68.57937500000003,-19.097377232142833,1.0055803571428577,-0.005022321428555188,44.994977678571416,0.0012214355468813665,135.00248046874998,45.0024755859375,-0.0024834399223436776,32019.466666666667,24726.733333333334,0.0,515.8666666666667,27.73333333333333,0.0,0.06666666666666667,0.0,29.36619371544967,49.88335282325039,0.0,9.984766174305516,0.9092121131323904,0.0,0.06666666666666667,0.0,
2025-05-23_14-12-46,2025-05-23_14-13-01,5,3,-69.64912946428569,-19.097377232142833,1.0055803571428577,-0.005022321428555188,44.994977678571416,0.0012214355468813665,135.00248046874998,45.0024755859375,-0.0024834399223436776,33788.0,23083.73333333333,0.0,505.4,30.53333333333334,0.0,0.13333333333333333,0.0,84.3017727505714,20.863684557942424,0.0,7.3593477971896455,1.635033129124096,0.0,0.0816496580927726,0.0,
