start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-06-05_14-59-09,2025-06-05_14-59-24,5,3,-105.02826339285713,-27.002511160714278,1.003069196428573,67.49652232142857,44.992562500000005,22.49938627624512,-0.0002451171874895408,45.00272003173828,-2.197265627046363e-05,42123.8,45344.86666666667,0.0,555.3333333333334,2661.4666666666667,0.0,0.2,0.0,54.41380543779435,79.1017347751894,0.0,5.73875712444196,14.26051269142255,0.0,0.1333333333333333,0.0,
2025-06-05_14-59-25,2025-06-05_14-59-40,5,3,-106.07039508928574,-27.002511160714278,1.003069196428573,67.49652232142857,44.992562500000005,22.49938627624512,-0.0002451171874895408,45.00272003173828,-2.197265627046363e-05,40463.86666666666,43685.066666666666,0.0,564.6666666666667,2545.2,0.0,0.13333333333333333,0.0,40.99452537975185,62.862937323106586,0.0,7.403452647995469,16.052898665211703,0.0,0.0816496580927726,0.0,
2025-06-05_14-59-40,2025-06-05_14-59-56,5,3,-107.1476830357143,-27.002511160714278,1.003069196428573,67.49652232142857,44.992562500000005,22.49938627624512,-0.0002451171874895408,45.00272003173828,-2.197265627046363e-05,38940.66666666667,41907.53333333333,0.0,541.9999999999999,2454.9333333333334,0.0,0.06666666666666667,0.0,44.748060169005306,55.76673640163062,0.0,4.536273556321054,7.326056996168608,0.0,0.06666666666666667,0.0,
2025-06-05_14-59-56,2025-06-05_15-00-11,5,3,-108.2124151785714,-27.002511160714278,1.003069196428573,67.49652232142857,44.992562500000005,22.49938627624512,-0.0002451171874895408,45.00272003173828,-2.197265627046363e-05,37321.933333333334,40111.33333333333,0.0,560.6666666666667,2330.866666666667,0.0,0.26666666666666666,0.0,59.624137543260744,56.925780139093746,0.0,6.230748127008691,14.92522101083338,0.0,0.12472191289246469,0.0,
2025-06-05_15-00-12,2025-06-05_15-00-27,5,3,-109.2846808035714,-27.002511160714278,1.003069196428573,67.49652232142857,44.992562500000005,22.49938627624512,-0.0002451171874895408,45.00272003173828,-2.197265627046363e-05,35725.13333333333,38421.73333333333,0.0,556.2666666666667,2209.133333333333,0.0,0.2,0.0,76.46078152302049,48.72124793147192,0.0,5.796934055554235,18.556101123050833,0.0,0.13333333333333333,0.0,
2025-06-05_15-00-28,2025-06-05_15-00-43,5,3,-110.37954687500002,-27.002511160714278,1.003069196428573,67.49652232142857,44.992562500000005,22.49938627624512,-0.0002451171874895408,45.00272003173828,-2.197265627046363e-05,33937.86666666666,36483.46666666666,0.0,552.4666666666666,2087.0000000000005,0.0,0.26666666666666666,0.0,56.24456516954473,52.2817792777218,0.0,5.481889374213151,7.469939758793228,0.0,0.1632993161855452,0.0,
2025-06-05_15-00-43,2025-06-05_15-00-59,5,3,-111.4543236607143,-27.002511160714278,1.003069196428573,67.49652232142857,44.992562500000005,22.49938627624512,-0.0002451171874895408,45.00272003173828,-2.197265627046363e-05,32052.73333333333,34518.066666666666,0.0,548.4,1946.4666666666667,0.0,0.06666666666666667,0.0,30.34713971511824,51.73730654845554,0.0,4.547771126851275,11.240106761058817,0.0,0.06666666666666667,0.0,
2025-06-05_15-01-00,2025-06-05_15-01-15,5,3,-112.53161160714285,-27.002511160714278,1.003069196428573,67.49652232142857,44.992562500000005,22.49938627624512,-0.0002451171874895408,45.00272003173828,-2.197265627046363e-05,30203.533333333333,32625.13333333334,0.0,558.1999999999999,1839.4666666666665,0.0,0.26666666666666666,0.0,46.03749679458171,39.16015548714996,0.0,4.495182606598611,6.935095929801939,0.0,0.06666666666666667,0.0,
2025-06-05_15-01-15,2025-06-05_15-01-31,5,3,-113.5812767857143,-27.002511160714278,1.003069196428573,67.49652232142857,44.992562500000005,22.49938627624512,-0.0002451171874895408,45.00272003173828,-2.197265627046363e-05,28413.533333333333,30722.333333333332,0.0,547.4000000000001,1701.7333333333336,0.0,0.0,0.0,54.36814835503898,35.45873971565025,0.0,3.7938546800494763,8.474405911658689,0.0,0.0,0.0,
2025-06-05_15-01-31,2025-06-05_15-01-47,5,3,-114.6635870535714,-27.002511160714278,1.003069196428573,67.49652232142857,44.992562500000005,22.49938627624512,-0.0002451171874895408,45.00272003173828,-2.197265627046363e-05,26664.733333333337,28853.4,0.0,550.0666666666667,1587.6,0.0,0.06666666666666667,0.0,47.47893099985387,51.277068732307235,0.0,6.2168230543332115,9.832711844767077,0.0,0.06666666666666667,0.0,
