start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-07-11_13-26-43,2025-07-11_13-26-58,5,3,-60.030774553571405,-3.8671875,1.0080915178571423,22.496522321428568,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,27964.4,16830.466666666667,0.0,515.3333333333333,745.0666666666666,0.0,0.06666666666666667,0.0,67.5477937792524,28.47349644845145,0.0,5.383101130183026,10.999696965522883,0.0,0.06666666666666667,0.0,
2025-07-11_13-26-59,2025-07-11_13-27-14,5,3,-61.10052901785713,-3.8671875,1.0080915178571423,22.496522321428568,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,30533.8,18388.6,0.0,518.8,833.1333333333332,0.0,0.0,0.0,54.74025534792024,46.9238626808246,0.0,5.608129020547861,9.283557747137916,0.0,0.0,0.0,
2025-07-11_13-27-15,2025-07-11_13-27-30,5,3,-62.17279464285713,-3.8671875,1.0080915178571423,22.496522321428568,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,33190.8,19970.399999999998,0.0,514.0666666666666,943.7333333333333,0.0,0.06666666666666667,0.0,101.81522479472311,31.970194452541588,0.0,6.223075338340892,5.782540771821473,0.0,0.06666666666666667,0.0,
2025-07-11_13-27-30,2025-07-11_13-27-46,5,3,-63.229993303571405,-3.8671875,1.0080915178571423,22.496522321428568,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,35517.0,21470.4,0.0,505.3333333333333,1039.6666666666665,0.0,0.13333333333333333,0.0,51.95468110660313,28.21158154611933,0.0,4.121757985239891,3.3829638550307335,0.0,0.0816496580927726,0.0,
2025-07-11_13-27-46,2025-07-11_13-28-02,5,3,-64.29472544642857,-3.8671875,1.0080915178571423,22.496522321428568,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,38509.066666666666,22978.93333333333,0.0,525.4666666666667,1133.7333333333333,0.0,0.26666666666666666,0.0,99.84139644678638,19.94503558393567,0.0,3.1457201966410837,6.541661358808909,0.0,0.12472191289246469,0.0,
2025-07-11_13-28-02,2025-07-11_13-28-17,5,3,-65.38959151785713,-3.8671875,1.0080915178571423,22.496522321428568,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,41493.26666666667,24797.0,0.0,514.6666666666667,1235.8666666666668,0.0,0.06666666666666667,0.0,57.9340045991031,44.02474051914186,0.0,6.993647911577407,3.387230924122725,0.0,0.06666666666666667,0.0,
2025-07-11_13-28-18,2025-07-11_13-28-33,5,3,-66.4543236607143,-3.8671875,1.0080915178571423,22.496522321428568,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,43894.4,26414.13333333333,0.0,518.8666666666667,1344.8666666666666,0.0,0.3333333333333333,0.0,69.39919948305499,25.992434796814553,0.0,6.139670639012776,9.230143853459447,0.0,0.10540925533894598,0.0,
2025-07-11_13-28-33,2025-07-11_13-28-48,5,3,-67.51403348214285,-3.8671875,1.0080915178571423,22.496522321428568,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,46973.6,28132.06666666667,0.0,522.4,1443.1333333333334,0.0,0.13333333333333333,0.0,83.73611991116935,51.71550380043993,0.0,8.940792905429463,14.022442329668843,0.0,0.0816496580927726,0.0,
2025-07-11_13-28-49,2025-07-11_13-29-04,5,3,-68.58378794642857,-3.8671875,1.0080915178571423,22.496522321428568,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,49608.33333333333,29803.4,0.0,517.6666666666666,1562.0666666666666,0.0,0.06666666666666667,0.0,55.84034781808293,47.15405013829034,0.0,3.796196927335448,5.087457343528529,0.0,0.06666666666666667,0.0,
2025-07-11_13-29-05,2025-07-11_13-29-20,5,3,-69.65605357142857,-3.8671875,1.0080915178571423,22.496522321428568,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,52493.2,31442.13333333334,0.0,506.8666666666666,1662.0,0.0,0.26666666666666666,0.0,76.9518319758821,36.881281009326095,0.0,4.225057527550498,7.639808025511281,0.0,0.12472191289246469,0.0,
2025-07-11_13-29-20,2025-07-11_13-29-35,5,3,-70.7258080357143,-3.8671875,1.0080915178571423,22.496522321428568,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,55310.0,33144.2,0.0,510.0666666666667,1769.8666666666663,0.0,0.2,0.0,71.43038569124487,56.4310395281029,0.0,6.006847943990447,13.497983388475328,0.0,0.0816496580927726,0.0,
