start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-06-11_16-14-55,2025-06-11_16-15-10,5,3,-105.0307745535714,-13.002790178571445,1.0055803571428577,0.009078125000000048,-44.99990401785715,0.0009140624999872671,135.001830078125,45.00272003173828,-0.0005407714843954636,37154.600000000006,40409.53333333333,0.0,705.6666666666666,2345.5333333333333,0.0,0.26666666666666666,0.0,74.29830265744741,77.45031382190218,0.0,6.586180818788513,16.22843868713874,0.0,0.12472191289246472,0.0,
2025-06-11_16-15-11,2025-06-11_16-15-26,5,3,-106.09801785714285,-13.002790178571445,1.0055803571428577,0.009078125000000048,-44.99990401785715,0.0009140624999872671,135.001830078125,45.00272003173828,-0.0005407714843954636,35502.6,38463.0,0.0,697.9333333333333,2251.0,0.0,0.06666666666666667,0.0,41.580631174728694,41.995766982452544,0.0,6.133152171237514,9.349390948672092,0.0,0.06666666666666667,0.0,
2025-06-11_16-15-26,2025-06-11_16-15-42,5,3,-107.1401495535714,-13.002790178571445,1.0055803571428577,0.009078125000000048,-44.99990401785715,0.0009140624999872671,135.001830078125,45.00272003173828,-0.0005407714843954636,33697.6,36629.6,0.0,690.4,2121.666666666667,0.0,0.2,0.0,34.26374825445207,57.79248317135275,0.0,7.616794309652548,14.637850479720928,0.0,0.1333333333333333,0.0,
2025-06-11_16-15-42,2025-06-11_16-15-58,5,3,-108.23250446428574,-13.002790178571445,1.0055803571428577,0.009078125000000048,-44.99990401785715,0.0009140624999872671,135.001830078125,45.00272003173828,-0.0005407714843954636,31848.533333333336,34694.53333333334,0.0,694.5333333333334,1994.8666666666663,0.0,0.13333333333333333,0.0,25.684971827467148,31.895767744326193,0.0,8.044736029092416,12.92654461004778,0.0,0.0816496580927726,0.0,
2025-06-11_16-15-58,2025-06-11_16-16-13,5,3,-109.3022589285714,-13.002790178571445,1.0055803571428577,0.009078125000000048,-44.99990401785715,0.0009140624999872671,135.001830078125,45.00272003173828,-0.0005407714843954636,30186.466666666667,32715.4,0.0,694.4666666666667,1842.8,0.0,0.13333333333333333,0.0,48.20898947983377,45.43314991403468,0.0,5.897833877318384,13.71965338078512,0.0,0.0816496580927726,0.0,
2025-06-11_16-16-14,2025-06-11_16-16-29,5,3,-110.37703571428574,-13.002790178571445,1.0055803571428577,0.009078125000000048,-44.99990401785715,0.0009140624999872671,135.001830078125,45.00272003173828,-0.0005407714843954636,28390.466666666667,30760.8,0.0,694.5333333333333,1698.7333333333331,0.0,0.13333333333333333,0.0,42.61345640366049,21.46278432802003,0.0,9.781274627232031,16.04175108202896,0.0,0.0816496580927726,0.0,
2025-06-11_16-16-29,2025-06-11_16-16-44,5,3,-111.46185714285713,-13.002790178571445,1.0055803571428577,0.009078125000000048,-44.99990401785715,0.0009140624999872671,135.001830078125,45.00272003173828,-0.0005407714843954636,26543.333333333332,28729.13333333334,0.0,692.0,1593.8,0.0,0.13333333333333333,0.0,38.20820156284087,38.63527461329151,0.0,5.811865258054237,11.565561906895082,0.0,0.13333333333333333,0.0,
2025-06-11_16-16-45,2025-06-11_16-16-59,5,3,-112.53161160714285,-13.002790178571445,1.0055803571428577,0.009078125000000048,-44.99990401785715,0.0009140624999872671,135.001830078125,45.00272003173828,-0.0005407714843954636,24609.333333333336,26648.13333333334,0.0,691.6,1463.8666666666668,0.0,0.06666666666666667,0.0,31.379221716855167,51.19045049833244,0.0,6.2728692708272655,13.017338864418921,0.0,0.06666666666666667,0.0,
2025-06-11_16-17-00,2025-06-11_16-17-15,5,3,-113.5913214285714,-13.002790178571445,1.0055803571428577,0.009078125000000048,-44.99990401785715,0.0009140624999872671,135.001830078125,45.00272003173828,-0.0005407714843954636,22908.799999999996,24868.999999999996,0.0,695.6666666666667,1335.3333333333335,0.0,0.06666666666666667,0.0,27.670802903662604,17.915542600397956,0.0,5.265189666310428,7.71722460186017,0.0,0.06666666666666667,0.0,
2025-06-11_16-17-15,2025-06-11_16-17-31,5,3,-114.66107589285713,-13.002790178571445,1.0055803571428577,0.009078125000000048,-44.99990401785715,0.0009140624999872671,135.001830078125,45.00272003173828,-0.0005407714843954636,21200.8,23016.333333333332,0.0,684.3333333333334,1231.1333333333332,0.0,0.2,0.0,25.28011954964713,22.85850194372125,0.0,9.953782084101375,11.265779057738404,0.0,0.0816496580927726,0.0,
2025-06-11_16-17-31,2025-06-11_16-17-46,5,3,-115.73083035714285,-13.002790178571445,1.0055803571428577,0.009078125000000048,-44.99990401785715,0.0009140624999872671,135.001830078125,45.00272003173828,-0.0005407714843954636,19478.066666666666,21134.333333333336,0.0,702.5333333333333,1102.9999999999998,0.0,0.06666666666666667,0.0,54.49601412539771,44.59621309284262,0.0,8.374962686484047,8.352644291879479,0.0,0.06666666666666667,0.0,
2025-06-11_16-17-47,2025-06-11_16-18-02,5,3,-116.7905401785714,-13.002790178571445,1.0055803571428577,0.009078125000000048,-44.99990401785715,0.0009140624999872671,135.001830078125,45.00272003173828,-0.0005407714843954636,17817.466666666667,19357.533333333333,0.0,696.1333333333334,985.4666666666668,0.0,0.0,0.0,15.926776893716692,19.087110252151035,0.0,6.897342483401362,8.579432770682837,0.0,0.0,0.0,
2025-06-11_16-18-02,2025-06-11_16-18-17,5,3,-117.87285044642857,-13.002790178571445,1.0055803571428577,0.009078125000000048,-44.99990401785715,0.0009140624999872671,135.001830078125,45.00272003173828,-0.0005407714843954636,16157.8,17501.399999999998,0.0,706.1333333333333,862.3333333333334,0.0,0.2,0.0,37.71465969030527,19.50794709855439,0.0,3.586394041683411,6.962598493219178,0.0,0.0816496580927726,0.0,
2025-06-11_16-18-18,2025-06-11_16-18-33,5,3,-118.93256026785713,-13.002790178571445,1.0055803571428577,0.009078125000000048,-44.99990401785715,0.0009140624999872671,135.001830078125,45.00272003173828,-0.0005407714843954636,14650.933333333334,15900.133333333331,0.0,690.2,754.2666666666667,0.0,0.13333333333333333,0.0,37.33860081887234,18.59438385941056,0.0,3.798537730349521,14.224157854392171,0.0,0.0816496580927726,0.0,
2025-06-11_16-18-33,2025-06-11_16-18-49,5,3,-120.00482589285713,-13.002790178571445,1.0055803571428577,0.009078125000000048,-44.99990401785715,0.0009140624999872671,135.001830078125,45.00272003173828,-0.0005407714843954636,13230.266666666668,14311.4,0.0,700.6666666666666,649.8666666666666,0.0,0.06666666666666667,0.0,17.1624266608451,19.39799531452202,0.0,7.081274210510742,4.539456648836578,0.0,0.06666666666666667,0.0,
