start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-07-09_12-43-25,2025-07-09_12-43-40,5,3,-40.03691294642857,-15.669642857142833,1.0055803571428577,0.009078125000000048,-0.007437499999980446,45.0020241394043,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,4479.2,4671.0,0.0,704.0,30.133333333333333,0.0,0.0,0.0,11.2391181939589,8.281840911831722,0.0,7.997221739801621,1.2719189352225932,0.0,0.0,0.0,
2025-07-09_12-43-40,2025-07-09_12-43-56,5,3,-41.43814062500002,-15.669642857142833,1.0055803571428577,0.009078125000000048,-0.007437499999980446,45.0020241394043,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,4172.733333333334,4314.666666666667,0.0,698.1333333333334,10.533333333333335,0.0,0.0,0.0,15.678151818516204,23.843238035132757,0.0,7.319380665967124,0.6716480559869963,0.0,0.0,0.0,
2025-07-09_12-43-56,2025-07-09_12-44-11,5,3,-42.85443526785713,-15.669642857142833,1.0055803571428577,0.009078125000000048,-0.007437499999980446,45.0020241394043,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,4017.2666666666664,4176.4,0.0,703.6666666666666,3.2666666666666666,0.0,0.0,0.0,11.37609579581485,4.919801260665288,0.0,8.262364471909157,0.16329931618554516,0.0,0.0,0.0,
2025-07-09_12-44-12,2025-07-09_12-44-27,5,3,-44.263196428571405,-15.669642857142833,1.0055803571428577,0.009078125000000048,-0.007437499999980446,45.0020241394043,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,4089.8666666666663,4259.333333333333,0.0,693.5999999999999,9.466666666666667,0.0,0.06666666666666667,0.0,21.12570840363835,16.187786891494586,0.0,3.7629775444453584,0.8069145624606803,0.0,0.06666666666666667,0.0,
2025-07-09_12-44-27,2025-07-09_12-44-43,5,3,-45.669446428571405,-15.669642857142833,1.0055803571428577,0.009078125000000048,-0.007437499999980446,45.0020241394043,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,4359.066666666667,4628.6,0.0,702.9333333333332,28.4,0.0,0.0,0.0,17.25701145750461,13.01853379694582,0.0,8.456030064069335,0.6944222218666557,0.0,0.0,0.0,
2025-07-09_12-44-43,2025-07-09_12-44-59,5,3,-47.08071875000002,-15.669642857142833,1.0055803571428577,0.009078125000000048,-0.007437499999980446,45.0020241394043,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,4861.533333333334,5187.0,0.0,704.2666666666667,65.33333333333334,0.0,0.0,0.0,17.068033799409253,9.968840342676623,0.0,5.1547173648136235,1.6599866130651642,0.0,0.0,0.0,
2025-07-09_12-44-59,2025-07-09_12-45-15,5,3,-48.49701339285713,-15.669642857142833,1.0055803571428577,0.009078125000000048,-0.007437499999980446,45.0020241394043,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,5521.800000000001,5911.533333333334,0.0,690.1333333333333,106.73333333333335,0.0,0.06666666666666667,0.0,21.91387181165795,22.434249609816586,0.0,7.756431023494132,3.1647362537114443,0.0,0.06666666666666667,0.0,
2025-07-09_12-45-15,2025-07-09_12-45-31,5,3,-49.90828571428574,-15.669642857142833,1.0055803571428577,0.009078125000000048,-0.007437499999980446,45.0020241394043,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,6354.8,6943.133333333334,0.0,690.2666666666667,176.06666666666666,0.0,0.13333333333333333,0.0,21.923249961830162,13.181889933625659,0.0,5.233864091981496,2.77768888746662,0.0,0.0816496580927726,0.0,
2025-07-09_12-45-31,2025-07-09_12-45-46,5,3,-51.30951339285713,-15.669642857142833,1.0055803571428577,0.009078125000000048,-0.007437499999980446,45.0020241394043,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,7375.0666666666675,8102.0,0.0,708.7333333333333,251.26666666666665,0.0,0.0,0.0,28.527452665030548,16.982670906282987,0.0,6.5169863519199644,3.19965275893772,0.0,0.0,0.0,
2025-07-09_12-45-47,2025-07-09_12-46-02,5,3,-52.725808035714294,-15.669642857142833,1.0055803571428577,0.009078125000000048,-0.007437499999980446,45.0020241394043,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,8559.933333333332,9455.133333333333,0.0,689.3333333333334,334.0,0.0,0.0,0.0,38.89178719358507,39.18398198810887,0.0,5.739725119240847,5.978665774605939,0.0,0.0,0.0,
