start time (s),stop time (s),num samples (#),period per sample (s),C_UV_HWP position (deg),C_QP position (deg),C_PCC position (deg),B_C_HWP position (deg),B_HWP position (deg),B_QWP position (deg),A_HWP position (deg),A_QWP position (deg),A rate (#/s),B rate (#/s),A' rate (#/s),B' rate (#/s),C4 rate (#/s),C5 rate (#/s),C6 rate (#/s),C7 rate (#/s),A rate SEM (#/s),B rate SEM (#/s),A' rate SEM (#/s),B' rate SEM (#/s),C4 rate SEM (#/s),C5 rate SEM (#/s),C6 rate SEM (#/s),C7 rate SEM (#/s)
2023-06-13_13-27-21,2023-06-13_13-27-46,5,5,41.98158482142857,335.87276785714283,4.000279017857142,0.0,45.00016891479492,9.33837890642053e-05,44.999856567382814,0.00057128906249998,4211.72,5148.08,0.0,22778.72,58.52,0.0,6.2,0.0,14.348045163017765,16.390802298850247,0.0,23.848907731802182,1.2043255373859674,0.0,0.8508818954473057,0.0
2023-06-13_13-27-51,2023-06-13_13-28-16,5,5,42.652064732142854,335.87276785714283,4.000279017857142,0.0,45.00016891479492,9.33837890642053e-05,44.999856567382814,0.00057128906249998,4135.76,5069.640000000001,0.0,22757.760000000002,53.839999999999996,0.0,5.4399999999999995,0.0,19.07358382685335,9.583193622170116,0.0,20.443228707814516,1.7197674261364528,0.0,0.44452221541785725,0.0
2023-06-13_13-28-20,2023-06-13_13-28-46,5,5,43.32254464285714,335.87276785714283,4.000279017857142,0.0,45.00016891479492,9.33837890642053e-05,44.999856567382814,0.00057128906249998,4081.56,5014.8,0.0,22824.120000000003,50.839999999999996,0.0,6.12,0.0,12.571141555165127,11.04210124930945,0.0,39.47245115267118,1.6975276139138349,0.0,0.3072458299147443,0.0
2023-06-13_13-28-50,2023-06-13_13-29-16,5,5,43.99051339285714,335.87276785714283,4.000279017857142,0.0,45.00016891479492,9.33837890642053e-05,44.999856567382814,0.00057128906249998,4099.04,5055.039999999999,0.0,22752.079999999998,48.72,0.0,5.4,0.0,13.978469157958658,12.676813479735277,0.0,45.72380561589347,1.632911510156016,0.0,0.4289522117905443,0.0
2023-06-13_13-29-20,2023-06-13_13-29-45,5,5,44.655970982142854,335.87276785714283,4.000279017857142,0.0,45.00016891479492,9.33837890642053e-05,44.999856567382814,0.00057128906249998,4151.92,5115.6,0.0,22824.48,55.999999999999986,0.0,5.48,0.0,5.9142539681687625,20.76602995278594,0.0,26.86474269372411,0.9549869109050645,0.0,0.3072458299147444,0.0
2023-06-13_13-29-50,2023-06-13_13-30-15,5,5,45.32645089285714,335.87276785714283,4.000279017857142,0.0,45.00016891479492,9.33837890642053e-05,44.999856567382814,0.00057128906249998,4270.52,5245.6,0.0,22771.6,65.32000000000001,0.0,6.5200000000000005,0.0,11.419387023829277,13.186356585501661,0.0,18.160286341355235,1.7917589123540043,0.0,0.45869379764718854,0.0
2023-06-13_13-30-19,2023-06-13_13-30-44,5,5,45.986886160714285,335.87276785714283,4.000279017857142,0.0,45.00016891479492,9.33837890642053e-05,44.999856567382814,0.00057128906249998,4458.92,5405.04,0.0,22769.519999999997,75.32000000000001,0.0,5.68,0.0,17.350573477553983,9.528147773833028,0.0,13.763226365935855,1.6082288394379696,0.0,0.6118823416311342,0.0
2023-06-13_13-30-49,2023-06-13_13-31-14,5,5,46.65736607142857,335.87276785714283,4.000279017857142,0.0,45.00016891479492,9.33837890642053e-05,44.999856567382814,0.00057128906249998,4696.039999999999,5665.599999999999,0.0,22665.68,87.75999999999999,0.0,6.16,0.0,11.322967808838836,14.739335127474332,0.0,38.744837075409215,1.2496399481450637,0.0,0.5381449618829484,0.0
2023-06-13_13-31-18,2023-06-13_13-31-43,5,5,47.31529017857143,335.87276785714283,4.000279017857142,0.0,45.00016891479492,9.33837890642053e-05,44.999856567382814,0.00057128906249998,4957.159999999999,5964.160000000001,0.0,22570.32,106.88,0.0,6.76,0.0,10.551473830702577,16.968606306942164,0.0,29.065828734099618,2.080961316315131,0.0,0.3487119154832538,0.0
2023-06-13_13-31-48,2023-06-13_13-32-13,5,5,47.978236607142854,335.87276785714283,4.000279017857142,0.0,45.00016891479492,9.33837890642053e-05,44.999856567382814,0.00057128906249998,5294.96,6292.2,0.0,22445.32,129.92000000000002,0.0,5.6,0.0,10.003079525825925,6.7183331266020785,0.0,17.37177020340758,2.000599910026989,0.0,0.17888543819998312,0.0
