time (min),HH,VV,HH_err,VV_err
0,1542.2,,10.577082143326052,
1,,1562.3666666666668,,9.153275066578317
2,1544.0666666666666,,9.580350260356392,
3,,1576.6000000000001,,6.041191935371693
4,1550.3666666666668,,7.657748436133908,
5,,1585.1000000000001,,10.33502136749927
6,1569.033333333333,,5.6165034595476895,
7,,1596.6666666666667,,9.507003266598328
8,1555.7333333333333,,10.73109707552981,
9,,1593.0,,7.2033325620854205
10,1565.1000000000001,,6.369667704571938,
11,,1593.8333333333333,,10.81904699027496
12,1571.7,,6.936233367854151,
13,,1598.1666666666663,,7.07397420910701
14,1566.3666666666668,,7.862725001196749,
15,,1601.3999999999999,,6.539928643851286
16,1557.8999999999999,,8.840625920525442,
17,,1610.2666666666667,,6.906936931649059
18,1556.6333333333332,,8.830313949370339,
19,,1619.1000000000001,,2.35046094770081
20,1563.166666666667,,6.008309061439622,
21,,1618.3999999999999,,6.736368952682653
22,1540.533333333333,,8.59172728720935,
23,,1607.2,,10.57909889042227
24,1562.2,,10.017717637599226,
25,,1610.5666666666666,,8.608432558318114
26,1569.0666666666666,,9.95331323954213,
27,,1618.3999999999999,,10.07491935451592
28,1554.6333333333332,,2.992174980028924,
29,,1614.4666666666665,,10.160139981537872
30,1547.0666666666666,,3.425265602029179,
31,,1628.6333333333334,,5.720236980327907
32,1560.2,,11.056340563978061,
33,,1618.7666666666664,,10.002455254141903
34,1551.6333333333334,,8.245470136855623,
35,,1627.9333333333334,,7.171920554805701
36,1546.0666666666666,,4.640593831732218,
37,,1610.8333333333333,,7.799387440334309
38,1549.9000000000003,,10.097491437645955,
39,,1612.3,,7.271267656559859
40,1561.5,,9.114786521544714,
41,,1617.8666666666668,,3.329731387230985
42,1546.6000000000001,,6.783705968470807,
43,,1616.1666666666667,,8.335852952424512
44,1550.2666666666664,,3.9441658743572967,
45,,1623.5333333333335,,7.537756813388047
46,1545.033333333333,,6.791645194240089,
47,,1611.9333333333332,,6.442497790281155
48,1553.6999999999998,,6.768702485213342,
49,,1612.4333333333336,,7.261114086541956
50,1549.4666666666665,,8.565460356052746,
51,,1621.9666666666665,,5.641138576958078
52,1552.8333333333333,,5.988748709965291,
53,,1631.9333333333334,,7.04020201730351
54,1531.5333333333335,,5.551616381239298,
55,,1627.4333333333332,,8.747024891038352
56,1531.4999999999998,,8.781609571523143,
57,,1624.4000000000003,,7.4797504414697435
58,1540.8666666666668,,11.04556220590172,
59,,1616.9000000000003,,3.9607238395694004
60,1544.5666666666668,,4.743393065915774,
61,,1605.1333333333332,,8.374193161798386
62,1533.8,,3.83701272693573,
63,,1622.9666666666665,,6.112809864902093
64,1548.4333333333334,,10.001388792451671,
65,,1619.5666666666668,,7.439967144491391
66,1537.4666666666665,,8.078888812481859,
67,,1628.7666666666667,,8.560438721882836
68,1548.1000000000001,,7.062907805335304,
69,,1616.8333333333333,,6.610177338350638
70,1537.533333333333,,6.442290827889665,
71,,1628.966666666667,,6.770606406453641
72,1542.0666666666666,,6.925251700199142,
73,,1628.533333333333,,10.130306565504867
74,1528.3,,12.160564679871309,
75,,1625.6000000000001,,10.159133821345222
76,1552.033333333333,,9.013533035263032,
