start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2024-05-20_12-49-07,2024-05-20_12-49-22,5,3,-111.42857857142857,-35.003069196428555,2.3705357142857144,0.007045678571429903,154.96674353027345,-5.0693730468750005,22.501924362182617,89.99712573242188,16665.8,19487.6,0.0,8758.866666666667,538.8,0.0,182.39999999999998,0.0,39.53473859222531,25.160242005548746,0.0,8.022606946761288,3.2533743166817524,0.0,2.3319043243190247,0.0,
2024-05-20_12-49-24,2024-05-20_12-49-39,5,3,-111.42857857142857,-33.609375,2.3705357142857144,0.007045678571429903,154.96674353027345,-5.0693730468750005,22.501924362182617,89.99712573242188,19459.26666666667,22947.6,0.0,10306.933333333332,785.0666666666666,0.0,129.46666666666667,0.0,17.344355469912287,29.636763955900733,0.0,23.28218202832392,7.303271717372815,0.0,0.940449065311058,0.0,
2024-05-20_12-49-40,2024-05-20_12-49-56,5,3,-111.42857857142857,-32.225725446428555,2.3705357142857144,0.007045678571429903,154.96674353027345,-5.0693730468750005,22.501924362182617,89.99712573242188,20258.6,23941.8,0.0,10747.266666666666,942.8666666666668,0.0,62.466666666666676,0.0,44.87667050434556,39.10066779765031,0.0,17.425205243490815,7.957246871737593,0.0,2.905167809266791,0.0,
2024-05-20_12-49-57,2024-05-20_12-50-12,5,3,-111.42857857142857,-30.844587053571445,2.3705357142857144,0.007045678571429903,154.96674353027345,-5.0693730468750005,22.501924362182617,89.99712573242188,20801.333333333336,24794.533333333333,0.0,11025.066666666668,1002.0666666666668,0.0,26.6,0.0,25.55321245297094,56.57881425252911,0.0,18.499969969945543,10.759698467480927,0.0,0.7180219742846004,0.0,
2024-05-20_12-50-13,2024-05-20_12-50-29,5,3,-111.42857857142857,-29.453404017857167,2.3705357142857144,0.007045678571429903,154.96674353027345,-5.0693730468750005,22.501924362182617,89.99712573242188,21538.2,25509.93333333333,0.0,11376.933333333332,1022.4,0.0,25.266666666666666,0.0,20.671934812419156,68.01424687356152,0.0,18.612839057429664,11.04908241539642,0.0,1.0077477638553982,0.0,
2024-05-20_12-50-30,2024-05-20_12-50-46,5,3,-111.42857857142857,-28.059709821428555,2.3705357142857144,0.007045678571429903,154.96674353027345,-5.0693730468750005,22.501924362182617,89.99712573242188,21965.8,26105.6,0.0,11567.933333333332,976.0666666666668,0.0,53.666666666666664,0.0,18.56657689984276,32.095932591045106,0.0,32.62146532576369,11.210808276936255,0.0,1.559914527573012,0.0,
2024-05-20_12-50-47,2024-05-20_12-51-03,5,3,-111.42857857142857,-26.666015625,2.3705357142857144,0.007045678571429903,154.96674353027345,-5.0693730468750005,22.501924362182617,89.99712573242188,22190.73333333333,26165.6,0.0,11686.333333333332,849.6666666666667,0.0,114.26666666666665,0.0,43.54734333011683,19.52531120821872,0.0,40.406957596708736,7.665217254295904,0.0,2.2395436042987784,0.0,
2024-05-20_12-51-04,2024-05-20_12-51-19,5,3,-111.42857857142857,-25.282366071428555,2.3705357142857144,0.007045678571429903,154.96674353027345,-5.0693730468750005,22.501924362182617,89.99712573242188,22386.06666666667,26361.4,0.0,11691.666666666668,725.2666666666667,0.0,192.06666666666666,0.0,31.575201239791625,50.045468215302584,0.0,25.021102205049917,5.880665117333421,0.0,2.3247461032216914,0.0,
2024-05-20_12-51-20,2024-05-20_12-51-35,5,3,-111.42857857142857,-23.891183035714278,2.3705357142857144,0.007045678571429903,154.96674353027345,-5.0693730468750005,22.501924362182617,89.99712573242188,22568.73333333333,26513.0,0.0,11739.333333333334,581.8,0.0,267.8,0.0,40.48091457025691,76.12219708395754,0.0,41.09501186275532,5.82771157678743,0.0,3.909532509705532,0.0,
2024-05-20_12-51-36,2024-05-20_12-51-52,5,3,-111.42857857142857,-22.515066964285722,2.3705357142857144,0.007045678571429903,154.96674353027345,-5.0693730468750005,22.501924362182617,89.99712573242188,22772.86666666667,26667.73333333333,0.0,11769.0,434.6666666666667,0.0,347.46666666666664,0.0,61.82750197121031,38.171891927612535,0.0,34.10262290336169,4.208457093889764,0.0,3.0922843048824302,0.0,
