start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2024-05-20_11-22-20,2024-05-20_11-22-35,5,3,-133.91351160714285,-4.911830357142833,2.363002232142857,0.007045678571429903,45.0014382019043,-0.0005253906250004547,45.0024755859375,-0.0030043249130358163,2824.133333333333,4125.666666666666,0.0,23433.466666666667,11.333333333333332,0.0,8.866666666666667,0.0,14.069115110766557,8.201625855076918,0.0,21.271681749322113,1.1925695879998874,0.0,0.5333333333333335,0.0,
2024-05-20_11-22-36,2024-05-20_11-22-51,5,3,-131.550509375,-4.911830357142833,2.363002232142857,0.007045678571429903,45.0014382019043,-0.0005253906250004547,45.0024755859375,-0.0030043249130358163,3227.1333333333337,4560.133333333333,0.0,23167.533333333333,31.866666666666667,0.0,9.0,0.0,17.327755512792486,8.407404144231721,0.0,23.390548898599736,1.1085526098877263,0.0,1.0381607668264958,0.0,
2024-05-20_11-22-52,2024-05-20_11-23-07,5,3,-129.1724401785714,-4.911830357142833,2.363002232142857,0.007045678571429903,45.0014382019043,-0.0005253906250004547,45.0024755859375,-0.0030043249130358163,4060.8666666666672,5519.666666666667,0.0,22731.93333333333,76.2,0.0,9.466666666666665,0.0,21.189253041210414,8.729261137118085,0.0,33.300717376323824,2.7840817357094787,0.0,1.0143416036468624,0.0,
2024-05-20_11-23-08,2024-05-20_11-23-23,5,3,-126.81194910714288,-4.911830357142833,2.363002232142857,0.007045678571429903,45.0014382019043,-0.0005253906250004547,45.0024755859375,-0.0030043249130358163,5437.733333333334,7009.6,0.0,21932.4,147.53333333333333,0.0,10.333333333333332,0.0,12.360960049014528,24.812944650367907,0.0,6.7341583652956905,5.086583660310065,0.0,0.8498365855987974,0.0,
2024-05-20_11-23-24,2024-05-20_11-23-39,5,3,-124.44643571428571,-4.911830357142833,2.363002232142857,0.007045678571429903,45.0014382019043,-0.0005253906250004547,45.0024755859375,-0.0030043249130358163,7197.333333333333,8956.0,0.0,20817.733333333334,225.6,0.0,10.2,0.0,19.41419869866149,23.29973771907696,0.0,35.370169477808645,3.45671648951558,0.0,0.7348469228349535,0.0,
2024-05-20_11-23-40,2024-05-20_11-23-55,5,3,-122.07589999999999,-4.911830357142833,2.363002232142857,0.007045678571429903,45.0014382019043,-0.0005253906250004547,45.0024755859375,-0.0030043249130358163,9389.333333333332,11391.600000000002,0.0,19533.200000000004,347.93333333333334,0.0,10.866666666666665,0.0,31.57847368065803,37.05767276976682,0.0,24.41825364581031,4.069397989875156,0.0,1.1234866364235145,0.0,
2024-05-20_11-23-56,2024-05-20_11-24-11,5,3,-119.70034196428571,-4.911830357142833,2.363002232142857,0.007045678571429903,45.0014382019043,-0.0005253906250004547,45.0024755859375,-0.0030043249130358163,11907.466666666665,14162.4,0.0,18110.133333333335,469.8,0.0,10.6,0.0,26.81885737892486,32.30503916659989,0.0,23.989720020597613,9.276373812601078,0.0,0.6944222218666555,0.0,
2024-05-20_11-24-12,2024-05-20_11-24-27,5,3,-117.33482857142855,-4.911830357142833,2.363002232142857,0.007045678571429903,45.0014382019043,-0.0005253906250004547,45.0024755859375,-0.0030043249130358163,14657.733333333334,17221.066666666666,0.0,16527.466666666667,607.8,0.0,11.066666666666666,0.0,26.61649446823858,39.24558007668579,0.0,20.331311374877256,8.089499366462674,0.0,1.0718623460542351,0.0,
2024-05-20_11-24-28,2024-05-20_11-24-43,5,3,-114.96931517857143,-4.911830357142833,2.363002232142857,0.007045678571429903,45.0014382019043,-0.0005253906250004547,45.0024755859375,-0.0030043249130358163,17494.13333333334,20436.866666666665,0.0,14863.733333333334,748.7333333333333,0.0,11.066666666666666,0.0,42.92028787311564,27.031791982363465,0.0,52.68716900515495,7.594881317191337,0.0,0.5206833117271102,0.0,
2024-05-20_11-24-44,2024-05-20_11-24-59,5,3,-112.60129062499999,-4.911830357142833,2.363002232142857,0.007045678571429903,45.0014382019043,-0.0005253906250004547,45.0024755859375,-0.0030043249130358163,20598.13333333333,23754.066666666666,0.0,13104.666666666666,905.7333333333332,0.0,11.733333333333333,0.0,45.537237509537185,42.291238914092894,0.0,22.78327846860028,8.912787318105247,0.0,0.42687494916219,0.0,
