start time (s),stop time (s),num samples (#),period per sample (s),C_UV_HWP position (deg),C_QP position (deg),C_PCC position (deg),B_C_HWP position (deg),B_HWP position (deg),B_QWP position (deg),A_HWP position (deg),A_QWP position (deg),A rate (#/s),B rate (#/s),A' rate (#/s),B' rate (#/s),C4 rate (#/s),C5 rate (#/s),C6 rate (#/s),C7 rate (#/s),A rate SEM (#/s),B rate SEM (#/s),A' rate SEM (#/s),B' rate SEM (#/s),C4 rate SEM (#/s),C5 rate SEM (#/s),C6 rate SEM (#/s),C7 rate SEM (#/s),note
2023-07-10_17-35-31,2023-07-10_17-35-36,5,1,44.962332589285715,329.07003348214283,4.005301339285714,45.007533482142854,9.643554687954747e-05,4.76074218767053e-05,0.00032958984377273737,359.9973974609375,42023.6,5320.8,0.0,21894.8,11.0,0.0,1228.4,0.0,72.24236983931245,38.35022816099012,0.0,37.83569742980826,0.8366600265340755,0.0,9.14111590562115,0.0,HH
2023-07-10_17-35-43,2023-07-10_17-35-48,5,1,44.962332589285715,329.07003348214283,4.005301339285714,45.007533482142854,45.0012141418457,4.76074218767053e-05,0.00032958984377273737,359.9973974609375,41941.8,48492.2,0.0,2251.8,2730.4,0.0,15.8,0.0,136.83252537317287,64.39052725362636,0.0,28.632848269077254,23.800420164358442,0.0,1.3190905958272916,0.0,HV
2023-07-10_17-35-52,2023-07-10_17-35-58,5,1,44.962332589285715,329.07003348214283,4.005301339285714,45.007533482142854,67.50228607177735,4.76074218767053e-05,0.00032958984377273737,359.9973974609375,41908.4,26545.2,0.0,12141.4,1349.0,0.0,627.8,0.0,96.3797696614803,108.37684254489055,0.0,61.82604629118702,11.819475453673906,0.0,11.876026271442818,0.0,HD
2023-07-10_17-36-04,2023-07-10_17-36-10,5,1,44.962332589285715,329.07003348214283,4.005301339285714,45.007533482142854,22.498576278686524,4.76074218767053e-05,0.00032958984377273737,359.9973974609375,42062.8,27334.8,0.0,11947.4,1395.0,0.0,625.2,0.0,120.40323915908576,15.6249799999872,0.0,47.29439713116131,16.269603560013376,0.0,10.350845376103344,0.0,HA
2023-07-10_17-36-20,2023-07-10_17-36-25,5,1,44.962332589285715,329.07003348214283,4.005301339285714,45.007533482142854,9.643554687954747e-05,45.00224487304688,0.00032958984377273737,359.9973974609375,41991.4,26428.2,0.0,11989.8,1317.8,0.0,629.2,0.0,93.73398529882317,61.807281124475935,0.0,58.9435322999903,8.01498596380555,0.0,5.651548460377916,0.0,HR
2023-07-10_17-36-36,2023-07-10_17-36-41,5,1,44.962332589285715,329.07003348214283,4.005301339285714,45.007533482142854,0.0006152343750045475,135.00184814453127,0.00032958984377273737,359.9973974609375,41872.2,27026.6,0.0,11844.6,1378.8,0.0,602.2,0.0,107.77541463617757,91.04976661145265,0.0,60.683276114593546,19.001052602421794,0.0,8.873556220591606,0.0,HL
2023-07-10_17-37-02,2023-07-10_17-37-08,5,1,44.962332589285715,329.07003348214283,4.005301339285714,45.007533482142854,0.0006152343750045475,359.9995593261719,45.001939392089845,359.9973974609375,4258.8,5327.6,0.0,21835.8,77.2,0.0,4.8,0.0,16.80297592690057,16.678129391511504,0.0,55.37634874203968,3.7603191353926326,0.0,1.4628738838327793,0.0,VH
2023-07-10_17-37-14,2023-07-10_17-37-19,5,1,44.962332589285715,329.07003348214283,4.005301339285714,45.007533482142854,45.0012141418457,4.76074218767053e-05,44.999856567382814,359.9973974609375,4283.2,48435.6,0.0,2276.8,7.8,0.0,34.2,0.0,36.53272505576336,48.5670670310654,0.0,15.470617311536085,1.1135528725660042,0.0,3.992492955535426,0.0,VV
2023-07-10_17-37-23,2023-07-10_17-37-28,5,1,44.962332589285715,329.07003348214283,4.005301339285714,45.007533482142854,67.50228607177735,4.76074218767053e-05,44.999856567382814,359.9973974609375,4274.4,26638.6,0.0,12182.2,38.2,0.0,18.0,0.0,25.560907652115954,80.79022218065748,0.0,28.223040233114506,4.235563716909474,0.0,2.5495097567963922,0.0,VD
2023-07-10_17-37-35,2023-07-10_17-37-40,5,1,44.962332589285715,329.07003348214283,4.005301339285714,45.007533482142854,22.498576278686524,4.76074218767053e-05,44.999856567382814,359.9973974609375,4266.4,27372.4,0.0,11858.4,44.0,0.0,20.2,0.0,20.336174664867528,68.64371784803035,0.0,51.540857579206026,2.7386127875258306,0.0,3.337663853655727,0.0,VA
