start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2024-06-03_13-57-38,2024-06-03_13-57-54,5,3,-112.74944910714288,-34.99051339285711,3.786830357142857,0.009556839285714602,135.00103002929689,-44.9982060546875,22.502446975708008,89.99712573242188,18495.73333333333,20718.199999999997,0.0,9365.933333333332,603.5333333333332,0.0,273.26666666666665,0.0,31.847972201277397,31.866666666666536,0.0,41.88017298064676,7.1075859317899015,0.0,2.661244487494937,0.0,
2024-06-03_13-57-55,2024-06-03_13-58-10,5,3,-112.74944910714288,-33.60686383928572,3.786830357142857,0.009556839285714602,135.00103002929689,-44.9982060546875,22.502446975708008,89.99712573242188,22116.333333333332,25266.866666666665,0.0,11274.8,979.4,0.0,217.46666666666664,0.0,33.689925958825086,62.57250017202261,0.0,20.381527584228404,12.81942969783672,0.0,3.5801924218926806,0.0,
2024-06-03_13-58-12,2024-06-03_13-58-27,5,3,-112.74944910714288,-32.220703125,3.786830357142857,0.009556839285714602,135.00103002929689,-44.9982060546875,22.502446975708008,89.99712573242188,23484.333333333336,26958.733333333337,0.0,12043.6,1222.8666666666668,0.0,125.66666666666667,0.0,49.7705847977608,35.59328900540399,0.0,23.868482240068218,9.52108770630285,0.0,2.3261795096490525,0.0,
2024-06-03_13-58-28,2024-06-03_13-58-43,5,3,-112.74944910714288,-30.837053571428555,3.786830357142857,0.009556839285714602,135.00103002929689,-44.9982060546875,22.502446975708008,89.99712573242188,24124.26666666667,27663.266666666663,0.0,12269.066666666668,1371.3333333333335,0.0,65.0,0.0,36.73968487132732,14.388035152707628,0.0,31.03875713433854,3.608631627393169,0.0,2.9814239699997187,0.0,
2024-06-03_13-58-45,2024-06-03_13-59-00,5,3,-112.74944910714288,-29.443359375,3.786830357142857,0.009556839285714602,135.00103002929689,-44.9982060546875,22.502446975708008,89.99712573242188,24725.2,28328.6,0.0,12538.4,1428.1333333333332,0.0,37.86666666666667,0.0,60.92277443160669,18.75645074219644,0.0,30.59092094796181,10.976540641041886,0.0,2.462158041682585,0.0,
2024-06-03_13-59-01,2024-06-03_13-59-17,5,3,-112.74944910714288,-28.059709821428555,3.786830357142857,0.009556839285714602,135.00103002929689,-44.9982060546875,22.502446975708008,89.99712573242188,25316.266666666666,28901.6,0.0,12813.400000000001,1394.6000000000001,0.0,47.06666666666667,0.0,66.81220780000564,44.13708443273273,0.0,17.113152836342053,11.314886948912338,0.0,1.536229149573722,0.0,
2024-06-03_13-59-18,2024-06-03_13-59-33,5,3,-112.74944910714288,-26.681082589285722,3.786830357142857,0.009556839285714602,135.00103002929689,-44.9982060546875,22.502446975708008,89.99712573242188,25410.466666666667,28909.0,0.0,12857.666666666666,1286.3333333333335,0.0,104.4,0.0,27.732171450020598,28.390530502655615,0.0,20.660214046433495,6.394442031083636,0.0,2.809507667427396,0.0,
2024-06-03_13-59-34,2024-06-03_13-59-50,5,3,-112.74944910714288,-25.289899553571445,3.786830357142857,0.009556839285714602,135.00103002929689,-44.9982060546875,22.502446975708008,89.99712573242188,25347.466666666667,28753.933333333338,0.0,12761.666666666666,1105.8666666666668,0.0,181.46666666666667,0.0,35.778112489808194,40.83604072657195,0.0,21.709700852639855,11.540556504971663,0.0,3.6766530673668063,0.0,
2024-06-03_13-59-51,2024-06-03_14-00-06,5,3,-112.74944910714288,-23.898716517857167,3.786830357142857,0.009556839285714602,135.00103002929689,-44.9982060546875,22.502446975708008,89.99712573242188,25473.533333333333,28688.6,0.0,12797.2,909.2666666666667,0.0,278.46666666666664,0.0,50.85235709603074,48.769229825554675,0.0,27.01390588402771,0.6446359868604564,0.0,2.4417662095749972,0.0,
2024-06-03_14-00-08,2024-06-03_14-00-23,5,3,-112.74944910714288,-22.510044642857167,3.786830357142857,0.009556839285714602,135.00103002929689,-44.9982060546875,22.502446975708008,89.99712573242188,25442.13333333333,28412.6,0.0,12781.6,705.3333333333334,0.0,369.8666666666667,0.0,36.890016716359916,41.31940625581827,0.0,35.32537646256916,10.618118686681019,0.0,1.3686976778431839,0.0,
