start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2024-06-03_11-41-54,2024-06-03_11-42-09,5,3,-133.89342232142855,-13.329241071428555,3.784319196428571,0.002023357142856952,0.00032812500001000444,0.0024348144531245453,0.0008581542968499889,-0.0030043249130358163,45752.333333333336,49044.26666666667,0.0,1870.7333333333331,2936.9333333333334,0.0,20.200000000000003,0.0,86.75911735630206,47.15946941554292,0.0,7.762015774841535,9.129561264863103,0.0,1.7275544693133253,0.0,
2024-06-03_11-42-10,2024-06-03_11-42-25,5,3,-131.5630651785714,-13.329241071428555,3.784319196428571,0.002023357142856952,0.00032812500001000444,0.0024348144531245453,0.0008581542968499889,-0.0030043249130358163,45704.933333333334,49042.6,0.0,1870.6666666666667,2920.4666666666662,0.0,21.266666666666666,0.0,24.270100489651696,57.64955430106169,0.0,15.646085772486371,6.157741288636412,0.0,0.8192137151629668,0.0,
2024-06-03_11-42-26,2024-06-03_11-42-41,5,3,-129.1900183035714,-13.329241071428555,3.784319196428571,0.002023357142856952,0.00032812500001000444,0.0024348144531245453,0.0008581542968499889,-0.0030043249130358163,45074.066666666666,48415.86666666666,0.0,2202.6666666666665,2885.733333333333,0.0,21.333333333333336,0.0,85.96022335941254,52.36205156832923,0.0,9.399172540412497,9.781728999630992,0.0,1.5634719199411429,0.0,
2024-06-03_11-42-42,2024-06-03_11-42-57,5,3,-126.82199374999999,-13.329241071428555,3.784319196428571,0.002023357142856952,0.00032812500001000444,0.0024348144531245453,0.0008581542968499889,-0.0030043249130358163,43890.933333333334,47156.33333333333,0.0,2893.1333333333337,2789.0,0.0,20.933333333333334,0.0,61.66363956534192,54.644507704088525,0.0,10.307278981380104,13.052883887393513,0.0,1.596524001977073,0.0,
2024-06-03_11-42-58,2024-06-03_11-43-13,5,3,-124.44894687499999,-13.329241071428555,3.784319196428571,0.002023357142856952,0.00032812500001000444,0.0024348144531245453,0.0008581542968499889,-0.0030043249130358163,42235.86666666666,45212.73333333333,0.0,3782.4666666666662,2682.8,0.0,21.666666666666664,0.0,36.40018314972189,57.98528548979744,0.0,22.12077957235883,8.636228600751885,0.0,1.86785676348292,0.0,
2024-06-03_11-43-14,2024-06-03_11-43-29,5,3,-122.08845580357143,-13.329241071428555,3.784319196428571,0.002023357142856952,0.00032812500001000444,0.0024348144531245453,0.0008581542968499889,-0.0030043249130358163,39874.799999999996,43072.933333333334,0.0,5017.866666666667,2525.133333333333,0.0,19.333333333333336,0.0,73.02949175960778,25.317846143251348,0.0,18.00913348523152,6.513746148637404,0.0,1.3621877827801698,0.0,
2024-06-03_11-43-30,2024-06-03_11-43-45,5,3,-119.70536428571427,-13.329241071428555,3.784319196428571,0.002023357142856952,0.00032812500001000444,0.0024348144531245453,0.0008581542968499889,-0.0030043249130358163,37435.73333333333,40328.8,0.0,6421.2,2362.1333333333328,0.0,19.066666666666666,0.0,33.685044488945394,52.198509982991304,0.0,6.19103294199673,14.035114692956547,0.0,1.4429907214608908,0.0,
2024-06-03_11-43-46,2024-06-03_11-44-01,5,3,-117.35240669642855,-13.329241071428555,3.784319196428571,0.002023357142856952,0.00032812500001000444,0.0024348144531245453,0.0008581542968499889,-0.0030043249130358163,34470.99999999999,37212.200000000004,0.0,8036.0,2128.8,0.0,18.333333333333336,0.0,60.17585340760329,18.50603505166218,0.0,22.726636354727063,4.470396452714717,0.0,1.038160766826496,0.0,
2024-06-03_11-44-02,2024-06-03_11-44-17,5,3,-114.97684866071427,-13.329241071428555,3.784319196428571,0.002023357142856952,0.00032812500001000444,0.0024348144531245453,0.0008581542968499889,-0.0030043249130358163,31352.266666666663,33846.6,0.0,9826.6,1940.1333333333332,0.0,17.799999999999997,0.0,30.168673966365855,78.67446289051512,0.0,18.871907399329928,10.888628114791235,0.0,0.32659863237109066,0.0,
2024-06-03_11-44-17,2024-06-03_11-44-33,5,3,-112.61384642857143,-13.329241071428555,3.784319196428571,0.002023357142856952,0.00032812500001000444,0.0024348144531245453,0.0008581542968499889,-0.0030043249130358163,28094.86666666667,30478.0,0.0,11742.266666666666,1710.0,0.0,15.0,0.0,35.68217731273902,53.0625417157279,0.0,25.71411199235837,11.179346035335769,0.0,0.6146362971528593,0.0,
2024-06-03_11-44-33,2024-06-03_11-44-48,5,3,-110.23828839285716,-13.329241071428555,3.784319196428571,0.002023357142856952,0.00032812500001000444,0.0024348144531245453,0.0008581542968499889,-0.0030043249130358163,24522.533333333333,26754.6,0.0,13740.4,1472.9333333333332,0.0,15.333333333333332,0.0,35.14361013517743,30.95810789509655,0.0,26.253761635240007,9.114335472820315,0.0,0.2357022603955159,0.0,
2024-06-03_11-44-49,2024-06-03_11-45-04,5,3,-107.87026383928571,-13.329241071428555,3.784319196428571,0.002023357142856952,0.00032812500001000444,0.0024348144531245453,0.0008581542968499889,-0.0030043249130358163,21035.666666666664,23192.86666666667,0.0,15697.2,1215.6,0.0,12.6,0.0,26.107257398832218,33.56959603238849,0.0,42.592722383054976,7.873584528874592,0.0,1.2174654911833116,0.0,
2024-06-03_11-45-05,2024-06-03_11-45-20,5,3,-105.50223928571427,-13.329241071428555,3.784319196428571,0.002023357142856952,0.00032812500001000444,0.0024348144531245453,0.0008581542968499889,-0.0030043249130358163,17557.666666666664,19578.733333333334,0.0,17644.666666666664,981.1333333333334,0.0,10.133333333333333,0.0,29.544128952391816,26.367572677227596,0.0,55.76667662880988,7.338331629949087,0.0,0.8339997335464536,0.0,
2024-06-03_11-45-21,2024-06-03_11-45-36,5,3,-103.13672589285716,-13.329241071428555,3.784319196428571,0.002023357142856952,0.00032812500001000444,0.0024348144531245453,0.0008581542968499889,-0.0030043249130358163,14387.133333333331,16262.933333333334,0.0,19362.466666666667,764.4666666666666,0.0,11.066666666666666,0.0,24.558908770545898,19.779731489021074,0.0,38.578865832070456,7.172942988140299,0.0,1.0666666666666664,0.0,
2024-06-03_11-45-37,2024-06-03_11-45-52,5,3,-100.7762348214286,-13.329241071428555,3.784319196428571,0.002023357142856952,0.00032812500001000444,0.0024348144531245453,0.0008581542968499889,-0.0030043249130358163,11501.8,13177.866666666665,0.0,21073.066666666666,566.9333333333333,0.0,7.466666666666667,0.0,15.1160694479604,13.264237633576865,0.0,36.66581817200088,3.6596903329835633,0.0,0.679869268479038,0.0,
2024-06-03_11-45-53,2024-06-03_11-46-08,5,3,-98.40067678571427,-13.329241071428555,3.784319196428571,0.002023357142856952,0.00032812500001000444,0.0024348144531245453,0.0008581542968499889,-0.0030043249130358163,8947.133333333333,10507.733333333334,0.0,22470.13333333333,398.66666666666663,0.0,6.666666666666666,0.0,18.463958886917357,23.275261067875864,0.0,41.025005924571,2.396757068299673,0.0,0.6324555320336758,0.0,
2024-06-03_11-46-09,2024-06-03_11-46-24,5,3,-96.02511874999999,-13.329241071428555,3.784319196428571,0.002023357142856952,0.00032812500001000444,0.0024348144531245453,0.0008581542968499889,-0.0030043249130358163,6806.466666666667,8263.933333333332,0.0,23603.533333333333,252.6,0.0,5.999999999999999,0.0,27.014934141446062,28.417013683120448,0.0,35.116567789767586,4.596375383567656,0.0,0.316227766016838,0.0,
2024-06-03_11-46-25,2024-06-03_11-46-40,5,3,-93.66211651785716,-13.329241071428555,3.784319196428571,0.002023357142856952,0.00032812500001000444,0.0024348144531245453,0.0008581542968499889,-0.0030043249130358163,5221.666666666666,6615.2666666666655,0.0,24543.733333333334,141.2,0.0,5.133333333333334,0.0,10.846914563854435,20.31020542595375,0.0,70.14543621806203,2.4097026095903757,0.0,0.6377042156569663,0.0,
2024-06-03_11-46-41,2024-06-03_11-46-56,5,3,-91.3016254464286,-13.329241071428555,3.784319196428571,0.002023357142856952,0.00032812500001000444,0.0024348144531245453,0.0008581542968499889,-0.0030043249130358163,4167.0,5402.266666666666,0.0,25150.2,67.4,0.0,4.533333333333333,0.0,9.182108206240676,11.972839633474202,0.0,36.763901376818474,1.507020607394309,0.0,0.4546060565661951,0.0,
2024-06-03_11-46-57,2024-06-03_11-47-12,5,3,-88.92606741071427,-13.329241071428555,3.784319196428571,0.002023357142856952,0.00032812500001000444,0.0024348144531245453,0.0008581542968499889,-0.0030043249130358163,3670.666666666667,4937.733333333333,0.0,25355.06666666667,34.06666666666667,0.0,4.133333333333334,0.0,7.1778981758048745,17.571567943698078,0.0,40.44013408044571,2.124983660067897,0.0,0.5333333333333332,0.0,
