start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2024-06-05_17-43-47,2024-06-05_17-43-52,5,1,-90.41518571428571,-47.19977678571428,3.784319196428571,67.48946755357143,0.0008469238281350044,-0.00028125000000045475,0.0008581542968499889,-0.0030043249130358163,570.0,680.0,0.0,621.2,0.6,0.0,0.0,0.0,9.848857801796104,5.300943312279428,0.0,16.859418732566077,0.24494897427831783,0.0,0.0,0.0,HH
2024-06-05_17-43-59,2024-06-05_17-44-04,5,1,-90.41518571428571,-47.19977678571428,3.784319196428571,67.48946755357143,45.001957000732425,-0.00028125000000045475,0.0008581542968499889,-0.0030043249130358163,541.2,689.4,0.0,603.6,0.2,0.0,0.0,0.0,13.911865439257237,7.6262703859750465,0.0,8.789766777338292,0.20000000000000004,0.0,0.0,0.0,HV
2024-06-05_17-44-08,2024-06-05_17-44-14,5,1,-90.41518571428571,-47.19977678571428,3.784319196428571,67.48946755357143,67.50198751831054,-0.00028125000000045475,0.0008581542968499889,-0.0030043249130358163,547.6,620.6,0.0,609.2,0.0,0.0,0.0,0.0,5.163332257370235,10.002999550134948,0.0,13.679912280420513,0.0,0.0,0.0,0.0,HD
2024-06-05_17-44-21,2024-06-05_17-44-27,5,1,-90.41518571428571,-47.19977678571428,3.784319196428571,67.48946755357143,22.498800338745117,-0.00028125000000045475,0.0008581542968499889,-0.0030043249130358163,552.6,724.2,0.0,613.0,0.0,0.0,0.0,0.0,12.110326172320876,6.3118935352238,0.0,10.401922899156675,0.0,0.0,0.0,0.0,HA
2024-06-05_17-44-37,2024-06-05_17-44-43,5,1,-90.41518571428571,-47.19977678571428,3.784319196428571,67.48946755357143,0.0008469238281350044,45.002404296875,0.0008581542968499889,-0.0030043249130358163,544.4,672.0,0.0,614.8,0.4,0.0,0.0,0.0,5.870264048575668,5.059644256269407,0.0,10.965400129498237,0.24494897427831783,0.0,0.0,0.0,HR
2024-06-05_17-44-54,2024-06-05_17-44-59,5,1,-90.41518571428571,-47.19977678571428,3.784319196428571,67.48946755357143,0.0008469238281350044,135.001916015625,0.0008581542968499889,-0.0030043249130358163,555.2,668.8,0.0,637.8,0.0,0.0,0.0,0.0,6.61362230551458,7.946068210127571,0.0,12.0474063598768,0.0,0.0,0.0,0.0,HL
2024-06-05_17-45-21,2024-06-05_17-45-26,5,1,-90.41518571428571,-47.19977678571428,3.784319196428571,67.48946755357143,0.0008469238281350044,-0.0007695312500004547,45.0024755859375,-0.0030043249130358163,610.0,698.8,0.0,618.4,1.6,0.0,0.2,0.0,11.229425630903835,5.180733538795447,0.0,4.9254441424099,0.39999999999999997,0.0,0.20000000000000004,0.0,VH
2024-06-05_17-45-33,2024-06-05_17-45-38,5,1,-90.41518571428571,-47.19977678571428,3.784319196428571,67.48946755357143,45.001957000732425,-0.00028125000000045475,44.99987396240235,-0.0030043249130358163,618.6,690.6,0.0,627.2,1.2,0.0,0.2,0.0,4.296510211788166,12.143310915891101,0.0,9.996999549864947,0.48989794855663554,0.0,0.2,0.0,VV
2024-06-05_17-45-43,2024-06-05_17-45-48,5,1,-90.41518571428571,-47.19977678571428,3.784319196428571,67.48946755357143,67.50198751831054,-0.00028125000000045475,44.99987396240235,-0.0030043249130358163,625.8,663.6,0.0,647.8,0.2,0.0,1.0,0.0,14.864050591948347,13.977124167724918,0.0,2.2226110770892866,0.20000000000000004,0.0,0.31622776601683794,0.0,VD
2024-06-05_17-45-55,2024-06-05_17-46-01,5,1,-90.41518571428571,-47.19977678571428,3.784319196428571,67.48946755357143,22.498800338745117,-0.00028125000000045475,44.99987396240235,-0.0030043249130358163,597.2,721.6,0.0,576.2,1.4,0.0,0.0,0.0,7.927168473042564,12.710625476348518,0.0,15.288557812952797,0.39999999999999997,0.0,0.0,0.0,VA
2024-06-05_17-46-11,2024-06-05_17-46-17,5,1,-90.41518571428571,-47.19977678571428,3.784319196428571,67.48946755357143,0.0008469238281350044,45.002404296875,44.99987396240235,-0.0030043249130358163,637.0,702.0,0.0,597.0,1.0,0.0,0.4,0.0,6.848357467305573,4.722287581247038,0.0,5.06951674225463,0.4472135954999579,0.0,0.24494897427831783,0.0,VR
2024-06-05_17-46-28,2024-06-05_17-46-33,5,1,-90.41518571428571,-47.19977678571428,3.784319196428571,67.48946755357143,0.0008469238281350044,135.001916015625,44.99987396240235,-0.0030043249130358163,615.2,691.2,0.0,608.2,0.8,0.0,0.2,0.0,19.18958050609757,14.527215837867901,0.0,12.06813987323647,0.3741657386773941,0.0,0.20000000000000004,0.0,VL
2024-06-05_17-46-53,2024-06-05_17-46-58,5,1,-90.41518571428571,-47.19977678571428,3.784319196428571,67.48946755357143,0.0008469238281350044,-0.0007695312500004547,67.5019873046875,-0.0030043249130358163,598.0,702.2,0.0,600.2,0.4,0.0,0.2,0.0,9.45515732285825,11.727744881263403,0.0,7.193052203341776,0.24494897427831783,0.0,0.2,0.0,DH
2024-06-05_17-47-05,2024-06-05_17-47-10,5,1,-90.41518571428571,-47.19977678571428,3.784319196428571,67.48946755357143,45.001957000732425,-0.00028125000000045475,67.49990447998047,-0.0030043249130358163,595.2,680.6,0.0,621.4,0.2,0.0,0.0,0.0,7.47261667690776,12.10206593933449,0.0,7.2013887549555315,0.20000000000000004,0.0,0.0,0.0,DV
2024-06-05_17-47-15,2024-06-05_17-47-20,5,1,-90.41518571428571,-47.19977678571428,3.784319196428571,67.48946755357143,67.50198751831054,-0.00028125000000045475,67.49990447998047,-0.0030043249130358163,584.8,644.0,0.0,641.0,0.0,0.0,0.0,0.0,8.16945530620004,20.627651344736268,0.0,8.215838362577491,0.0,0.0,0.0,0.0,DD
2024-06-05_17-47-27,2024-06-05_17-47-33,5,1,-90.41518571428571,-47.19977678571428,3.784319196428571,67.48946755357143,22.498800338745117,-0.00028125000000045475,67.49990447998047,-0.0030043249130358163,585.8,708.8,0.0,581.4,0.8,0.0,0.0,0.0,7.165193647069143,13.484806264830057,0.0,6.415605972938176,0.3741657386773941,0.0,0.0,0.0,DA
2024-06-05_17-47-43,2024-06-05_17-47-49,5,1,-90.41518571428571,-47.19977678571428,3.784319196428571,67.48946755357143,0.0008469238281350044,45.002404296875,67.49990447998047,-0.0030043249130358163,564.2,665.2,0.0,617.2,0.4,0.0,0.2,0.0,10.026963648084099,6.6287253676706195,0.0,8.002499609497022,0.4000000000000001,0.0,0.2,0.0,DR
2024-06-05_17-48-00,2024-06-05_17-48-05,5,1,-90.41518571428571,-47.19977678571428,3.784319196428571,67.48946755357143,0.0008469238281350044,135.001916015625,67.49990447998047,-0.0030043249130358163,606.6,675.2,0.0,606.8,1.2,0.0,0.0,0.0,5.67978872846517,15.150577546747185,0.0,8.610458756651703,0.7348469228349533,0.0,0.0,0.0,DL
2024-06-05_17-48-27,2024-06-05_17-48-33,5,1,-90.41518571428571,-47.19977678571428,3.784319196428571,67.48946755357143,0.0008469238281350044,-0.0007695312500004547,22.499841537475586,-0.0030043249130358163,581.6,668.0,0.0,607.0,0.4,0.0,0.0,0.0,13.658696863171098,3.8078865529319543,0.0,10.019980039900279,0.24494897427831783,0.0,0.0,0.0,AH
2024-06-05_17-48-39,2024-06-05_17-48-45,5,1,-90.41518571428571,-47.19977678571428,3.784319196428571,67.48946755357143,45.001957000732425,-0.00028125000000045475,22.499841537475586,-0.0030043249130358163,575.0,702.4,0.0,615.2,0.6,0.0,0.2,0.0,12.140840168620949,7.723988606931006,0.0,12.920526305069773,0.24494897427831783,0.0,0.20000000000000004,0.0,AV
2024-06-05_17-48-49,2024-06-05_17-48-54,5,1,-90.41518571428571,-47.19977678571428,3.784319196428571,67.48946755357143,67.50198751831054,-0.00028125000000045475,22.499841537475586,-0.0030043249130358163,586.4,646.2,0.0,632.8,0.2,0.0,0.4,0.0,13.941305534274758,6.858571279792899,0.0,11.84651847590675,0.20000000000000004,0.0,0.24494897427831783,0.0,AD
2024-06-05_17-49-02,2024-06-05_17-49-07,5,1,-90.41518571428571,-47.19977678571428,3.784319196428571,67.48946755357143,22.498800338745117,-0.00028125000000045475,22.499841537475586,-0.0030043249130358163,572.8,736.4,0.0,602.6,1.0,0.0,0.0,0.0,12.026637102698325,18.850994668717085,0.0,17.912565422071737,0.6324555320336759,0.0,0.0,0.0,AA
2024-06-05_17-49-18,2024-06-05_17-49-23,5,1,-90.41518571428571,-47.19977678571428,3.784319196428571,67.48946755357143,0.0008469238281350044,45.002404296875,22.499841537475586,-0.0030043249130358163,587.8,667.0,0.0,621.2,1.2,0.0,0.0,0.0,16.38719011911438,6.1400325732035,0.0,5.7827329179203835,0.3741657386773941,0.0,0.0,0.0,AR
2024-06-05_17-49-34,2024-06-05_17-49-39,5,1,-90.41518571428571,-47.19977678571428,3.784319196428571,67.48946755357143,0.0008469238281350044,135.001916015625,22.499841537475586,-0.0030043249130358163,586.8,658.4,0.0,621.0,0.4,0.0,0.0,0.0,8.645229898620395,13.178011989674316,0.0,8.148619514985345,0.4000000000000001,0.0,0.0,0.0,AL
2024-06-05_17-50-05,2024-06-05_17-50-10,5,1,-90.41518571428571,-47.19977678571428,3.784319196428571,67.48946755357143,0.0008469238281350044,-0.0007695312500004547,0.0008581542968499889,45.00018511962891,595.8,682.2,0.0,626.4,0.2,0.0,0.0,0.0,8.48174510345601,14.440914098491133,0.0,6.727555276621664,0.20000000000000004,0.0,0.0,0.0,RH
2024-06-05_17-50-17,2024-06-05_17-50-22,5,1,-90.41518571428571,-47.19977678571428,3.784319196428571,67.48946755357143,45.001957000732425,-0.00028125000000045475,0.0008581542968499889,45.00018511962891,584.2,673.6,0.0,646.6,0.4,0.0,0.2,0.0,10.326664514740468,7.075309180523491,0.0,10.557461816175325,0.24494897427831783,0.0,0.20000000000000004,0.0,RV
2024-06-05_17-50-27,2024-06-05_17-50-32,5,1,-90.41518571428571,-47.19977678571428,3.784319196428571,67.48946755357143,67.50198751831054,-0.00028125000000045475,0.0008581542968499889,45.00018511962891,597.0,626.0,0.0,633.8,0.2,0.0,0.4,0.0,5.692099788303082,10.074720839804941,0.0,11.173182178770737,0.20000000000000004,0.0,0.4,0.0,RD
2024-06-05_17-50-40,2024-06-05_17-50-45,5,1,-90.41518571428571,-47.19977678571428,3.784319196428571,67.48946755357143,22.499321044921874,-0.00028125000000045475,0.0008581542968499889,45.00018511962891,577.8,687.6,0.0,595.2,1.8,0.0,0.0,0.0,8.01498596380555,7.626270385975047,0.0,11.913857477744141,0.5830951894845301,0.0,0.0,0.0,RA
2024-06-05_17-50-55,2024-06-05_17-51-01,5,1,-90.41518571428571,-47.19977678571428,3.784319196428571,67.48946755357143,0.0008469238281350044,45.002404296875,0.0008581542968499889,45.00018511962891,565.4,668.4,0.0,610.8,0.4,0.0,0.6,0.0,5.005996404313531,7.103520254071216,0.0,5.825804665451803,0.24494897427831783,0.0,0.24494897427831783,0.0,RR
2024-06-05_17-51-12,2024-06-05_17-51-17,5,1,-90.41518571428571,-47.19977678571428,3.784319196428571,67.48946755357143,0.0008469238281350044,135.001916015625,0.0008581542968499889,45.00018511962891,571.4,668.8,0.0,602.0,0.8,0.0,0.0,0.0,12.839781929612357,14.189432687743368,0.0,9.959919678390985,0.48989794855663565,0.0,0.0,0.0,RL
2024-06-05_17-51-43,2024-06-05_17-51-49,5,1,-90.41518571428571,-47.19977678571428,3.784319196428571,67.48946755357143,0.0008469238281350044,-0.0007695312500004547,0.0008581542968499889,134.9992619628906,577.8,686.0,0.0,607.2,0.4,0.0,0.2,0.0,15.252540771950093,5.7532599454570095,0.0,11.568923891183656,0.24494897427831783,0.0,0.20000000000000004,0.0,LH
