start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2024-06-06_13-51-13,2024-06-06_13-51-18,5,1,-137.11021919642855,-36.18331473214283,3.7818080357142856,67.49951219642857,0.0008469238281350044,-0.00028125000000045475,0.0008581542968499889,-0.0030043249130358163,11701.8,6784.6,0.0,3627.4,321.0,0.0,180.0,0.0,55.048524049242225,17.968305429282974,0.0,26.83393374069482,5.805170109479997,0.0,3.714835124201342,0.0,HH
2024-06-06_13-51-25,2024-06-06_13-51-30,5,1,-137.11021919642855,-36.18331473214283,3.7818080357142856,67.49951219642857,45.001957000732425,-0.00028125000000045475,0.0008581542968499889,-0.0030043249130358163,11616.4,7321.4,0.0,3370.2,349.6,0.0,160.2,0.0,55.270787944446745,34.07139562741744,0.0,26.863357943488744,8.953211714239755,0.0,7.812809993849844,0.0,HV
2024-06-06_13-51-35,2024-06-06_13-51-40,5,1,-137.11021919642855,-36.18331473214283,3.7818080357142856,67.49951219642857,67.50198751831054,-0.00028125000000045475,0.0008581542968499889,-0.0030043249130358163,11657.0,12546.6,0.0,1014.6,678.6,0.0,5.4,0.0,45.15860936742848,56.20640532893026,0.0,12.143310915891103,14.091131963046829,0.0,0.6782329983125267,0.0,HD
2024-06-06_13-51-48,2024-06-06_13-51-53,5,1,-137.11021919642855,-36.18331473214283,3.7818080357142856,67.49951219642857,22.499321044921874,-0.00028125000000045475,0.0008581542968499889,-0.0030043249130358163,11620.4,1520.6,0.0,6047.4,5.4,0.0,332.0,0.0,26.78171017690991,14.441606558828555,0.0,37.70755892390808,0.9797958971132711,0.0,10.57827963328631,0.0,HA
2024-06-06_13-52-03,2024-06-06_13-52-08,5,1,-137.11021919642855,-36.18331473214283,3.7818080357142856,67.49951219642857,0.00032812500001000444,45.002404296875,0.0008581542968499889,-0.0030043249130358163,11706.2,7301.2,0.0,3367.6,348.2,0.0,167.0,0.0,40.50975191234822,41.63460099484563,0.0,47.051673721558515,3.652396473549935,0.0,7.113367697511495,0.0,HR
2024-06-06_13-52-20,2024-06-06_13-52-25,5,1,-137.11021919642855,-36.18331473214283,3.7818080357142856,67.49951219642857,0.0008469238281350044,135.001916015625,0.0008581542968499889,-0.0030043249130358163,11635.2,7640.4,0.0,3274.4,351.6,0.0,157.8,0.0,49.29239292223497,40.00824914939418,0.0,17.09561347246714,7.284229540589725,0.0,5.651548460377916,0.0,HL
2024-06-06_13-52-47,2024-06-06_13-52-52,5,1,-137.11021919642855,-36.18331473214283,3.7818080357142856,67.49951219642857,0.0008469238281350044,-0.00028125000000045475,45.00195678710938,-0.0030043249130358163,1368.0,6725.4,0.0,3662.4,4.2,0.0,1.6,0.0,6.0166435825965285,12.998461447417535,0.0,28.793402021991078,1.019803902718557,0.0,0.39999999999999997,0.0,VH
2024-06-06_13-52-59,2024-06-06_13-53-04,5,1,-137.11021919642855,-36.18331473214283,3.7818080357142856,67.49951219642857,45.001957000732425,-0.00028125000000045475,44.99987396240235,-0.0030043249130358163,1374.2,7239.6,0.0,3334.6,2.6,0.0,2.8,0.0,12.314219423089714,24.356929198895333,0.0,34.608669434117225,1.0295630140987,0.0,0.58309518948453,0.0,VV
2024-06-06_13-53-08,2024-06-06_13-53-14,5,1,-137.11021919642855,-36.18331473214283,3.7818080357142856,67.49951219642857,67.50198751831054,-0.00028125000000045475,44.99987396240235,-0.0030043249130358163,1378.8,12455.4,0.0,970.2,2.0,0.0,2.4,0.0,13.316906547693423,57.788061050704925,0.0,19.430388570484123,0.31622776601683794,0.0,0.6782329983125267,0.0,VD
2024-06-06_13-53-21,2024-06-06_13-53-27,5,1,-137.11021919642855,-36.18331473214283,3.7818080357142856,67.49951219642857,22.499321044921874,-0.00028125000000045475,44.99987396240235,-0.0030043249130358163,1368.6,1515.6,0.0,6031.4,3.4,0.0,2.0,0.0,20.0214884561563,13.574240310234675,0.0,30.601633943304396,0.6,0.0,0.5477225575051661,0.0,VA
