,QP,DR,AR,DL,AL,RR,LL,RL,LR,gamma
0,-27.0,469+/-4,757+/-4,745+/-5,426.6+/-2.6,282.3+/-2.4,199+/-7,910+/-10,905+/-7,-0.427+/-0.006
1,-26.6,444+/-4,796+/-6,782+/-7,405+/-6,304+/-6,223+/-5,896+/-6,881+/-11,-0.527+/-0.009
2,-26.2,430+/-6,810+/-10,811+/-8,366+/-5,330+/-7,238.7+/-1.6,872+/-8,850+/-8,-0.621+/-0.010
3,-25.8,406.0+/-2.5,836+/-11,825+/-9,349+/-6,352+/-5,264.9+/-2.6,834+/-5,843+/-8,-0.707+/-0.010
4,-25.4,377+/-5,870+/-8,835.1+/-3.5,333.3+/-3.3,381+/-5,304.3+/-3.5,826+/-5,809+/-10,-0.808+/-0.008
5,-25.0,376.5+/-2.6,878+/-5,871+/-4,319.0+/-3.5,417+/-5,310+/-5,778+/-7,786+/-4,-0.900+/-0.007
6,-24.6,363+/-6,879+/-4,874+/-11,302+/-5,437+/-8,344.5+/-3.2,758+/-5,749+/-11,-0.983+/-0.011
7,-24.2,355+/-4,897+/-5,867+/-9,296.8+/-2.9,472+/-6,371+/-4,728+/-6,742+/-8,-1.058+/-0.010
8,-23.8,347+/-5,890+/-6,911+/-6,285.0+/-2.0,496+/-4,396.8+/-2.8,705+/-6,697.9+/-2.8,-1.160+/-0.007
9,-23.4,339.9+/-2.8,913+/-4,890.6+/-3.5,278.5+/-3.1,522+/-5,435+/-4,674+/-8,669+/-4,-1.256+/-0.009
