start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-07-03_15-05-49,2025-07-03_15-06-04,5,3,-87.50287276785713,-7.169363839285722,1.0005580357142847,22.494011160714283,44.99005133928573,22.49938627624512,-0.0001840820312395408,0.001094970703150011,-2.197265627046363e-05,5215.2,4468.866666666667,0.0,694.4666666666667,39.8,0.0,0.0,0.0,16.387529133798928,12.806508761823686,0.0,6.7409198185410855,1.8396859635395504,0.0,0.0,0.0,
2025-07-03_15-06-04,2025-07-03_15-06-20,5,3,-86.20711383928574,-7.169363839285722,1.0005580357142847,22.494011160714283,44.99005133928573,22.49938627624512,-0.0001840820312395408,0.001094970703150011,-2.197265627046363e-05,5461.466666666667,4738.266666666666,0.0,704.5333333333333,55.66666666666667,0.0,0.06666666666666667,0.0,12.219565367793505,14.768359571883524,0.0,5.770230112877253,1.738453974720706,0.0,0.06666666666666667,0.0,
2025-07-03_15-06-20,2025-07-03_15-06-35,5,3,-84.8862433035714,-7.169363839285722,1.0005580357142847,22.494011160714283,44.99005133928573,22.49938627624512,-0.0001840820312395408,0.001094970703150011,-2.197265627046363e-05,5828.4,5233.866666666667,0.0,700.2666666666667,89.26666666666667,0.0,0.0,0.0,23.181985343029666,18.356228128651974,0.0,2.739424108173912,3.3038697848970306,0.0,0.0,0.0,
2025-07-03_15-06-36,2025-07-03_15-06-51,5,3,-83.55532812500002,-7.169363839285722,1.0005580357142847,22.494011160714283,44.99005133928573,22.49938627624512,-0.0001840820312395408,0.001094970703150011,-2.197265627046363e-05,6440.733333333334,5891.733333333334,0.0,690.6,127.33333333333333,0.0,0.0,0.0,17.466284983107055,24.371066634205665,0.0,2.298308556791766,2.3142073276946373,0.0,0.0,0.0,
2025-07-03_15-06-51,2025-07-03_15-07-07,5,3,-82.22943526785713,-7.169363839285722,1.0005580357142847,22.494011160714283,44.99005133928573,22.49938627624512,-0.0001840820312395408,0.001094970703150011,-2.197265627046363e-05,7118.7333333333345,6635.0,0.0,707.6666666666666,182.66666666666669,0.0,0.13333333333333333,0.0,19.98538354787208,30.07675366643002,0.0,8.831760866327837,4.251797005711561,0.0,0.0816496580927726,0.0,
2025-07-03_15-07-07,2025-07-03_15-07-22,5,3,-80.91609821428574,-7.169363839285722,1.0005580357142847,22.494011160714283,44.99005133928573,22.49938627624512,-0.0001840820312395408,0.001094970703150011,-2.197265627046363e-05,7911.666666666666,7640.133333333334,0.0,695.8,239.0,0.0,0.0,0.0,18.4170814432931,38.08741407750214,0.0,5.767341001035251,3.5229406908307586,0.0,0.0,0.0,
2025-07-03_15-07-23,2025-07-03_15-07-38,5,3,-79.59271651785713,-7.169363839285722,1.0005580357142847,22.494011160714283,44.99005133928573,22.49938627624512,-0.0001840820312395408,0.001094970703150011,-2.197265627046363e-05,8901.8,8880.866666666665,0.0,702.5333333333333,312.9333333333333,0.0,0.06666666666666667,0.0,19.97793226982673,26.1658386280876,0.0,2.644911256650311,7.846726139678323,0.0,0.06666666666666667,0.0,
2025-07-03_15-07-38,2025-07-03_15-07-54,5,3,-78.26180133928574,-7.169363839285722,1.0005580357142847,22.494011160714283,44.99005133928573,22.49938627624512,-0.0001840820312395408,0.001094970703150011,-2.197265627046363e-05,9919.133333333333,10059.733333333334,0.0,698.8,378.1333333333333,0.0,0.06666666666666667,0.0,28.432883935487155,23.008549135774224,0.0,5.661370073675728,4.111771718695806,0.0,0.06666666666666667,0.0,
2025-07-03_15-07-54,2025-07-03_15-08-10,5,3,-76.93590848214285,-7.169363839285722,1.0005580357142847,22.494011160714283,44.99005133928573,22.49938627624512,-0.0001840820312395408,0.001094970703150011,-2.197265627046363e-05,11142.266666666666,11463.533333333333,0.0,698.4,473.0,0.0,0.13333333333333333,0.0,14.1787791356584,28.220481136145693,0.0,3.0829279012724964,6.405726604635365,0.0,0.0816496580927726,0.0,
2025-07-03_15-08-10,2025-07-03_15-08-26,5,3,-75.6225714285714,-7.169363839285722,1.0005580357142847,22.494011160714283,44.99005133928573,22.49938627624512,-0.0001840820312395408,0.001094970703150011,-2.197265627046363e-05,12459.8,12989.533333333333,0.0,698.1333333333333,573.6666666666666,0.0,0.06666666666666667,0.0,25.430646428625778,37.76676963798854,0.0,8.492872828960103,6.534523701081812,0.0,0.06666666666666667,0.0,
