start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-07-14_19-33-24,2025-07-14_19-33-39,5,3,-117.99087500000002,-25.199497767857167,1.003069196428573,22.4915,44.99005133928573,22.501989807128908,0.0008535156249962483,0.001094970703150011,-0.0010595703125204636,49862.933333333334,32843.33333333333,0.0,515.9333333333333,1578.3333333333333,0.0,0.2,0.0,59.84864242403528,39.30634667440989,0.0,5.050192515582393,10.742956348748292,0.0,0.0816496580927726,0.0,
2025-07-14_19-33-40,2025-07-14_19-33-55,5,3,-119.10331919642857,-25.199497767857167,1.003069196428573,22.4915,44.99005133928573,22.501989807128908,0.0008535156249962483,0.001094970703150011,-0.0010595703125204636,51696.53333333333,34280.33333333333,0.0,511.9333333333333,1669.0666666666668,0.0,0.13333333333333333,0.0,113.4011855709145,43.20403787713519,0.0,8.461940938368961,11.3873223854913,0.0,0.0816496580927726,0.0,
2025-07-14_19-33-55,2025-07-14_19-34-11,5,3,-120.1379174107143,-25.199497767857167,1.003069196428573,22.4915,44.99005133928573,22.501989807128908,0.0008535156249962483,0.001094970703150011,-0.0010595703125204636,53736.0,35561.53333333334,0.0,521.2,1748.6,0.0,0.06666666666666667,0.0,64.27709113241231,32.59832988223701,0.0,7.655499112838207,11.33941013555039,0.0,0.06666666666666667,0.0,
2025-07-14_19-34-11,2025-07-14_19-34-26,5,3,-121.22273883928574,-25.199497767857167,1.003069196428573,22.4915,44.99005133928573,22.501989807128908,0.0008535156249962483,0.001094970703150011,-0.0010595703125204636,55582.53333333334,36864.26666666667,0.0,521.7333333333333,1806.2,0.0,0.0,0.0,155.89507154921043,47.46547283142908,0.0,6.543359653538506,10.50587137429985,0.0,0.0,0.0,
2025-07-14_19-34-26,2025-07-14_19-34-42,5,3,-122.28495982142857,-25.199497767857167,1.003069196428573,22.4915,44.99005133928573,22.501989807128908,0.0008535156249962483,0.001094970703150011,-0.0010595703125204636,57095.533333333326,38200.6,0.0,515.0,1908.3333333333333,0.0,0.13333333333333333,0.0,107.76175367706091,31.41574269198393,0.0,4.066120181860501,13.462705688101677,0.0,0.0816496580927726,0.0,
2025-07-14_19-34-42,2025-07-14_19-34-58,5,3,-123.34969196428574,-25.199497767857167,1.003069196428573,22.4915,44.99005133928573,22.501989807128908,0.0008535156249962483,0.001094970703150011,-0.0010595703125204636,58843.13333333334,39367.00000000001,0.0,503.2,1967.6666666666665,0.0,0.26666666666666666,0.0,100.37521827844003,34.80229877464977,0.0,6.753270812477952,12.180129537716548,0.0,0.19436506316151003,0.0,
2025-07-14_19-34-58,2025-07-14_19-35-14,5,3,-124.42195758928574,-25.199497767857167,1.003069196428573,22.4915,44.99005133928573,22.501989807128908,0.0008535156249962483,0.001094970703150011,-0.0010595703125204636,60269.26666666666,40495.53333333334,0.0,503.2666666666667,2017.8,0.0,0.4666666666666666,0.0,63.88630526177036,12.682271089991099,0.0,2.5372776311980063,4.571165667043292,0.0,0.1333333333333333,0.0,
2025-07-14_19-35-14,2025-07-14_19-35-30,5,3,-125.48920089285713,-25.199497767857167,1.003069196428573,22.4915,44.99005133928573,22.501989807128908,0.0008535156249962483,0.001094970703150011,-0.0010595703125204636,61687.73333333334,41431.13333333333,0.0,499.8,2068.333333333333,0.0,0.0,0.0,134.91501028425233,44.43492120193536,0.0,2.3795424396766314,4.245258793315495,0.0,0.0,0.0,
2025-07-14_19-35-30,2025-07-14_19-35-46,5,3,-126.60415625000002,-25.199497767857167,1.003069196428573,22.4915,44.99005133928573,22.501989807128908,0.0008535156249962483,0.001094970703150011,-0.0010595703125204636,62939.73333333334,42565.13333333333,0.0,520.8666666666666,2130.3999999999996,0.0,0.13333333333333333,0.0,42.90071224479993,12.16579905582225,0.0,6.042994107044761,6.753106281145348,0.0,0.13333333333333333,0.0,
2025-07-14_19-35-46,2025-07-14_19-36-01,5,3,-127.6713995535714,-25.199497767857167,1.003069196428573,22.4915,44.99005133928573,22.501989807128908,0.0008535156249962483,0.001094970703150011,-0.0010595703125204636,63998.0,43339.933333333334,0.0,511.0,2193.8666666666663,0.0,0.06666666666666667,0.0,72.50570858751617,50.715261783587074,0.0,6.786424357167451,5.324576143798819,0.0,0.06666666666666667,0.0,
