start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-07-16_10-42-13,2025-07-16_10-42-28,5,3,-111.03495982142857,-25.480747767857167,1.0055803571428577,22.494011160714283,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,35458.86666666667,28918.533333333336,0.0,515.5999999999999,1523.2,0.0,0.26666666666666666,0.0,51.83945301494774,56.94574415860942,0.0,5.4958570254733115,9.863850949581302,0.0,0.12472191289246469,0.0,
2025-07-16_10-42-29,2025-07-16_10-42-44,5,3,-112.0796026785714,-25.480747767857167,1.0055803571428577,22.494011160714283,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,33438.4,27361.06666666667,0.0,516.8,1414.6666666666665,0.0,0.0,0.0,70.61998458101182,29.743421308099197,0.0,6.000555529837763,9.913514905308693,0.0,0.0,0.0,
2025-07-16_10-42-44,2025-07-16_10-42-59,5,3,-113.15437946428574,-25.480747767857167,1.0055803571428577,22.494011160714283,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,31677.93333333333,25704.466666666667,0.0,515.5333333333333,1329.0666666666668,0.0,0.06666666666666667,0.0,67.99243421963277,34.12503154251698,0.0,7.865254110467262,5.824660218988469,0.0,0.06666666666666667,0.0,
2025-07-16_10-43-00,2025-07-16_10-43-15,5,3,-114.23668973214285,-25.480747767857167,1.0055803571428577,22.494011160714283,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,29521.466666666667,24140.466666666667,0.0,509.7333333333333,1209.6,0.0,0.06666666666666667,0.0,73.10377707220212,32.64414189406712,0.0,6.380003483105987,10.975933268342661,0.0,0.06666666666666667,0.0,
2025-07-16_10-43-15,2025-07-16_10-43-30,5,3,-115.30644419642857,-25.480747767857167,1.0055803571428577,22.494011160714283,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,27577.266666666663,22618.6,0.0,518.0666666666667,1124.2,0.0,0.13333333333333333,0.0,66.7655433421895,26.036598173425585,0.0,4.143803942166073,7.579651120672459,0.0,0.13333333333333333,0.0,
2025-07-16_10-43-31,2025-07-16_10-43-46,5,3,-116.37117633928574,-25.480747767857167,1.0055803571428577,22.494011160714283,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,25616.0,20986.533333333333,0.0,512.6,1022.6666666666667,0.0,0.2,0.0,68.34934771695599,26.838322517541293,0.0,4.392417709341109,6.7749538743817395,0.0,0.0816496580927726,0.0,
2025-07-16_10-43-46,2025-07-16_10-44-01,5,3,-117.4484642857143,-25.480747767857167,1.0055803571428577,22.494011160714283,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,23675.13333333333,19428.933333333334,0.0,505.3333333333333,911.6,0.0,0.06666666666666667,0.0,82.18661691540837,49.79707711190393,0.0,6.872651113895803,5.150404514857702,0.0,0.06666666666666667,0.0,
2025-07-16_10-44-02,2025-07-16_10-44-17,5,3,-118.4956183035714,-25.480747767857167,1.0055803571428577,22.494011160714283,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,21960.333333333332,17999.066666666666,0.0,522.1333333333333,823.1333333333332,0.0,0.13333333333333333,0.0,45.30893951528793,21.917370077431972,0.0,7.27064111493768,8.88231701503361,0.0,0.0816496580927726,0.0,
2025-07-16_10-44-18,2025-07-16_10-44-33,5,3,-119.56537276785713,-25.480747767857167,1.0055803571428577,22.494011160714283,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,20347.133333333335,16625.333333333336,0.0,515.6666666666667,747.8666666666666,0.0,0.13333333333333333,0.0,62.80813818465088,22.112590681932204,0.0,4.097424665431798,4.133333333333336,0.0,0.0816496580927726,0.0,
2025-07-16_10-44-33,2025-07-16_10-44-48,5,3,-120.63763839285713,-25.480747767857167,1.0055803571428577,22.494011160714283,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,18710.06666666667,15336.533333333331,0.0,517.3333333333333,651.9333333333334,0.0,0.0,0.0,44.25198049554126,22.944522464220263,0.0,5.98423855733636,8.910293672676179,0.0,0.0,0.0,
2025-07-16_10-44-49,2025-07-16_10-45-04,5,3,-121.69734821428574,-25.480747767857167,1.0055803571428577,22.494011160714283,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,17026.6,13920.266666666668,0.0,511.3333333333333,579.8666666666666,0.0,0.06666666666666667,0.0,12.215381924260843,18.634019069075475,0.0,3.5777087639996594,4.511220578857907,0.0,0.06666666666666667,0.0,
2025-07-16_10-45-04,2025-07-16_10-45-20,5,3,-122.78216964285713,-25.480747767857167,1.0055803571428577,22.494011160714283,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,15503.2,12734.133333333333,0.0,516.6666666666667,498.1333333333334,0.0,0.13333333333333333,0.0,42.36161784760665,5.729649979613636,0.0,10.669791209037065,9.325353731747777,0.0,0.0816496580927726,0.0,
2025-07-16_10-45-20,2025-07-16_10-45-36,5,3,-123.88456919642857,-25.480747767857167,1.0055803571428577,22.494011160714283,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,13950.333333333334,11572.0,0.0,510.2,437.0,0.0,0.06666666666666667,0.0,41.21272726827088,26.32003883820187,0.0,3.334333183378326,4.399494920505705,0.0,0.06666666666666667,0.0,
2025-07-16_10-45-36,2025-07-16_10-45-51,5,3,-124.9543236607143,-25.480747767857167,1.0055803571428577,22.494011160714283,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,12659.666666666668,10508.933333333332,0.0,509.2666666666667,367.4,0.0,0.0,0.0,32.30531432029904,27.1762559762909,0.0,4.8043961350228255,4.000555516980663,0.0,0.0,0.0,
2025-07-16_10-45-52,2025-07-16_10-46-07,5,3,-125.98892187500002,-25.480747767857167,1.0055803571428577,22.494011160714283,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,11532.066666666668,9587.933333333334,0.0,514.4666666666666,308.4,0.0,0.0,0.0,42.61577694287007,13.185598204101371,0.0,7.780031419530963,5.376285376023528,0.0,0.0,0.0,
