start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-07-16_12-39-57,2025-07-16_12-40-12,5,3,-118.25956919642857,-25.480747767857167,1.0005580357142847,22.4915,44.99005133928573,0.0009140624999872671,0.0018987426757774983,0.001613769531275011,-0.0010595703125204636,38699.26666666667,25088.999999999996,0.0,514.4,808.6,0.0,0.13333333333333333,0.0,438.14949757157257,33.782145185487046,0.0,4.934459330959052,8.69380366825835,0.0,0.0816496580927726,0.0,HH
2025-07-16_12-40-19,2025-07-16_12-40-34,5,3,-118.25956919642857,-25.480747767857167,1.0005580357142847,22.4915,44.99005133928573,45.0020241394043,-0.0001840820312395408,0.001094970703150011,-2.197265627046363e-05,38739.53333333334,25779.133333333335,0.0,519.9333333333333,834.5333333333334,0.0,0.13333333333333333,0.0,86.69836599767396,34.3656158908228,0.0,7.009834361650615,9.308657857667296,0.0,0.0816496580927726,0.0,HV
2025-07-16_12-40-39,2025-07-16_12-40-54,5,3,-118.25956919642857,-25.480747767857167,1.0005580357142847,22.4915,44.99005133928573,67.50205084228516,-0.0001840820312395408,0.001094970703150011,-2.197265627046363e-05,38131.200000000004,18273.133333333335,0.0,513.4000000000001,12.533333333333333,0.0,0.0,0.0,214.21595023091402,26.497085793641087,0.0,8.951349991295546,1.0143416036468627,0.0,0.0,0.0,HD
2025-07-16_12-41-01,2025-07-16_12-41-17,5,3,-118.25956919642857,-25.480747767857167,1.0005580357142847,22.4915,44.99005133928573,22.49938627624512,-0.0001840820312395408,0.001094970703150011,-2.197265627046363e-05,37654.4,32723.6,0.0,511.1333333333333,1623.9333333333334,0.0,0.2,0.0,46.6802837275957,22.071701339045152,0.0,4.731220185580501,10.020756236709687,0.0,0.0816496580927726,0.0,HA
2025-07-16_12-41-27,2025-07-16_12-41-42,5,3,-118.25956919642857,-25.480747767857167,1.0005580357142847,22.4915,44.99005133928573,0.0009140624999872671,45.00143334960937,0.001094970703150011,-2.197265627046363e-05,38179.13333333334,25670.866666666665,0.0,523.6,859.0666666666666,0.0,0.0,0.0,102.32066153899537,40.041173253983544,0.0,7.015379929523106,4.335127833563082,0.0,0.0,0.0,HR
2025-07-16_12-41-54,2025-07-16_12-42-09,5,3,-118.25956919642857,-25.480747767857167,1.0005580357142847,22.4915,44.99005133928573,0.0009140624999872671,135.00208947753907,0.001094970703150011,-2.197265627046363e-05,38914.26666666666,24870.2,0.0,523.1333333333333,789.5333333333333,0.0,0.13333333333333333,0.0,171.0272038140261,56.86949973403998,0.0,4.9873172481137935,6.140575434490375,0.0,0.0816496580927726,0.0,HL
2025-07-16_12-42-31,2025-07-16_12-42-46,5,3,-118.25956919642857,-25.480747767857167,1.0005580357142847,22.4915,44.99005133928573,0.0009140624999872671,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,21783.533333333333,25149.533333333333,0.0,509.0,455.1333333333333,0.0,0.06666666666666667,0.0,53.46760182058341,56.563199658041995,0.0,4.100135499115986,2.4823823682547874,0.0,0.06666666666666667,0.0,VH
2025-07-16_12-42-52,2025-07-16_12-43-08,5,3,-118.25956919642857,-25.480747767857167,1.0005580357142847,22.4915,44.99005133928573,45.0020241394043,-0.0001840820312395408,45.000114593505856,-2.197265627046363e-05,21825.399999999998,25910.0,0.0,511.6666666666667,405.33333333333337,0.0,0.0,0.0,98.74543027401339,63.35604855804113,0.0,6.8653720462429,3.935592571505455,0.0,0.0,0.0,VV
2025-07-16_12-43-12,2025-07-16_12-43-27,5,3,-118.25956919642857,-25.480747767857167,1.0005580357142847,22.4915,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.000114593505856,-2.197265627046363e-05,21454.8,18242.266666666666,0.0,518.3333333333333,857.4666666666666,0.0,0.06666666666666667,0.0,79.7320234006109,29.639200768951948,0.0,4.613988392799535,2.884055786176425,0.0,0.06666666666666667,0.0,VD
2025-07-16_12-43-35,2025-07-16_12-43-50,5,3,-118.25956919642857,-25.480747767857167,1.0005580357142847,22.4915,44.99005133928573,22.49938627624512,-0.0001840820312395408,45.000114593505856,-2.197265627046363e-05,21978.93333333333,32667.0,0.0,507.2666666666667,13.866666666666665,0.0,0.2,0.0,31.41485848023705,21.795259423400577,0.0,8.817533038718304,0.9404490653110589,0.0,0.1333333333333333,0.0,VA
