start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-07-14_15-49-21,2025-07-14_15-49-36,5,3,-135.0366339285714,-14.991629464285722,0.9955357142857153,22.4915,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,7037.933333333334,5294.400000000001,0.0,524.6000000000001,23.799999999999997,0.0,0.0,0.0,28.617671308321246,19.22654415125085,0.0,6.311717498254948,2.0591260281974,0.0,0.0,0.0,
2025-07-14_15-49-37,2025-07-14_15-49-52,5,3,-133.70571875,-14.991629464285722,0.9955357142857153,22.4915,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,6770.2666666666655,5081.6,0.0,515.3333333333333,10.666666666666666,0.0,0.0,0.0,20.20654459437445,18.032501521173145,0.0,2.5668831077571297,0.8432740427115677,0.0,0.0,0.0,
2025-07-14_15-49-52,2025-07-14_15-50-08,5,3,-132.387359375,-14.991629464285722,0.9955357142857153,22.4915,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,6706.066666666666,4996.4,0.0,513.1333333333333,7.733333333333334,0.0,0.0,0.0,22.860786415947132,14.718620104404375,0.0,5.124668010927361,0.6446359868604571,0.0,0.0,0.0,
2025-07-14_15-50-08,2025-07-14_15-50-24,5,3,-131.07151116071427,-14.991629464285722,0.9955357142857153,22.4915,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,7005.666666666666,5160.466666666666,0.0,520.0666666666667,14.333333333333332,0.0,0.0,0.0,30.12178982434851,8.10116589688729,0.0,3.7835902996433792,0.6992058987801009,0.0,0.0,0.0,
2025-07-14_15-50-24,2025-07-14_15-50-39,5,3,-129.7330625,-14.991629464285722,0.9955357142857153,22.4915,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,7540.666666666667,5470.733333333334,0.0,516.3333333333334,32.99999999999999,0.0,0.06666666666666667,0.0,19.85866729331723,19.149528569770197,0.0,6.853223086013371,1.825741858350553,0.0,0.06666666666666667,0.0,
2025-07-14_15-50-40,2025-07-14_15-50-55,5,3,-128.414703125,-14.991629464285722,0.9955357142857153,22.4915,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,8243.6,5990.066666666667,0.0,511.2666666666666,67.2,0.0,0.0,0.0,19.148658206545747,25.108741284438846,0.0,5.790221642274735,2.6989709973329545,0.0,0.0,0.0,
2025-07-14_15-50-56,2025-07-14_15-51-11,5,3,-127.0913214285714,-14.991629464285722,0.9955357142857153,22.4915,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,9407.466666666665,6680.466666666667,0.0,520.1333333333334,109.33333333333334,0.0,0.0,0.0,69.39225060800715,36.45965807117054,0.0,7.406153597591074,2.6225517683694584,0.0,0.0,0.0,
2025-07-14_15-51-12,2025-07-14_15-51-27,5,3,-125.76040625000002,-14.991629464285722,0.9955357142857153,22.4915,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,10711.666666666668,7617.2,0.0,504.8,171.06666666666666,0.0,0.0,0.0,26.929743985250212,19.602890943259688,0.0,6.99094652628192,3.0099833886584824,0.0,0.0,0.0,
2025-07-14_15-51-27,2025-07-14_15-51-42,5,3,-124.44204687500002,-14.991629464285722,0.9955357142857153,22.4915,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,12316.866666666667,8594.866666666667,0.0,507.8,222.73333333333335,0.0,0.0,0.0,37.15561868681501,13.206311622352063,0.0,7.747831237765119,3.043024810940588,0.0,0.0,0.0,
2025-07-14_15-51-43,2025-07-14_15-51-58,5,3,-123.11615401785713,-14.991629464285722,0.9955357142857153,22.4915,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,14073.533333333331,9696.133333333333,0.0,516.0666666666667,297.73333333333335,0.0,0.06666666666666667,0.0,50.237944933198825,19.5159763612621,0.0,5.760401220594116,2.7231517687333437,0.0,0.06666666666666667,0.0,
