start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-07-14_19-17-13,2025-07-14_19-17-29,5,3,-120.00482589285713,-24.250279017857167,1.0080915178571423,22.496522321428568,44.99005133928573,22.501989807128908,0.0018987426757774983,0.001613769531275011,-0.0010595703125204636,54008.4,35846.13333333333,0.0,528.8666666666667,1761.7333333333331,0.0,0.06666666666666667,0.0,61.48056603513015,43.86274045246063,0.0,5.1721476304443526,8.338931452996684,0.0,0.06666666666666667,0.0,
2025-07-14_19-17-29,2025-07-14_19-17-45,5,3,-121.0796026785714,-24.250279017857167,1.0080915178571423,22.496522321428568,44.99005133928573,22.501989807128908,0.0018987426757774983,0.001613769531275011,-0.0010595703125204636,55729.6,37114.13333333334,0.0,505.1333333333333,1834.7333333333336,0.0,0.13333333333333333,0.0,48.98337586478758,75.05691174035907,0.0,5.7092517509351035,6.228429443554238,0.0,0.0816496580927726,0.0,
2025-07-14_19-17-45,2025-07-14_19-18-01,5,3,-122.16693526785713,-24.250279017857167,1.0080915178571423,22.496522321428568,44.99005133928573,22.501989807128908,0.0018987426757774983,0.001613769531275011,-0.0010595703125204636,57690.133333333324,38334.066666666666,0.0,527.4666666666667,1870.5333333333333,0.0,0.06666666666666667,0.0,60.08518027674513,28.54224938577878,0.0,5.856240735792497,6.3461274280724576,0.0,0.06666666666666667,0.0,
2025-07-14_19-18-01,2025-07-14_19-18-16,5,3,-123.2065558035714,-24.250279017857167,1.0080915178571423,22.496522321428568,44.99005133928573,22.501989807128908,0.0018987426757774983,0.001613769531275011,-0.0010595703125204636,59218.66666666667,39480.73333333334,0.0,521.1333333333334,1965.6666666666667,0.0,0.06666666666666667,0.0,66.67474951000648,27.978046949548272,0.0,6.312773646433957,7.937953836544481,0.0,0.06666666666666667,0.0,
2025-07-14_19-18-17,2025-07-14_19-18-32,5,3,-124.31900000000002,-24.250279017857167,1.0080915178571423,22.496522321428568,44.99005133928573,22.501989807128908,0.0018987426757774983,0.001613769531275011,-0.0010595703125204636,60843.8,40549.66666666667,0.0,513.0,2006.2,0.0,0.2,0.0,96.03613903109598,57.04540102214878,0.0,6.381396573025551,17.570682652899087,0.0,0.1333333333333333,0.0,
2025-07-14_19-18-32,2025-07-14_19-18-48,5,3,-125.34857589285713,-24.250279017857167,1.0080915178571423,22.496522321428568,44.99005133928573,22.501989807128908,0.0018987426757774983,0.001613769531275011,-0.0010595703125204636,62071.26666666668,41488.2,0.0,506.8666666666666,2071.2666666666664,0.0,0.06666666666666667,0.0,121.30216632672173,55.011877505377704,0.0,2.6322782696532854,10.47345851824189,0.0,0.06666666666666667,0.0,
2025-07-14_19-18-48,2025-07-14_19-19-04,5,3,-126.42084151785713,-24.250279017857167,1.0080915178571423,22.496522321428568,44.99005133928573,22.501989807128908,0.0018987426757774983,0.001613769531275011,-0.0010595703125204636,63116.933333333334,42417.86666666667,0.0,515.6,2112.266666666667,0.0,0.2,0.0,58.146309713801536,60.92924858664536,0.0,7.4635410124447255,10.276942909034576,0.0,0.1333333333333333,0.0,
2025-07-14_19-19-04,2025-07-14_19-19-19,5,3,-127.5207299107143,-24.250279017857167,1.0080915178571423,22.496522321428568,44.99005133928573,22.501989807128908,0.0018987426757774983,0.001613769531275011,-0.0010595703125204636,64393.13333333334,43248.86666666667,0.0,508.8,2175.4666666666667,0.0,0.13333333333333333,0.0,85.20756356620505,81.9357878666789,0.0,3.6539172282785835,7.699639241188143,0.0,0.13333333333333333,0.0,
2025-07-14_19-19-20,2025-07-14_19-19-35,5,3,-128.5879732142857,-24.250279017857167,1.0080915178571423,22.496522321428568,44.99005133928573,22.501989807128908,0.0018987426757774983,0.001613769531275011,-0.0010595703125204636,65238.666666666664,43853.600000000006,0.0,515.6666666666667,2189.9333333333334,0.0,0.26666666666666666,0.0,60.596846269239386,46.38706716316564,0.0,10.213281113878681,10.29260791917084,0.0,0.12472191289246469,0.0,
2025-07-14_19-19-35,2025-07-14_19-19-50,5,3,-129.66526116071427,-24.250279017857167,1.0080915178571423,22.496522321428568,44.99005133928573,22.501989807128908,0.0018987426757774983,0.001613769531275011,-0.0010595703125204636,66209.2,44417.66666666667,0.0,522.0,2251.266666666667,0.0,0.26666666666666666,0.0,125.85461630168498,50.501705141729765,0.0,6.548960901462826,5.779657813784898,0.0,0.19436506316151003,0.0,
