start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-07-16_19-48-28,2025-07-16_19-48-43,5,3,-125.0246361607143,-18.954241071428555,1.0080915178571423,22.4915,44.992562500000005,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,12659.533333333333,8216.0,0.0,513.1333333333334,216.8,0.0,0.06666666666666667,0.0,54.652498163904035,14.00357097314819,0.0,5.850546033396267,3.310924677823736,0.0,0.06666666666666667,0.0,
2025-07-16_19-48-44,2025-07-16_19-48-59,5,3,-126.09187946428574,-18.954241071428555,1.0080915178571423,22.4915,44.992562500000005,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,11858.066666666666,7404.2,0.0,503.8666666666667,165.0,0.0,0.06666666666666667,0.0,70.06682524561819,15.294370787246377,0.0,6.103368832957021,5.487359211051442,0.0,0.06666666666666667,0.0,
2025-07-16_19-49-00,2025-07-16_19-49-15,5,3,-127.13652232142857,-18.954241071428555,1.0080915178571423,22.4915,44.992562500000005,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,10607.866666666667,6774.2,0.0,507.7333333333333,120.93333333333335,0.0,0.0,0.0,25.90422530956843,15.774311043240262,0.0,7.396245293690883,4.157189221363662,0.0,0.0,0.0,
2025-07-16_19-49-15,2025-07-16_19-49-31,5,3,-128.2012544642857,-18.954241071428555,1.0080915178571423,22.4915,44.992562500000005,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,9593.6,6236.266666666667,0.0,513.6,86.4,0.0,0.0,0.0,34.480654801722416,14.540900170820743,0.0,5.02150929059735,2.0747155092793905,0.0,0.0,0.0,
2025-07-16_19-49-31,2025-07-16_19-49-46,5,3,-129.2910982142857,-18.954241071428555,1.0080915178571423,22.4915,44.992562500000005,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,8937.199999999999,5804.066666666667,0.0,508.9333333333333,57.2,0.0,0.0,0.0,44.457545291359985,16.168350427781956,0.0,7.1097741798800405,3.534905310691583,0.0,0.0,0.0,
2025-07-16_19-49-47,2025-07-16_19-50-02,5,3,-130.3809419642857,-18.954241071428555,1.0080915178571423,22.4915,44.992562500000005,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,8402.866666666665,5426.0666666666675,0.0,510.1333333333334,38.06666666666667,0.0,0.0,0.0,21.89332724319858,14.275620243384603,0.0,6.19910387789145,1.2534397117975444,0.0,0.0,0.0,
2025-07-16_19-50-02,2025-07-16_19-50-17,5,3,-131.4331183035714,-18.954241071428555,1.0080915178571423,22.4915,44.992562500000005,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,8039.666666666667,5237.6,0.0,511.4666666666667,24.333333333333336,0.0,0.0,0.0,45.19894295715819,13.784209968091867,0.0,5.835332990593703,1.0110500592068736,0.0,0.0,0.0,
2025-07-16_19-50-18,2025-07-16_19-50-33,5,3,-132.50036160714285,-18.954241071428555,1.0080915178571423,22.4915,44.992562500000005,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,7866.9333333333325,5161.0,0.0,506.7333333333333,20.666666666666664,0.0,0.0,0.0,15.312449546402053,15.565988564816502,0.0,5.291922565990975,0.8881941729649483,0.0,0.0,0.0,
2025-07-16_19-50-33,2025-07-16_19-50-49,5,3,-133.56760491071427,-18.954241071428555,1.0080915178571423,22.4915,44.992562500000005,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,7673.2,5202.733333333334,0.0,516.9333333333333,23.6,0.0,0.0,0.0,49.62980735181,11.915629325479298,0.0,4.388621651498334,1.0241527663824812,0.0,0.0,0.0,
2025-07-16_19-50-49,2025-07-16_19-51-04,5,3,-134.63987053571427,-18.954241071428555,1.0080915178571423,22.4915,44.992562500000005,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,7632.466666666667,5336.733333333334,0.0,526.9333333333333,33.733333333333334,0.0,0.0,0.0,50.81607357257478,21.174512981412413,0.0,5.263501158396792,1.9362047641943472,0.0,0.0,0.0,
2025-07-16_19-51-04,2025-07-16_19-51-20,5,3,-135.70209151785713,-18.954241071428555,1.0080915178571423,22.4915,44.992562500000005,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,7749.666666666667,5549.0,0.0,514.2,50.06666666666667,0.0,0.0,0.0,63.689873606406216,13.256025883432073,0.0,6.711184694224997,1.3266499161421597,0.0,0.0,0.0,
2025-07-16_19-51-20,2025-07-16_19-51-35,5,3,-136.81955803571427,-18.954241071428555,1.0080915178571423,22.4915,44.992562500000005,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,7949.666666666666,5953.0,0.0,505.8666666666667,76.13333333333334,0.0,0.06666666666666667,0.0,72.88491689719558,26.193722742502878,0.0,3.3608861265379906,0.7930251502246869,0.0,0.06666666666666667,0.0,
2025-07-16_19-51-35,2025-07-16_19-51-51,5,3,-137.8491339285714,-18.954241071428555,1.0080915178571423,22.4915,44.992562500000005,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,8461.866666666667,6483.400000000001,0.0,514.5333333333334,105.6,0.0,0.0,0.0,28.936059779374656,15.626686575641479,0.0,8.638158239913059,1.6172679294277592,0.0,0.0,0.0,
2025-07-16_19-51-51,2025-07-16_19-52-06,5,3,-138.95404464285713,-18.954241071428555,1.0080915178571423,22.4915,44.992562500000005,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,9395.333333333332,7091.9333333333325,0.0,522.1333333333334,142.2,0.0,0.0,0.0,26.171018746358204,22.52983207512502,0.0,4.076490865656116,3.8609152628187347,0.0,0.0,0.0,
2025-07-16_19-52-07,2025-07-16_19-52-22,5,3,-140.03635491071427,-18.954241071428555,1.0080915178571423,22.4915,44.992562500000005,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,10048.933333333334,7836.666666666667,0.0,504.8,190.4,0.0,0.06666666666666667,0.0,101.96897131535218,22.0259947435853,0.0,4.738260346489109,5.041384289612883,0.0,0.06666666666666667,0.0,
