start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-07-14_19-37-33,2025-07-14_19-37-49,5,3,-118.01849776785713,-25.199497767857167,1.003069196428573,22.4915,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,29025.06666666667,18757.533333333333,0.0,507.1333333333333,855.5333333333334,0.0,0.06666666666666667,0.0,81.90695262850949,45.22715506811773,0.0,5.143064369722692,8.419949854693643,0.0,0.06666666666666667,0.0,
2025-07-14_19-37-49,2025-07-14_19-38-04,5,3,-119.0756964285714,-25.199497767857167,1.003069196428573,22.4915,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,26522.0,17295.933333333334,0.0,531.5333333333333,754.3333333333333,0.0,0.13333333333333333,0.0,86.88734724406719,22.264421044447626,0.0,4.217160708870885,2.846049894151547,0.0,0.0816496580927726,0.0,
2025-07-14_19-38-05,2025-07-14_19-38-20,5,3,-120.12787276785713,-25.199497767857167,1.003069196428573,22.4915,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,24403.933333333334,15961.8,0.0,515.2666666666667,688.4,0.0,0.06666666666666667,0.0,52.12798352772416,7.796437933085025,0.0,4.226109321823074,3.3885427874268106,0.0,0.06666666666666667,0.0,
2025-07-14_19-38-21,2025-07-14_19-38-36,5,3,-121.2026495535714,-25.199497767857167,1.003069196428573,22.4915,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,22400.06666666667,14569.466666666669,0.0,519.9999999999999,600.6,0.0,0.06666666666666667,0.0,79.58499300189185,21.203406434921,0.0,4.830458915396472,8.315581091474549,0.0,0.06666666666666667,0.0,
2025-07-14_19-38-36,2025-07-14_19-38-52,5,3,-122.3100714285714,-25.199497767857167,1.003069196428573,22.4915,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,20129.73333333333,13199.333333333332,0.0,507.6,521.1333333333333,0.0,0.13333333333333333,0.0,48.0239986303146,31.225167911655877,0.0,6.510162995057971,2.5399037602064984,0.0,0.0816496580927726,0.0,
2025-07-14_19-38-52,2025-07-14_19-39-08,5,3,-123.3471808035714,-25.199497767857167,1.003069196428573,22.4915,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,18351.4,12056.599999999999,0.0,527.2666666666667,455.2666666666667,0.0,0.2,0.0,31.79821797941935,40.69266928248047,0.0,8.689329343766659,3.8375339303603155,0.0,0.13333333333333333,0.0,
2025-07-14_19-39-08,2025-07-14_19-39-23,5,3,-124.42446875000002,-25.199497767857167,1.003069196428573,22.4915,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,16571.333333333332,10927.533333333335,0.0,521.9333333333333,389.46666666666664,0.0,0.06666666666666667,0.0,23.01328118958927,8.032295921950094,0.0,5.872156522285672,3.3142788724614634,0.0,0.06666666666666667,0.0,
2025-07-14_19-39-24,2025-07-14_19-39-40,5,3,-125.4917120535714,-25.199497767857167,1.003069196428573,22.4915,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,14983.933333333334,9955.733333333334,0.0,522.4666666666666,323.4,0.0,0.0,0.0,16.11603756097219,27.588121437394776,0.0,3.5380471700894187,2.7434771124736366,0.0,0.0,0.0,
2025-07-14_19-39-40,2025-07-14_19-39-55,5,3,-126.5890892857143,-25.199497767857167,1.003069196428573,22.4915,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,13311.4,8922.399999999998,0.0,522.4,267.2,0.0,0.0,0.0,44.16803771456867,14.488846284872535,0.0,4.427690644618754,2.619584360585135,0.0,0.0,0.0,
2025-07-14_19-39-56,2025-07-14_19-40-11,5,3,-127.67642187500002,-25.199497767857167,1.003069196428573,22.4915,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,11904.0,8099.933333333334,0.0,508.8666666666667,212.2,0.0,0.0,0.0,25.973276865099372,49.92821513599973,0.0,8.841568488301917,2.9525883183704718,0.0,0.0,0.0,
2025-07-14_19-40-11,2025-07-14_19-40-27,5,3,-128.71855357142854,-25.199497767857167,1.003069196428573,22.4915,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,10846.133333333331,7372.2,0.0,521.4666666666667,171.73333333333332,0.0,0.0,0.0,30.766070777905764,16.55146854847354,0.0,3.166842100403625,2.2837590843947546,0.0,0.0,0.0,
2025-07-14_19-40-27,2025-07-14_19-40-43,5,3,-129.79333035714285,-25.199497767857167,1.003069196428573,22.4915,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,9717.733333333334,6771.133333333334,0.0,512.7333333333333,136.73333333333332,0.0,0.0,0.0,49.97870657701245,21.074892908651087,0.0,4.889217160696026,2.486407493196201,0.0,0.0,0.0,
2025-07-14_19-40-43,2025-07-14_19-40-58,5,3,-130.84801785714285,-25.199497767857167,1.003069196428573,22.4915,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,9007.199999999999,6265.4,0.0,520.5333333333333,102.73333333333335,0.0,0.0,0.0,23.708085821789304,13.799114303300717,0.0,3.4409301068170537,1.3960261060914627,0.0,0.0,0.0,
2025-07-14_19-40-59,2025-07-14_19-41-14,5,3,-131.93786160714285,-25.199497767857167,1.003069196428573,22.4915,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,8290.0,5823.466666666666,0.0,515.4666666666666,71.66666666666666,0.0,0.0,0.0,37.72458673656279,21.216764859683728,0.0,8.544393873568012,1.6158932858054427,0.0,0.0,0.0,
2025-07-14_19-41-15,2025-07-14_19-41-30,5,3,-133.00510491071427,-25.199497767857167,1.003069196428573,22.4915,44.99005133928573,67.50205084228516,-0.0001840820312395408,45.00272003173828,-2.197265627046363e-05,7898.933333333334,5564.333333333334,0.0,527.2666666666667,56.2,0.0,0.06666666666666667,0.0,59.78780998014745,21.531114436760745,0.0,3.3323331832883123,1.8755739862180263,0.0,0.06666666666666667,0.0,
