start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-07-14_21-27-29,2025-07-14_21-27-45,5,3,-114.13373214285713,-25.998046875,1.0080915178571423,22.4915,44.99005133928573,0.0009140624999872671,-0.0001840820312395408,0.001094970703150011,-0.0010595703125204636,42751.6,25875.6,0.0,516.4666666666667,625.2,0.0,0.0,0.0,48.604686559584806,36.844327167753036,0.0,3.5630823110834138,4.462933763543643,0.0,0.0,0.0,HH
2025-07-14_21-27-51,2025-07-14_21-28-06,5,3,-114.13373214285713,-25.998046875,1.0080915178571423,22.4915,44.99005133928573,45.0020241394043,-0.0001840820312395408,0.001094970703150011,0.0004968261718545364,42496.666666666664,26062.0,0.0,518.2,642.8666666666666,0.0,0.06666666666666667,0.0,24.5372732343619,47.8364110508115,0.0,5.6790061728361465,8.394839684790496,0.0,0.06666666666666667,0.0,HV
2025-07-14_21-28-11,2025-07-14_21-28-26,5,3,-114.13373214285713,-25.998046875,1.0080915178571423,22.4915,44.99005133928573,67.50205084228516,-0.0001840820312395408,0.001094970703150011,0.0004968261718545364,43136.200000000004,25060.466666666667,0.0,516.9333333333333,11.8,0.0,0.13333333333333333,0.0,130.29264497021055,12.221383809627271,0.0,7.360857437977057,1.176624172981519,0.0,0.13333333333333333,0.0,HD
2025-07-14_21-28-34,2025-07-14_21-28-49,5,3,-114.13373214285713,-25.998046875,1.0080915178571423,22.4915,44.99005133928573,22.49938627624512,-0.0001840820312395408,0.001094970703150011,0.0004968261718545364,41962.66666666667,26762.86666666667,0.0,510.0,1244.8,0.0,0.06666666666666667,0.0,80.1734231387043,47.504455931347536,0.0,5.0475516617244995,6.912629343776822,0.0,0.06666666666666667,0.0,HA
2025-07-14_21-29-00,2025-07-14_21-29-15,5,3,-114.13373214285713,-25.998046875,1.0080915178571423,22.4915,44.99005133928573,0.0009140624999872671,45.00196740722656,0.001094970703150011,0.0004968261718545364,42567.13333333333,25843.399999999998,0.0,518.0666666666666,675.0666666666667,0.0,0.13333333333333333,0.0,74.53430231928243,38.21596525014105,0.0,3.483931368121046,6.187262902303584,0.0,0.0816496580927726,0.0,HR
2025-07-14_21-29-26,2025-07-14_21-29-42,5,3,-114.13373214285713,-25.998046875,1.0080915178571423,22.4915,44.99005133928573,0.0009140624999872671,135.00208947753907,0.001094970703150011,0.0004968261718545364,42536.666666666664,25787.133333333335,0.0,517.8,601.6,0.0,0.0,0.0,56.726341128066586,48.12871630672653,0.0,4.142731251508138,5.428730156409604,0.0,0.0,0.0,HL
2025-07-14_21-30-03,2025-07-14_21-30-19,5,3,-114.13373214285713,-25.998046875,1.0080915178571423,22.4915,44.99005133928573,0.0009140624999872671,-0.0001840820312395408,45.00272003173828,0.0004968261718545364,40027.66666666667,25803.4,0.0,512.3333333333333,665.9999999999999,0.0,0.06666666666666667,0.0,72.07303394628413,37.97768350550674,0.0,7.869067430275473,4.242640687119291,0.0,0.06666666666666667,0.0,VH
2025-07-14_21-30-25,2025-07-14_21-30-40,5,3,-114.13373214285713,-25.998046875,1.0080915178571423,22.4915,44.99005133928573,45.0020241394043,-0.0001840820312395408,45.000114593505856,0.0004968261718545364,40112.8,26083.6,0.0,515.7333333333333,609.0666666666667,0.0,0.0,0.0,38.80758803235325,58.64065711318931,0.0,6.28790726536084,4.547771126851276,0.0,0.0,0.0,VV
2025-07-14_21-30-45,2025-07-14_21-31-00,5,3,-114.13373214285713,-25.998046875,1.0080915178571423,22.4915,44.99005133928573,67.50257727050781,-0.0001840820312395408,45.000114593505856,0.0004968261718545364,39673.46666666667,25135.333333333336,0.0,506.6,1239.2,0.0,0.0,0.0,33.09877473395222,34.51344343553355,0.0,4.013034318871996,6.78445936599882,0.0,0.0,0.0,VD
2025-07-14_21-31-07,2025-07-14_21-31-23,5,3,-114.13373214285713,-25.998046875,1.0080915178571423,22.4915,44.99005133928573,22.49938627624512,-0.0001840820312395408,45.000114593505856,0.0004968261718545364,40720.399999999994,26933.13333333333,0.0,514.4,13.533333333333335,0.0,0.06666666666666667,0.0,96.01281164511346,36.05807044815978,0.0,3.485525625911955,0.8919392106839769,0.0,0.06666666666666667,0.0,VA
2025-07-14_21-31-34,2025-07-14_21-31-49,5,3,-114.13373214285713,-25.998046875,1.0080915178571423,22.4915,44.99005133928573,0.0009140624999872671,45.00196740722656,45.000114593505856,0.0004968261718545364,40042.86666666666,25886.4,0.0,527.8,600.2666666666667,0.0,0.13333333333333333,0.0,71.97766628923466,37.48753867027776,0.0,4.591780095392684,1.6411378166788393,0.0,0.0816496580927726,0.0,VR
