,QP,DR,AR,DL,AL,RR,LL,RL,LR,gamma
0,-27.0,647+/-7,593+/-6,577+/-5,573+/-7,432+/-7,320+/-4,771+/-8,748+/-6,0.065+/-0.016
1,-26.6,644+/-13,616+/-7,607+/-7,568+/-8,423+/-6,332+/-7,753+/-5,751+/-8,-0.015+/-0.025
2,-26.2,617+/-7,638+/-5,603.3+/-3.0,562+/-9,430.7+/-3.4,334+/-7,768+/-4,746+/-6,-0.083+/-0.017
3,-25.8,620+/-6,632+/-4,611+/-8,541+/-7,437+/-7,336.9+/-3.1,733+/-4,738+/-4,-0.118+/-0.018
4,-25.4,610+/-11,656+/-9,613.1+/-3.5,541+/-12,431+/-4,326+/-7,752+/-8,743.9+/-3.3,-0.158+/-0.025
5,-25.0,605.9+/-3.2,660+/-7,632+/-4,523+/-7,453+/-5,354.2+/-2.9,731+/-7,720+/-8,-0.248+/-0.017
6,-24.6,602+/-7,675+/-7,637+/-4,527+/-6,457+/-4,357+/-4,736+/-10,716.3+/-3.5,-0.280+/-0.019
7,-24.2,595+/-8,673+/-6,649.9+/-3.2,518+/-6,465+/-10,365+/-6,732+/-4,729+/-4,-0.321+/-0.018
8,-23.8,580+/-7,675+/-8,663+/-5,518+/-8,479+/-5,369+/-6,712+/-13,718+/-8,-0.392+/-0.024
9,-23.4,583+/-5,684+/-7,656+/-9,503+/-7,484+/-8,385.7+/-2.9,719+/-7,701+/-7,-0.434+/-0.023
