start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-06-09_14-49-51,2025-06-09_14-50-07,5,3,-134.99645535714285,-28.137555803571445,0.9955357142857153,67.49401116071428,44.99507366071428,22.49938627624512,-0.0002451171874895408,45.00219741821289,-2.197265627046363e-05,4139.333333333334,4731.533333333334,0.0,695.7333333333332,39.0,0.0,0.0,0.0,8.253618734968486,16.497339852904307,0.0,5.29507108335457,2.027587510099407,0.0,0.0,0.0,
2025-06-09_14-50-07,2025-06-09_14-50-22,5,3,-133.69818526785713,-28.137555803571445,0.9955357142857153,67.49401116071428,44.99507366071428,22.49938627624512,-0.0002451171874895408,45.00219741821289,-2.197265627046363e-05,4438.866666666667,5079.266666666667,0.0,691.2666666666667,61.4,0.0,0.0,0.0,17.60763723186302,11.760291001690554,0.0,5.471542540982195,2.8701529188839006,0.0,0.0,0.0,
2025-06-09_14-50-23,2025-06-09_14-50-38,5,3,-132.3848482142857,-28.137555803571445,0.9955357142857153,67.49401116071428,44.99507366071428,22.49938627624512,-0.0002451171874895408,45.00219741821289,-2.197265627046363e-05,4937.199999999999,5595.066666666667,0.0,697.2666666666667,94.20000000000002,0.0,0.0,0.0,8.89419286201212,7.969664707850397,0.0,6.619331956893803,1.5297058540778354,0.0,0.0,0.0,
2025-06-09_14-50-38,2025-06-09_14-50-54,5,3,-131.06146651785713,-28.137555803571445,0.9955357142857153,67.49401116071428,44.99507366071428,22.49938627624512,-0.0002451171874895408,45.00219741821289,-2.197265627046363e-05,5710.0,6470.066666666667,0.0,691.4,151.53333333333336,0.0,0.0,0.0,19.33706860468322,33.39018485190583,0.0,7.7748883521815815,3.6493530629109845,0.0,0.0,0.0,
2025-06-09_14-50-54,2025-06-09_14-51-10,5,3,-129.7330625,-28.137555803571445,0.9955357142857153,67.49401116071428,44.99507366071428,22.49938627624512,-0.0002451171874895408,45.00219741821289,-2.197265627046363e-05,6641.533333333333,7435.666666666667,0.0,691.3999999999999,214.8,0.0,0.0,0.0,13.649012988328305,29.971282551432136,0.0,6.2016126934854565,2.9431653406192173,0.0,0.0,0.0,
2025-06-09_14-51-10,2025-06-09_14-51-25,5,3,-128.40716964285713,-28.137555803571445,0.9955357142857153,67.49401116071428,44.99507366071428,22.49938627624512,-0.0002451171874895408,45.00219741821289,-2.197265627046363e-05,7768.866666666666,8629.666666666668,0.0,702.4,297.4,0.0,0.06666666666666667,0.0,38.044652128197335,20.788885919591205,0.0,5.521070749612102,3.2666666666666697,0.0,0.06666666666666667,0.0,
2025-06-09_14-51-26,2025-06-09_14-51-41,5,3,-127.09383258928574,-28.137555803571445,0.9955357142857153,67.49401116071428,44.99507366071428,22.49938627624512,-0.0002451171874895408,45.00219741821289,-2.197265627046363e-05,9121.066666666668,10026.4,0.0,697.3333333333334,377.6,0.0,0.0,0.0,22.17240527221966,22.374439781937586,0.0,7.402702209328691,6.806369565830718,0.0,0.0,0.0,
2025-06-09_14-51-41,2025-06-09_14-51-57,5,3,-125.76542857142857,-28.137555803571445,0.9955357142857153,67.49401116071428,44.99507366071428,22.49938627624512,-0.0002451171874895408,45.00219741821289,-2.197265627046363e-05,10666.6,11689.0,0.0,688.4666666666667,477.1333333333334,0.0,0.06666666666666667,0.0,29.520124962096425,32.473407924365304,0.0,5.147383369786581,4.09009644004746,0.0,0.06666666666666667,0.0,
2025-06-09_14-51-57,2025-06-09_14-52-12,5,3,-124.44204687500002,-28.137555803571445,0.9955357142857153,67.49401116071428,44.99507366071428,22.49938627624512,-0.0002451171874895408,45.00219741821289,-2.197265627046363e-05,12313.066666666666,13448.4,0.0,683.0666666666666,592.6,0.0,0.13333333333333333,0.0,20.907042938791022,31.332340409799688,0.0,4.625292783525529,8.691247193457214,0.0,0.13333333333333333,0.0,
2025-06-09_14-52-12,2025-06-09_14-52-28,5,3,-123.1086205357143,-28.137555803571445,0.9955357142857153,67.49401116071428,44.99507366071428,22.49938627624512,-0.0002451171874895408,45.00219741821289,-2.197265627046363e-05,14030.6,15290.2,0.0,691.4,718.3333333333334,0.0,0.06666666666666667,0.0,38.04914950137228,15.597578159587608,0.0,6.6736629955203535,2.7223355985460493,0.0,0.06666666666666667,0.0,
