start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-06-13_11-19-20,2025-06-13_11-19-35,5,3,-119.69595312500002,-26.994977678571445,1.0055803571428577,67.49652232142857,44.992562500000005,0.0009140624999872671,0.00012109374999624833,0.001094970703150011,-0.0010595703125204636,30726.0,27482.8,0.0,700.2666666666667,1002.8,0.0,0.26666666666666666,0.0,37.09791848009227,24.468710178057677,0.0,9.425379450068723,8.54959388249264,0.0,0.12472191289246472,0.0,HH
2025-06-13_11-19-43,2025-06-13_11-19-58,5,3,-119.69595312500002,-26.994977678571445,1.0055803571428577,67.49652232142857,44.992562500000005,45.0020241394043,0.00012109374999624833,0.001094970703150011,0.0004968261718545364,30686.2,26632.06666666667,0.0,692.8,919.9333333333334,0.0,0.0,0.0,15.883114723923994,50.07365685778406,0.0,5.105117258420428,3.9684869772860316,0.0,0.0,0.0,HV
2025-06-13_11-20-03,2025-06-13_11-20-18,5,3,-119.69595312500002,-26.994977678571445,1.0055803571428577,67.49652232142857,44.992562500000005,67.50205084228516,0.00012109374999624833,0.001094970703150011,0.0004968261718545364,30701.93333333333,34042.26666666667,0.0,692.5999999999999,1905.2666666666664,0.0,0.2,0.0,59.262823272454774,21.224566479018037,0.0,8.619358058076784,10.79732477154514,0.0,0.13333333333333333,0.0,HD
2025-06-13_11-20-26,2025-06-13_11-20-41,5,3,-119.69595312500002,-26.994977678571445,1.0055803571428577,67.49652232142857,44.992562500000005,22.49938627624512,0.00012109374999624833,0.001094970703150011,0.0004968261718545364,30757.73333333333,20082.4,0.0,683.5999999999999,10.933333333333334,0.0,0.06666666666666667,0.0,55.119304946432564,36.745430554923026,0.0,6.975672010638112,1.0873004286866728,0.0,0.06666666666666667,0.0,HA
2025-06-13_11-20-52,2025-06-13_11-21-08,5,3,-119.69595312500002,-26.994977678571445,1.0055803571428577,67.49652232142857,44.992562500000005,0.0009140624999872671,45.001585937499996,0.001094970703150011,0.0004968261718545364,30700.4,26805.6,0.0,698.3333333333333,914.4,0.0,0.13333333333333333,0.0,44.05973218257238,24.22290009245121,0.0,2.693613846778248,8.089362013025372,0.0,0.0816496580927726,0.0,HR
2025-06-13_11-21-19,2025-06-13_11-21-35,5,3,-119.69595312500002,-26.994977678571445,1.0055803571428577,67.49652232142857,44.992562500000005,0.0009140624999872671,135.0025625,0.001094970703150011,0.0004968261718545364,30750.8,27227.0,0.0,682.0666666666667,986.2,0.0,0.06666666666666667,0.0,54.403696769817756,28.895405247970217,0.0,6.154853550022301,8.207449190961976,0.0,0.06666666666666667,0.0,HL
2025-06-13_11-21-57,2025-06-13_11-22-12,5,3,-119.69595312500002,-26.994977678571445,1.0055803571428577,67.49652232142857,44.992562500000005,0.0009140624999872671,0.00012109374999624833,45.00272003173828,0.0004968261718545364,17754.933333333334,27413.533333333333,0.0,699.9333333333334,474.6666666666667,0.0,0.0,0.0,14.567620106097165,43.54520001612612,0.0,8.450115055101005,3.321646178227505,0.0,0.0,0.0,VH
2025-06-13_11-22-19,2025-06-13_11-22-34,5,3,-119.69595312500002,-26.994977678571445,1.0055803571428577,67.49652232142857,44.992562500000005,45.0020241394043,0.00012109374999624833,45.000114593505856,0.0004968261718545364,17841.4,26638.13333333333,0.0,695.7333333333333,501.3333333333333,0.0,0.4666666666666667,0.0,77.10392697882247,56.190014929502844,0.0,2.1275964529643896,4.209776980105028,0.0,0.1699673171197595,0.0,VV
2025-06-13_11-22-39,2025-06-13_11-22-55,5,3,-119.69595312500002,-26.994977678571445,1.0055803571428577,67.49652232142857,44.992562500000005,67.50205084228516,0.00012109374999624833,45.000114593505856,0.0004968261718545364,17833.466666666667,34033.066666666666,0.0,693.7333333333333,14.8,0.0,0.13333333333333333,0.0,11.436588457907845,43.88664691882719,0.0,5.603966848978004,1.2498888839501783,0.0,0.0816496580927726,0.0,VD
2025-06-13_11-23-02,2025-06-13_11-23-17,5,3,-119.69595312500002,-26.994977678571445,1.0055803571428577,67.49652232142857,44.992562500000005,22.49938627624512,0.00012109374999624833,45.000114593505856,0.0004968261718545364,17773.799999999996,19987.266666666666,0.0,681.1333333333334,967.2666666666667,0.0,0.13333333333333333,0.0,36.31904917991845,14.763844726598675,0.0,6.6345894957998475,3.8519836159799112,0.0,0.0816496580927726,0.0,VA
2025-06-13_11-23-28,2025-06-13_11-23-44,5,3,-119.69595312500002,-26.994977678571445,1.0055803571428577,67.49652232142857,44.992562500000005,0.0009140624999872671,45.001585937499996,45.000114593505856,0.0004968261718545364,17879.333333333336,26752.266666666663,0.0,692.7333333333333,534.6666666666667,0.0,0.06666666666666667,0.0,28.648249898069107,17.00307161792993,0.0,4.595166542744196,3.354930037356303,0.0,0.06666666666666667,0.0,VR
2025-06-13_11-23-55,2025-06-13_11-24-10,5,3,-119.69595312500002,-26.994977678571445,1.0055803571428577,67.49652232142857,44.992562500000005,0.0009140624999872671,135.0025625,45.000114593505856,0.0004968261718545364,17854.6,27427.13333333334,0.0,695.4,468.6666666666667,0.0,0.06666666666666667,0.0,32.87254849330142,30.86504675374913,0.0,4.584272631023989,6.941821726959638,0.0,0.06666666666666667,0.0,VL
2025-06-13_11-24-30,2025-06-13_11-24-46,5,3,-119.69595312500002,-26.994977678571445,1.0055803571428577,67.49652232142857,44.992562500000005,0.0009140624999872671,0.00012109374999624833,67.5027505493164,0.0004968261718545364,24312.6,27566.2,0.0,697.8666666666667,1031.9333333333332,0.0,0.13333333333333333,0.0,35.043369954640454,52.70816930145751,0.0,4.740604743419701,9.217374897442326,0.0,0.13333333333333333,0.0,DH
2025-06-13_11-24-52,2025-06-13_11-25-08,5,3,-119.69595312500002,-26.994977678571445,1.0055803571428577,67.49652232142857,44.992562500000005,45.0020241394043,0.00012109374999624833,67.50014892578125,0.0004968261718545364,24251.4,26850.6,0.0,696.7333333333333,440.0666666666666,0.0,0.3333333333333333,0.0,29.494142544655222,42.114051495116364,0.0,5.9818243222467045,4.8823946765678174,0.0,0.14907119849998596,0.0,DV
2025-06-13_11-25-12,2025-06-13_11-25-27,5,3,-119.69595312500002,-26.994977678571445,1.0055803571428577,67.49652232142857,44.992562500000005,67.50257727050781,0.00012109374999624833,67.50014892578125,0.0004968261718545364,24316.13333333333,34403.8,0.0,687.9333333333333,992.6,0.0,0.13333333333333333,0.0,54.4672786583323,16.896942524216087,0.0,6.897986823865503,6.354700797222649,0.0,0.0816496580927726,0.0,DD
2025-06-13_11-25-35,2025-06-13_11-25-50,5,3,-119.69595312500002,-26.994977678571445,1.0055803571428577,67.49652232142857,44.992562500000005,22.49938627624512,0.00012109374999624833,67.50014892578125,0.0004968261718545364,24261.466666666667,20000.533333333333,0.0,698.9333333333333,492.3333333333333,0.0,0.13333333333333333,0.0,26.968829744313382,42.05995720397268,0.0,5.043587788249335,1.7669811040931431,0.0,0.0816496580927726,0.0,DA
