start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-06-20_15-09-58,2025-06-20_15-10-13,5,3,-143.0020357142857,-26.768973214285722,1.0005580357142847,67.49652232142857,44.99005133928573,22.49938627624512,-0.0003671874999895408,45.00272003173828,-2.197265627046363e-05,7094.333333333333,8190.4,0.0,712.4,253.73333333333335,0.0,0.06666666666666667,0.0,11.23239363032945,32.93164638054616,0.0,11.886219845780321,2.009422249746876,0.0,0.06666666666666667,0.0,
2025-06-20_15-10-14,2025-06-20_15-10-29,5,3,-141.71381026785713,-26.768973214285722,1.0005580357142847,67.49652232142857,44.99005133928573,22.49938627624512,-0.0003671874999895408,45.00272003173828,-2.197265627046363e-05,6169.6,7075.8,0.0,700.7333333333333,182.13333333333333,0.0,0.0,0.0,15.176150880758673,12.476912011124076,0.0,5.766184950978326,2.358436393507828,0.0,0.0,0.0,
2025-06-20_15-10-29,2025-06-20_15-10-44,5,3,-140.38540625,-26.768973214285722,1.0005580357142847,67.49652232142857,44.99005133928573,22.49938627624512,-0.0003671874999895408,45.00272003173828,-2.197265627046363e-05,5431.133333333333,6258.666666666666,0.0,699.6666666666667,127.06666666666668,0.0,0.0,0.0,17.06217388780747,26.101936922594714,0.0,3.7163303285783313,3.097310661417957,0.0,0.0,0.0,
2025-06-20_15-10-45,2025-06-20_15-11-00,5,3,-139.05700223214285,-26.768973214285722,1.0005580357142847,67.49652232142857,44.99005133928573,22.49938627624512,-0.0003671874999895408,45.00272003173828,-2.197265627046363e-05,4859.199999999999,5584.733333333334,0.0,705.2666666666667,92.0,0.0,0.06666666666666667,0.0,21.790058895438246,18.17183412745008,0.0,8.009300149756461,3.2335051500740737,0.0,0.06666666666666667,0.0,
2025-06-20_15-11-00,2025-06-20_15-11-15,5,3,-137.73362053571427,-26.768973214285722,1.0005580357142847,67.49652232142857,44.99005133928573,22.49938627624512,-0.0003671874999895408,45.00272003173828,-2.197265627046363e-05,4444.533333333334,5125.800000000001,0.0,690.3333333333333,57.333333333333336,0.0,0.0,0.0,11.085826787188994,25.221815953654016,0.0,5.633234713140685,1.4944341180973264,0.0,0.0,0.0,
2025-06-20_15-11-16,2025-06-20_15-11-31,5,3,-136.4102388392857,-26.768973214285722,1.0005580357142847,67.49652232142857,44.99005133928573,22.49938627624512,-0.0003671874999895408,45.00272003173828,-2.197265627046363e-05,4268.266666666667,4903.066666666667,0.0,697.4,44.333333333333336,0.0,0.0,0.0,15.78797010384802,21.59999999999992,0.0,7.750555535644589,1.1401754250991378,0.0,0.0,0.0,
2025-06-20_15-11-31,2025-06-20_15-11-47,5,3,-135.08183482142854,-26.768973214285722,1.0005580357142847,67.49652232142857,44.99005133928573,22.49938627624512,-0.0003671874999895408,45.00272003173828,-2.197265627046363e-05,4267.266666666666,4903.133333333333,0.0,700.3333333333334,46.53333333333334,0.0,0.0,0.0,19.30411585359172,12.304741633478757,0.0,8.31130421641379,1.3106402167558335,0.0,0.0,0.0,
2025-06-20_15-11-47,2025-06-20_15-12-02,5,3,-133.76096428571427,-26.768973214285722,1.0005580357142847,67.49652232142857,44.99005133928573,22.49938627624512,-0.0003671874999895408,45.00272003173828,-2.197265627046363e-05,4474.4,5135.666666666667,0.0,701.9333333333334,58.733333333333334,0.0,0.0,0.0,26.291823824147272,4.659518334668464,0.0,3.0062897029025333,1.2083045973594577,0.0,0.0,0.0,
2025-06-20_15-12-02,2025-06-20_15-12-17,5,3,-132.44511607142854,-26.768973214285722,1.0005580357142847,67.49652232142857,44.99005133928573,22.49938627624512,-0.0003671874999895408,45.00272003173828,-2.197265627046363e-05,4881.0666666666675,5549.8,0.0,708.0,85.2,0.0,0.0,0.0,19.873880122188304,8.847849707383398,0.0,6.366579406033766,1.6213848676020413,0.0,0.0,0.0,
2025-06-20_15-12-18,2025-06-20_15-12-33,5,3,-131.12926785714285,-26.768973214285722,1.0005580357142847,67.49652232142857,44.99005133928573,22.49938627624512,-0.0003671874999895408,45.00272003173828,-2.197265627046363e-05,5481.333333333334,6238.8,0.0,711.0,127.0,0.0,0.0,0.0,20.451568806980738,19.28891449051044,0.0,8.301940870797763,4.442221666388717,0.0,0.0,0.0,
2025-06-20_15-12-34,2025-06-20_15-12-49,5,3,-129.78830803571427,-26.768973214285722,1.0005580357142847,67.49652232142857,44.99005133928573,22.49938627624512,-0.0003671874999895408,45.00272003173828,-2.197265627046363e-05,6275.6,7151.4,0.0,690.4,184.86666666666667,0.0,0.06666666666666667,0.0,19.337758114344346,3.201388587611386,0.0,8.180192880094921,4.240807051074647,0.0,0.06666666666666667,0.0,
2025-06-20_15-12-50,2025-06-20_15-13-05,5,3,-128.46994866071427,-26.768973214285722,1.0005580357142847,67.49652232142857,44.99005133928573,22.49938627624512,-0.0003671874999895408,45.00272003173828,-2.197265627046363e-05,7305.133333333334,8199.6,0.0,710.8666666666667,255.0,0.0,0.06666666666666667,0.0,35.528798960217536,32.05886946090143,0.0,8.424567249024319,1.754359648925433,0.0,0.06666666666666667,0.0,
2025-06-20_15-13-05,2025-06-20_15-13-21,5,3,-127.14907812500002,-26.768973214285722,1.0005580357142847,67.49652232142857,44.99005133928573,22.49938627624512,-0.0003671874999895408,45.00272003173828,-2.197265627046363e-05,8418.733333333334,9533.666666666668,0.0,692.8666666666667,334.33333333333337,0.0,0.06666666666666667,0.0,11.395125663584857,27.907983724295715,0.0,5.772155384063884,2.8047578623950176,0.0,0.06666666666666667,0.0,
2025-06-20_15-13-21,2025-06-20_15-13-37,5,3,-125.82820758928574,-26.768973214285722,1.0005580357142847,67.49652232142857,44.99005133928573,22.49938627624512,-0.0003671874999895408,45.00272003173828,-2.197265627046363e-05,9833.733333333334,11042.066666666666,0.0,697.8666666666667,432.0666666666667,0.0,0.06666666666666667,0.0,11.728597529116598,29.765266857717045,0.0,3.057958650981261,6.463057412023443,0.0,0.06666666666666667,0.0,
2025-06-20_15-13-37,2025-06-20_15-13-52,5,3,-124.50231473214285,-26.768973214285722,1.0005580357142847,67.49652232142857,44.99005133928573,22.49938627624512,-0.0003671874999895408,45.00272003173828,-2.197265627046363e-05,11317.599999999999,12693.533333333333,0.0,700.5333333333333,548.0,0.0,0.13333333333333333,0.0,22.35009321382504,21.29752202591768,0.0,2.663748403200951,4.985534630865142,0.0,0.0816496580927726,0.0,
2025-06-20_15-13-53,2025-06-20_15-14-08,5,3,-123.1713995535714,-26.768973214285722,1.0005580357142847,67.49652232142857,44.99005133928573,22.49938627624512,-0.0003671874999895408,45.00272003173828,-2.197265627046363e-05,12937.666666666668,14483.8,0.0,697.8666666666667,652.3333333333333,0.0,0.06666666666666667,0.0,30.681699214135165,22.026146079400934,0.0,7.259170445412872,4.349968071402627,0.0,0.06666666666666667,0.0,
2025-06-20_15-14-08,2025-06-20_15-14-24,5,3,-121.86308482142857,-26.768973214285722,1.0005580357142847,67.49652232142857,44.99005133928573,22.49938627624512,-0.0003671874999895408,45.00272003173828,-2.197265627046363e-05,14638.4,16376.066666666666,0.0,706.3333333333333,779.7333333333333,0.0,0.0,0.0,22.33915347048255,24.17124094639936,0.0,4.627214184702399,7.978025375297384,0.0,0.0,0.0,
2025-06-20_15-14-24,2025-06-20_15-14-40,5,3,-120.53970312500002,-26.768973214285722,1.0005580357142847,67.49652232142857,44.99005133928573,22.49938627624512,-0.0003671874999895408,45.00272003173828,-2.197265627046363e-05,16568.13333333333,18493.133333333335,0.0,702.5333333333333,900.0666666666666,0.0,0.0,0.0,30.695566093131237,13.688032079967916,0.0,9.580419846981878,6.2781809113433065,0.0,0.0,0.0,
2025-06-20_15-14-40,2025-06-20_15-14-55,5,3,-119.2062767857143,-26.768973214285722,1.0005580357142847,67.49652232142857,44.99005133928573,22.49938627624512,-0.0003671874999895408,45.00272003173828,-2.197265627046363e-05,18504.066666666666,20610.6,0.0,705.0,1037.6,0.0,0.2,0.0,22.808477955941246,22.159873645849277,0.0,5.6852636018237845,6.302909381124435,0.0,0.1333333333333333,0.0,
2025-06-20_15-14-55,2025-06-20_15-15-11,5,3,-117.87787276785713,-26.768973214285722,1.0005580357142847,67.49652232142857,44.99005133928573,22.49938627624512,-0.0003671874999895408,45.00272003173828,-2.197265627046363e-05,20409.333333333332,22877.73333333333,0.0,692.6,1170.8666666666666,0.0,0.13333333333333333,0.0,31.207370924190325,34.15363979301631,0.0,9.461266065149825,2.7398296784046314,0.0,0.0816496580927726,0.0,
2025-06-20_15-15-11,2025-06-20_15-15-27,5,3,-116.5620245535714,-26.768973214285722,1.0005580357142847,67.49652232142857,44.99005133928573,22.49938627624512,-0.0003671874999895408,45.00272003173828,-2.197265627046363e-05,22543.399999999998,25239.666666666664,0.0,707.6666666666667,1321.6,0.0,0.06666666666666667,0.0,40.36904754883384,22.121633453853462,0.0,3.6362373715452465,5.7632938113161725,0.0,0.06666666666666667,0.0,
2025-06-20_15-15-27,2025-06-20_15-15-42,5,3,-115.22859821428574,-26.768973214285722,1.0005580357142847,67.49652232142857,44.99005133928573,22.49938627624512,-0.0003671874999895408,45.00272003173828,-2.197265627046363e-05,24862.866666666665,27766.93333333333,0.0,693.2,1497.8666666666666,0.0,0.26666666666666666,0.0,25.466230362754377,59.911267721522904,0.0,4.915508338129654,8.0080515038859,0.0,0.19436506316151003,0.0,
2025-06-20_15-15-43,2025-06-20_15-15-58,5,3,-113.90270535714285,-26.768973214285722,1.0005580357142847,67.49652232142857,44.99005133928573,22.49938627624512,-0.0003671874999895408,45.00272003173828,-2.197265627046363e-05,27044.333333333332,30101.6,0.0,698.4666666666667,1648.4,0.0,0.13333333333333333,0.0,59.21974145314907,18.04358919702788,0.0,7.438339121664791,9.588998325627605,0.0,0.0816496580927726,0.0,
2025-06-20_15-15-59,2025-06-20_15-16-14,5,3,-112.5893683035714,-26.768973214285722,1.0005580357142847,67.49652232142857,44.99005133928573,22.49938627624512,-0.0003671874999895408,45.00272003173828,-2.197265627046363e-05,29099.86666666667,32474.8,0.0,704.4666666666666,1787.6,0.0,0.06666666666666667,0.0,46.65566536993234,37.42883617984653,0.0,6.601010023726168,4.175856532231181,0.0,0.06666666666666667,0.0,
2025-06-20_15-16-15,2025-06-20_15-16-30,5,3,-111.26849776785713,-26.768973214285722,1.0005580357142847,67.49652232142857,44.99005133928573,22.49938627624512,-0.0003671874999895408,45.00272003173828,-2.197265627046363e-05,31202.066666666662,34816.6,0.0,703.2,1929.1333333333337,0.0,0.06666666666666667,0.0,45.566849548523685,34.38190738681495,0.0,6.801633790658105,11.874622801026854,0.0,0.06666666666666667,0.0,
2025-06-20_15-16-30,2025-06-20_15-16-45,5,3,-109.94511607142857,-26.768973214285722,1.0005580357142847,67.49652232142857,44.99005133928573,22.49938627624512,-0.0003671874999895408,45.00272003173828,-2.197265627046363e-05,33482.6,37352.200000000004,0.0,710.6,2116.133333333333,0.0,0.3333333333333333,0.0,31.42953317431769,25.973191306935288,0.0,5.671958313590741,10.510629540295536,0.0,0.10540925533894598,0.0,
2025-06-20_15-16-46,2025-06-20_15-17-01,5,3,-108.6167120535714,-26.768973214285722,1.0005580357142847,67.49652232142857,44.99005133928573,22.49938627624512,-0.0003671874999895408,45.00272003173828,-2.197265627046363e-05,35497.2,39622.26666666666,0.0,698.8666666666667,2250.1333333333337,0.0,0.13333333333333333,0.0,45.066198222416574,22.062134479187296,0.0,4.693494315420973,13.138408494858771,0.0,0.0816496580927726,0.0,
2025-06-20_15-17-02,2025-06-20_15-17-17,5,3,-107.29584151785713,-26.768973214285722,1.0005580357142847,67.49652232142857,44.99005133928573,22.49938627624512,-0.0003671874999895408,45.00272003173828,-2.197265627046363e-05,37597.799999999996,41830.0,0.0,709.4666666666666,2409.0,0.0,0.26666666666666666,0.0,15.174759745489556,49.568022846276136,0.0,5.374425033847284,8.46889734394164,0.0,0.12472191289246469,0.0,
2025-06-20_15-17-17,2025-06-20_15-17-33,5,3,-105.9699486607143,-26.768973214285722,1.0005580357142847,67.49652232142857,44.99005133928573,22.49938627624512,-0.0003671874999895408,45.00272003173828,-2.197265627046363e-05,39535.133333333324,44032.0,0.0,698.8666666666667,2526.6,0.0,0.0,0.0,53.61701637022021,26.515194805159204,0.0,9.626121868240725,12.693130250476258,0.0,0.0,0.0,
2025-06-20_15-17-33,2025-06-20_15-17-48,5,3,-104.6440558035714,-26.768973214285722,1.0005580357142847,67.49652232142857,44.99005133928573,22.49938627624512,-0.0003671874999895408,45.00272003173828,-2.197265627046363e-05,41368.46666666667,46198.73333333334,0.0,705.2,2633.2,0.0,0.13333333333333333,0.0,88.02610723845225,46.390779735249495,0.0,4.117172708438525,11.522731157730506,0.0,0.13333333333333333,0.0,
2025-06-20_15-17-49,2025-06-20_15-18-04,5,3,-103.32067410714285,-26.768973214285722,1.0005580357142847,67.49652232142857,44.99005133928573,22.49938627624512,-0.0003671874999895408,45.00272003173828,-2.197265627046363e-05,43036.73333333334,48097.4,0.0,700.3333333333333,2774.4,0.0,0.2,0.0,64.0134881620013,62.912938079363215,0.0,3.8972925074837352,6.734158365296167,0.0,0.1333333333333333,0.0,
2025-06-20_15-18-04,2025-06-20_15-18-19,5,3,-102.00231473214285,-26.768973214285722,1.0005580357142847,67.49652232142857,44.99005133928573,22.49938627624512,-0.0003671874999895408,45.00272003173828,-2.197265627046363e-05,44652.46666666667,49718.26666666667,0.0,697.0666666666667,2874.133333333333,0.0,0.0,0.0,51.17156328361438,24.967845989058663,0.0,3.11162694136399,9.638234047560523,0.0,0.0,0.0,
2025-06-20_15-18-20,2025-06-20_15-18-35,5,3,-100.68395535714285,-26.768973214285722,1.0005580357142847,67.49652232142857,44.99005133928573,22.49938627624512,-0.0003671874999895408,45.00272003173828,-2.197265627046363e-05,46090.33333333333,51327.066666666666,0.0,692.9333333333333,2989.5999999999995,0.0,0.13333333333333333,0.0,81.50794099009295,32.522197547726314,0.0,3.54244109180222,4.332564034277083,0.0,0.0816496580927726,0.0,
2025-06-20_15-18-36,2025-06-20_15-18-51,5,3,-99.3605736607143,-26.768973214285722,1.0005580357142847,67.49652232142857,44.99005133928573,22.49938627624512,-0.0003671874999895408,45.00272003173828,-2.197265627046363e-05,47231.46666666666,52771.73333333334,0.0,707.1999999999999,3055.666666666667,0.0,0.3333333333333333,0.0,65.6245719562757,83.77087799468295,0.0,5.683895377878338,15.86575627640305,0.0,0.18257418583505536,0.0,
2025-06-20_15-18-52,2025-06-20_15-19-07,5,3,-98.02714732142857,-26.768973214285722,1.0005580357142847,67.49652232142857,44.99005133928573,22.49938627624512,-0.0003671874999895408,45.00272003173828,-2.197265627046363e-05,48366.333333333336,54028.13333333334,0.0,701.0,3154.7333333333336,0.0,0.26666666666666666,0.0,61.28168114897334,23.091027598518814,0.0,7.485541619237272,14.633447228106522,0.0,0.06666666666666667,0.0,
