start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-06-05_16-47-24,2025-06-05_16-47-39,5,3,-64.16414508928574,-15.672154017857167,1.0005580357142847,0.0065669642857143495,-0.007437499999980446,0.0009140624999872671,0.0013417968749962483,0.001094970703150011,-0.0010595703125204636,25493.066666666666,27386.533333333333,0.0,553.8,1488.9333333333332,0.0,0.2,0.0,38.09701067304652,52.16965912609875,0.0,9.127248581399913,6.782657624002899,0.0,0.0816496580927726,0.0,
2025-06-05_16-47-51,2025-06-05_16-48-06,5,3,-64.16414508928574,-15.672154017857167,1.0005580357142847,0.0065669642857143495,-0.007437499999980446,45.0020241394043,-0.0002451171874895408,45.00219741821289,-2.197265627046363e-05,25599.73333333333,27357.6,0.0,566.6,1472.8666666666668,0.0,0.13333333333333333,0.0,58.7103435899027,29.991554366743546,0.0,4.228737662970135,11.089835185630314,0.0,0.13333333333333333,0.0,
2025-06-05_16-48-36,2025-06-05_16-48-52,5,3,-114.90465848214285,-26.776506696428555,1.0005580357142847,67.49652232142857,44.99507366071428,0.0009140624999872671,-0.0002451171874895408,0.001094970703150011,-2.197265627046363e-05,25827.666666666664,28137.066666666662,0.0,565.4000000000001,813.8666666666667,0.0,0.06666666666666667,0.0,74.09880790763975,25.57915818265544,0.0,9.951772594758072,13.161644611859444,0.0,0.06666666666666667,0.0,HH
2025-06-05_16-48-58,2025-06-05_16-49-14,5,3,-114.90465848214285,-26.776506696428555,1.0005580357142847,67.49652232142857,44.99507366071428,45.0020241394043,-0.0002451171874895408,0.001094970703150011,-2.197265627046363e-05,25918.93333333333,28257.0,0.0,539.3333333333334,752.1333333333334,0.0,0.13333333333333333,0.0,8.003749121505422,17.605870233154054,0.0,5.622375931144337,5.188234553080432,0.0,0.0816496580927726,0.0,HV
2025-06-05_16-49-18,2025-06-05_16-49-33,5,3,-114.90465848214285,-26.776506696428555,1.0005580357142847,67.49652232142857,44.99507366071428,67.50205084228516,-0.0002451171874895408,0.001094970703150011,-2.197265627046363e-05,25887.4,28142.533333333333,0.0,552.4,1564.6,0.0,0.26666666666666666,0.0,15.382674236512353,48.56594600243183,0.0,6.160266949482693,9.9874365524337,0.0,0.12472191289246469,0.0,HD
2025-06-05_16-49-41,2025-06-05_16-49-56,5,3,-114.90465848214285,-26.776506696428555,1.0005580357142847,67.49652232142857,44.99507366071428,22.49938627624512,-0.0002451171874895408,0.001094970703150011,-2.197265627046363e-05,25930.466666666667,28173.6,0.0,557.0666666666668,10.533333333333335,0.0,0.0,0.0,39.95714370839499,25.050925908813586,0.0,2.3603201289467286,0.969535971483266,0.0,0.0,0.0,HA
2025-06-05_16-50-07,2025-06-05_16-50-22,5,3,-114.90465848214285,-26.776506696428555,1.0005580357142847,67.49652232142857,44.99507366071428,0.0009140624999872671,45.001830078124996,0.001094970703150011,-2.197265627046363e-05,25843.533333333333,28077.4,0.0,558.7333333333333,746.3333333333333,0.0,0.13333333333333333,0.0,24.89189961948848,45.012023085196,0.0,3.5518383346593363,4.463431664338811,0.0,0.0816496580927726,0.0,HR
2025-06-05_16-50-33,2025-06-05_16-50-49,5,3,-114.90465848214285,-26.776506696428555,1.0005580357142847,67.49652232142857,44.99507366071428,0.0009140624999872671,135.00207421875,0.001094970703150011,-2.197265627046363e-05,25816.533333333333,28065.466666666667,0.0,555.8000000000001,797.7333333333333,0.0,0.06666666666666667,0.0,22.912781488844605,29.613923151862476,0.0,6.248199740725318,5.857948066990316,0.0,0.06666666666666667,0.0,HL
2025-06-05_16-51-11,2025-06-05_16-51-26,5,3,-114.90465848214285,-26.776506696428555,1.0005580357142847,67.49652232142857,44.99507366071428,0.0009140624999872671,-0.0002451171874895408,45.00272003173828,-2.197265627046363e-05,26080.06666666667,28004.2,0.0,547.2,759.3999999999999,0.0,0.26666666666666666,0.0,37.956612657670476,58.510929653260895,0.0,5.275309364282717,12.708002727940112,0.0,0.06666666666666665,0.0,VH
2025-06-05_16-51-33,2025-06-05_16-51-48,5,3,-114.90465848214285,-26.776506696428555,1.0005580357142847,67.49652232142857,44.99507366071428,45.0020241394043,-0.0002451171874895408,45.000114593505856,-2.197265627046363e-05,26152.933333333334,28242.666666666668,0.0,549.5333333333334,818.2666666666668,0.0,0.26666666666666666,0.0,46.523279716240445,45.04799909232648,0.0,8.394839684790494,11.299164177544771,0.0,0.1632993161855452,0.0,VV
2025-06-05_16-51-52,2025-06-05_16-52-08,5,3,-114.90465848214285,-26.776506696428555,1.0005580357142847,67.49652232142857,44.99507366071428,67.50205084228516,-0.0002451171874895408,45.000114593505856,-2.197265627046363e-05,26159.466666666667,28189.666666666664,0.0,560.8666666666667,15.4,0.0,0.0,0.0,22.65627212642598,33.377470778289016,0.0,5.362006258026095,0.8524474568362945,0.0,0.0,0.0,VD
