start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-06-16_15-40-21,2025-06-16_15-40-37,5,3,-134.9864107142857,-12.111328125,1.0005580357142847,0.0065669642857143495,-45.002415178571425,0.0009140624999872671,45.002074218749996,0.001094970703150011,-2.197265627046363e-05,44227.799999999996,49518.066666666666,0.0,691.4,2972.0,0.0,0.5333333333333333,0.0,42.4270092171388,67.18882182162271,0.0,9.094198394825371,8.102811583367597,0.0,0.19999999999999998,0.0,
2025-06-16_15-40-37,2025-06-16_15-40-53,5,3,-133.7006964285714,-12.111328125,1.0005580357142847,0.0065669642857143495,-45.002415178571425,0.0009140624999872671,45.002074218749996,0.001094970703150011,-2.197265627046363e-05,44415.0,49678.866666666676,0.0,697.9333333333333,2976.866666666667,0.0,0.39999999999999997,0.0,66.78780660503236,43.49771386074319,0.0,6.997142273814368,8.641373347641757,0.0,0.12472191289246469,0.0,
2025-06-16_15-40-53,2025-06-16_15-41-09,5,3,-132.3823370535714,-12.111328125,1.0005580357142847,0.0065669642857143495,-45.002415178571425,0.0009140624999872671,45.002074218749996,0.001094970703150011,-2.197265627046363e-05,44511.73333333332,49727.13333333333,0.0,686.1333333333333,3022.7333333333336,0.0,0.26666666666666666,0.0,67.07586086746156,52.094956036495525,0.0,4.761652374263948,5.861740355901146,0.0,0.12472191289246469,0.0,
2025-06-16_15-41-09,2025-06-16_15-41-25,5,3,-131.0664888392857,-12.111328125,1.0005580357142847,0.0065669642857143495,-45.002415178571425,0.0009140624999872671,45.002074218749996,0.001094970703150011,-2.197265627046363e-05,44332.4,49508.066666666666,0.0,692.0,2977.6666666666665,0.0,0.4,0.0,23.892211655218894,68.2097581810045,0.0,6.574360974438659,11.064959707713959,0.0,0.32317865716108857,0.0,
2025-06-16_15-41-25,2025-06-16_15-41-41,5,3,-129.73557366071427,-12.111328125,1.0005580357142847,0.0065669642857143495,-45.002415178571425,0.0009140624999872671,45.002074218749996,0.001094970703150011,-2.197265627046363e-05,43978.6,49124.8,0.0,703.9999999999999,2953.1333333333337,0.0,0.3333333333333333,0.0,61.966693562842295,68.3766204358063,0.0,6.945022198188659,23.927343725908607,0.0,0.14907119849998596,0.0,
2025-06-16_15-41-41,2025-06-16_15-41-56,5,3,-128.4121919642857,-12.111328125,1.0005580357142847,0.0065669642857143495,-45.002415178571425,0.0009140624999872671,45.002074218749996,0.001094970703150011,-2.197265627046363e-05,43370.8,48538.33333333333,0.0,688.4000000000001,2903.4,0.0,0.06666666666666667,0.0,37.78000647020668,59.62987692610336,0.0,4.689705036922195,13.133248730691921,0.0,0.06666666666666667,0.0,
2025-06-16_15-41-57,2025-06-16_15-42-12,5,3,-127.09383258928574,-12.111328125,1.0005580357142847,0.0065669642857143495,-45.002415178571425,0.0009140624999872671,45.002074218749996,0.001094970703150011,-2.197265627046363e-05,42793.33333333333,47927.8,0.0,698.6,2868.2,0.0,0.2,0.0,50.58974423954163,55.31260655984718,0.0,10.045120429564022,5.47377586517956,0.0,0.1333333333333333,0.0,
2025-06-16_15-42-13,2025-06-16_15-42-28,5,3,-125.76040625000002,-12.111328125,1.0005580357142847,0.0065669642857143495,-45.002415178571425,0.0009140624999872671,45.002074218749996,0.001094970703150011,-2.197265627046363e-05,41913.26666666667,46876.4,0.0,681.2,2790.5333333333338,0.0,0.3333333333333333,0.0,72.77968275708679,56.42353724781548,0.0,3.5301872786330026,10.530168300860371,0.0,0.10540925533894598,0.0,
2025-06-16_15-42-29,2025-06-16_15-42-44,5,3,-124.43953571428574,-12.111328125,1.0005580357142847,0.0065669642857143495,-45.002415178571425,0.0009140624999872671,45.002074218749996,0.001094970703150011,-2.197265627046363e-05,40983.00000000001,45739.46666666666,0.0,696.6,2722.4,0.0,0.4666666666666667,0.0,55.25214927946264,56.13778683837819,0.0,7.193670056993779,12.405823005526214,0.0,0.1699673171197595,0.0,
2025-06-16_15-42-44,2025-06-16_15-42-59,5,3,-123.11364285714285,-12.111328125,1.0005580357142847,0.0065669642857143495,-45.002415178571425,0.0009140624999872671,45.002074218749996,0.001094970703150011,-2.197265627046363e-05,39893.59999999999,44666.53333333334,0.0,695.6666666666667,2646.5999999999995,0.0,0.2,0.0,45.71863223384212,59.31110070355014,0.0,5.7783119411199175,14.207744367069674,0.0,0.0816496580927726,0.0,
