start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-06-16_16-15-18,2025-06-16_16-15-34,5,3,-128.91191294642854,-12.111328125,1.0005580357142847,0.0065669642857143495,-45.002415178571425,0.0009140624999872671,-0.0003671874999895408,0.001094970703150011,-0.0015783691406454636,43608.26666666667,29693.13333333333,0.0,694.7333333333333,1618.5333333333333,0.0,0.26666666666666666,0.0,96.27913123367529,43.955356139307284,0.0,2.5978623691198375,7.455497598714957,0.0,0.12472191289246469,0.0,HH
2025-06-16_16-15-40,2025-06-16_16-15-56,5,3,-128.91191294642854,-12.111328125,1.0005580357142847,0.0065669642857143495,-45.002415178571425,45.0020241394043,-0.0003671874999895408,0.001094970703150011,0.0004968261718545364,43633.73333333333,24690.133333333335,0.0,695.6666666666666,1312.0,0.0,0.2,0.0,36.891040767222755,32.7540667534413,0.0,14.151953143569187,10.08519266603823,0.0,0.0816496580927726,0.0,HV
2025-06-16_16-16-00,2025-06-16_16-16-16,5,3,-128.91191294642854,-12.111328125,1.0005580357142847,0.0065669642857143495,-45.002415178571425,67.50205084228516,-0.0003671874999895408,0.001094970703150011,0.0004968261718545364,43574.46666666667,26870.533333333336,0.0,694.9333333333334,1477.5333333333333,0.0,0.26666666666666666,0.0,71.61545457045837,16.233230663604267,0.0,3.072096641998398,5.643678863215977,0.0,0.12472191289246469,0.0,HD
2025-06-16_16-16-23,2025-06-16_16-16-39,5,3,-128.91191294642854,-12.111328125,1.0005580357142847,0.0065669642857143495,-45.002415178571425,22.49938627624512,-0.0003671874999895408,0.001094970703150011,0.0004968261718545364,43636.66666666667,27284.533333333333,0.0,698.4,1453.8,0.0,0.4,0.0,61.811990925889376,35.57442901860869,0.0,5.936141657489127,6.94470221743805,0.0,0.19436506316151,0.0,HA
2025-06-16_16-16-49,2025-06-16_16-17-05,5,3,-128.91191294642854,-12.111328125,1.0005580357142847,0.0065669642857143495,-45.002415178571425,0.0009140624999872671,45.002074218749996,0.001094970703150011,0.0004968261718545364,43657.066666666666,48741.26666666667,0.0,692.5999999999999,2931.333333333333,0.0,0.2,0.0,52.899422387099875,33.97620082090147,0.0,5.735270990400832,18.366938896954093,0.0,0.13333333333333333,0.0,HR
2025-06-16_16-17-16,2025-06-16_16-17-31,5,3,-128.91191294642854,-12.111328125,1.0005580357142847,0.0065669642857143495,-45.002415178571425,0.0009140624999872671,135.00305078125,0.001094970703150011,0.0004968261718545364,43627.0,5690.933333333333,0.0,694.0,16.2,0.0,0.2,0.0,52.37291496777858,14.167803875924623,0.0,11.338234234463288,0.9752492558885193,0.0,0.1333333333333333,0.0,HL
2025-06-16_16-17-53,2025-06-16_16-18-08,5,3,-128.91191294642854,-12.111328125,1.0005580357142847,0.0065669642857143495,-45.002415178571425,0.0009140624999872671,-0.0003671874999895408,45.00272003173828,0.0004968261718545364,4784.133333333334,29661.533333333333,0.0,700.3999999999999,39.733333333333334,0.0,0.0,0.0,22.908174183999186,14.952368820134534,0.0,6.567089664887083,0.7557189365836413,0.0,0.0,0.0,VH
2025-06-16_16-18-15,2025-06-16_16-18-31,5,3,-128.91191294642854,-12.111328125,1.0005580357142847,0.0065669642857143495,-45.002415178571425,45.0020241394043,-0.0003671874999895408,45.000114593505856,0.0004968261718545364,4795.533333333334,24805.066666666666,0.0,705.4,44.400000000000006,0.0,0.0,0.0,17.43865438233893,27.900099561749723,0.0,5.128785864553564,1.127435635019185,0.0,0.0,0.0,VV
2025-06-16_16-18-35,2025-06-16_16-18-51,5,3,-128.91191294642854,-12.111328125,1.0005580357142847,0.0065669642857143495,-45.002415178571425,67.50205084228516,-0.0003671874999895408,45.000114593505856,0.0004968261718545364,4780.6,26817.466666666667,0.0,697.6666666666667,41.06666666666666,0.0,0.0,0.0,12.099770429410794,55.402025634849174,0.0,5.222813205330785,1.3920408678547407,0.0,0.0,0.0,VD
2025-06-16_16-18-58,2025-06-16_16-19-14,5,3,-128.91191294642854,-12.111328125,1.0005580357142847,0.0065669642857143495,-45.002415178571425,22.49938627624512,-0.0003671874999895408,45.000114593505856,0.0004968261718545364,4801.0,27371.0,0.0,683.2666666666667,41.66666666666667,0.0,0.06666666666666667,0.0,21.784041049457446,45.92469681748353,0.0,5.035871324805677,1.3864422895390285,0.0,0.06666666666666667,0.0,VA
