start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-05-27_11-23-32,2025-05-27_11-23-47,5,3,-65.40275669642858,-14.750558035714278,1.0005580357142847,0.002511160714285714,-0.005022321428555188,0.0012214355468813665,0.0029687499999937472,0.001376953124974989,-0.0035252695083727303,29722.73333333333,30520.06666666667,0.0,521.6,1640.6,0.0,0.26666666666666666,0.0,48.62422807156455,64.00098957568278,0.0,3.6107863101792352,6.29408893769029,0.0,0.12472191289246472,0.0,
2025-05-27_11-24-00,2025-05-27_11-24-15,5,3,-65.40275669642858,-14.750558035714278,1.0005580357142847,0.002511160714285714,-0.005022321428555188,45.00180889892578,3.9062499993747224e-05,45.00195678710938,-0.0035252695083727303,28575.466666666664,29665.73333333333,0.0,508.4666666666666,1657.0666666666668,0.0,0.06666666666666667,0.0,22.700611837080164,58.81008983726088,0.0,3.859476072675612,5.482700064749119,0.0,0.06666666666666667,0.0,
2025-05-27_11-24-36,2025-05-27_11-24-51,5,3,-112.753203125,-19.137555803571445,0.998046875,0.002511160714285714,-44.994977678571445,0.0012214355468813665,3.9062499993747224e-05,0.0008581542968499889,-0.0035252695083727303,29861.86666666667,30360.066666666662,0.0,512.7333333333333,966.6,0.0,0.06666666666666667,0.0,21.030295607369258,46.36394672108453,0.0,1.7204650534085224,10.560618668746006,0.0,0.06666666666666667,0.0,HH
2025-05-27_11-24-58,2025-05-27_11-25-13,5,3,-112.753203125,-19.137555803571445,0.998046875,0.002511160714285714,-44.994977678571445,45.00180889892578,3.9062499993747224e-05,0.0008581542968499889,-0.0035252695083727303,29940.73333333333,29723.6,0.0,519.8666666666667,672.1333333333333,0.0,0.06666666666666667,0.0,46.89603157813877,42.452640279099995,0.0,2.978814081699845,8.090872772589004,0.0,0.06666666666666667,0.0,HV
2025-05-27_11-25-17,2025-05-27_11-25-33,5,3,-112.753203125,-19.137555803571445,0.998046875,0.002511160714285714,-44.994977678571445,67.50183941650391,3.9062499993747224e-05,0.0008581542968499889,-0.0035252695083727303,29978.333333333332,29899.666666666668,0.0,513.7333333333333,816.2666666666667,0.0,0.2,0.0,25.83301075067405,42.270425700351105,0.0,2.259301760377405,4.32100811282636,0.0,0.0816496580927726,0.0,HD
2025-05-27_11-25-40,2025-05-27_11-25-55,5,3,-112.753203125,-19.137555803571445,0.998046875,0.002511160714285714,-44.994977678571445,22.49969364929199,3.9062499993747224e-05,0.0008581542968499889,-0.0035252695083727303,30025.666666666668,30014.93333333333,0.0,508.2,846.2666666666667,0.0,0.0,0.0,63.889835741776025,53.46550289672742,0.0,4.897391595987041,6.5178387692717825,0.0,0.0,0.0,HA
2025-05-27_11-26-06,2025-05-27_11-26-21,5,3,-112.753203125,-19.137555803571445,0.998046875,0.002511160714285714,-44.994977678571445,0.0007026367187563665,45.002968749999994,0.0008581542968499889,-0.0035252695083727303,29924.26666666667,31024.93333333333,0.0,516.0000000000001,1681.5333333333333,0.0,0.0,0.0,15.378700999903522,47.89820223951796,0.0,3.0331501776206258,5.376492040974927,0.0,0.0,0.0,HR
2025-05-27_11-26-32,2025-05-27_11-26-47,5,3,-112.753203125,-19.137555803571445,0.998046875,0.002511160714285714,-44.994977678571445,0.0012214355468813665,135.00296874999998,0.0008581542968499889,-0.0035252695083727303,29900.06666666667,29294.86666666667,0.0,515.3333333333333,24.200000000000003,0.0,0.06666666666666667,0.0,79.79845445454039,44.6289143941457,0.0,8.37589132902018,1.2935738607954834,0.0,0.06666666666666667,0.0,HL
2025-05-27_11-27-09,2025-05-27_11-27-25,5,3,-112.753203125,-19.137555803571445,0.998046875,0.002511160714285714,-44.994977678571445,0.0012214355468813665,3.9062499993747224e-05,45.00195678710938,-0.0035252695083727303,28396.2,30280.06666666667,0.0,514.6,756.4666666666667,0.0,0.0,0.0,26.08758751249782,45.59268947247261,0.0,4.332564034277058,4.050514370628319,0.0,0.0,0.0,VH
2025-05-27_11-27-31,2025-05-27_11-27-47,5,3,-112.753203125,-19.137555803571445,0.998046875,0.002511160714285714,-44.994977678571445,45.00180889892578,3.9062499993747224e-05,44.99987396240235,-0.0035252695083727303,28354.93333333333,29690.333333333332,0.0,507.5333333333333,968.0666666666668,0.0,0.26666666666666666,0.0,23.292917378465027,28.80239187598419,0.0,5.861929905945836,8.714865970793175,0.0,0.19436506316151003,0.0,VV
