start time (s),stop time (s),num samples (#),period per sample (s),C_UV_HWP position (deg),C_QP position (deg),C_PCC position (deg),B_C_HWP position (deg),B_HWP position (deg),B_QWP position (deg),A_HWP position (deg),A_QWP position (deg),A rate (#/s),B rate (#/s),A' rate (#/s),B' rate (#/s),C4 rate (#/s),C5 rate (#/s),C6 rate (#/s),C7 rate (#/s),A rate SEM (#/s),B rate SEM (#/s),A' rate SEM (#/s),B' rate SEM (#/s),C4 rate SEM (#/s),C5 rate SEM (#/s),C6 rate SEM (#/s),C7 rate SEM (#/s),note
2023-07-05_10-18-50,2023-07-05_10-19-06,5,3,65.38560267857143,330.00669642857144,4.005301339285714,0.002511160714285714,143.42271911621094,331.84483520507814,22.49982604980469,89.99758056640626,24325.4,27891.6,0.0,12273.2,1089.8666666666666,0.0,110.6,0.0,77.64544774521882,65.4595209949544,0.0,29.541232954033056,8.061982110843168,0.0,1.6172679294277597,0.0,
2023-07-05_10-19-07,2023-07-05_10-19-22,5,3,65.38560267857143,331.24720982142856,4.005301339285714,0.002511160714285714,143.42271911621094,331.84483520507814,22.49982604980469,89.99758056640626,24787.133333333335,28126.466666666667,0.0,12537.266666666666,939.0666666666668,0.0,198.4,0.0,35.25456629210542,36.47854772937757,0.0,32.77014223683243,5.992031745947647,0.0,1.0718623460542351,0.0,
2023-07-05_10-19-24,2023-07-05_10-19-39,5,3,65.38560267857143,332.49525669642856,4.005301339285714,0.002511160714285714,143.42271911621094,331.84483520507814,22.49982604980469,89.99758056640626,25035.533333333333,28284.666666666664,0.0,12687.133333333333,742.4000000000001,0.0,275.6,0.0,21.979940349732445,46.62343235374733,0.0,24.645396234500918,8.627089118970932,0.0,3.2819370973726896,0.0,
2023-07-05_10-19-40,2023-07-05_10-19-55,5,3,65.38560267857143,333.75083705357144,4.005301339285714,0.002511160714285714,143.42271911621094,331.84483520507814,22.49982604980469,89.99758056640626,25211.733333333334,28345.0,0.0,12731.933333333332,554.6666666666667,0.0,356.6666666666667,0.0,52.32222812109135,62.92067316161763,0.0,40.14493187882569,3.500793560830966,0.0,5.771577870141851,0.0,
2023-07-05_10-19-57,2023-07-05_10-20-12,5,3,65.38560267857143,334.9963727678571,4.005301339285714,0.002511160714285714,143.42271911621094,331.84483520507814,22.49982604980469,89.99758056640626,25213.2,28291.533333333336,0.0,12780.466666666667,376.0,0.0,431.2666666666667,0.0,55.14401347582755,44.618332057077055,0.0,27.335284483205502,5.710613899670608,0.0,3.417926596962289,0.0,
2023-07-05_10-20-13,2023-07-05_10-20-28,5,3,65.38560267857143,336.24693080357144,4.005301339285714,0.002511160714285714,143.42271911621094,331.84483520507814,22.49982604980469,89.99758056640626,25428.000000000004,28278.93333333333,0.0,12794.466666666667,235.13333333333335,0.0,507.1333333333334,0.0,37.74431524525679,50.05268335575132,0.0,39.095126152615144,3.077878056930347,0.0,3.253374316681757,0.0,
2023-07-05_10-20-30,2023-07-05_10-20-45,5,3,65.38560267857143,337.4974888392857,4.005301339285714,0.002511160714285714,143.42271911621094,331.84483520507814,22.49982604980469,89.99758056640626,25384.333333333332,28353.466666666664,0.0,12835.0,141.06666666666666,0.0,551.4666666666666,0.0,46.10688066269986,32.65043814577544,0.0,30.26861227226789,3.2013885876114574,0.0,11.590513362228604,0.0,
2023-07-05_10-20-46,2023-07-05_10-21-02,5,3,65.38560267857143,338.74302455357144,4.005301339285714,0.002511160714285714,143.42271911621094,331.84483520507814,22.49982604980469,89.99758056640626,25222.666666666668,28238.2,0.0,12788.400000000001,66.06666666666668,0.0,572.3333333333333,0.0,19.538281512058013,40.39150075614112,0.0,15.100919765953792,2.7596296047758933,0.0,5.4180767395410365,0.0,
2023-07-05_10-21-03,2023-07-05_10-21-18,5,3,65.38560267857143,340.00362723214283,4.005301339285714,0.002511160714285714,143.42271911621094,331.84483520507814,22.49982604980469,89.99758056640626,25301.333333333336,28273.933333333338,0.0,12783.333333333332,42.93333333333334,0.0,599.6,0.0,24.894220659065088,61.957279188521994,0.0,43.443066190129755,0.9854496999396324,0.0,7.6116869206357665,0.0,
2023-07-05_10-21-20,2023-07-05_10-21-35,5,3,65.38560267857143,341.2466517857143,4.005301339285714,0.002511160714285714,143.42271911621094,331.84483520507814,22.49982604980469,89.99758056640626,25409.2,28394.6,0.0,12845.066666666668,56.4,0.0,598.0,0.0,35.55037114980508,43.46025003763008,0.0,16.808199057470596,1.2036980056845201,0.0,4.692784058767486,0.0,
