start time (s),stop time (s),num samples (#),period per sample (s),C_UV_HWP position (deg),C_QP position (deg),C_PCC position (deg),B_C_HWP position (deg),B_HWP position (deg),B_QWP position (deg),A_HWP position (deg),A_QWP position (deg),A rate (#/s),B rate (#/s),A' rate (#/s),B' rate (#/s),C4 rate (#/s),C5 rate (#/s),C6 rate (#/s),C7 rate (#/s),A rate SEM (#/s),B rate SEM (#/s),A' rate SEM (#/s),B' rate SEM (#/s),C4 rate SEM (#/s),C5 rate SEM (#/s),C6 rate SEM (#/s),C7 rate SEM (#/s),note
2023-06-29_11-52-11,2023-06-29_11-52-26,5,3,45.007533482142854,0.002511160714285714,4.000279017857142,0.007533482142857143,45.0012141418457,9.33837890642053e-05,45.001939392089845,359.998984375,3674.4666666666662,4527.133333333333,0.0,22612.666666666664,15.466666666666665,0.0,6.7333333333333325,0.0,21.547518547516184,13.44974183973634,0.0,38.94611662284245,1.0466878978738388,0.0,0.3559026084010437,0.0,
2023-06-29_11-52-26,2023-06-29_11-52-42,5,3,47.357979910714285,0.002511160714285714,4.000279017857142,0.007533482142857143,45.0012141418457,9.33837890642053e-05,45.001939392089845,359.998984375,4262.0,5213.533333333334,0.0,22273.73333333333,58.666666666666664,0.0,7.8,0.0,21.896473587213777,24.62374644299464,0.0,46.98408714069504,2.463060426921488,0.0,1.078064108586415,0.0,
2023-06-29_11-52-42,2023-06-29_11-52-57,5,3,49.73353794642857,0.002511160714285714,4.000279017857142,0.007533482142857143,45.0012141418457,9.33837890642053e-05,45.001939392089845,359.998984375,5467.6,6535.333333333333,0.0,21725.13333333333,135.0,0.0,7.466666666666667,0.0,10.85223991216151,10.655723553304288,0.0,31.632016129934406,2.4720661623652225,0.0,0.813770374382247,0.0,
2023-06-29_11-52-58,2023-06-29_11-53-13,5,3,52.09654017857143,0.002511160714285714,4.000279017857142,0.007533482142857143,45.0012141418457,9.33837890642053e-05,45.001939392089845,359.998984375,7285.466666666665,8507.2,0.0,20994.333333333336,255.0,0.0,8.2,0.0,22.64180008548594,33.565292921243554,0.0,41.73953628023346,5.29884683471581,0.0,0.6716480559869962,0.0,
2023-06-29_11-53-13,2023-06-29_11-53-28,5,3,54.459542410714285,0.002511160714285714,4.000279017857142,0.007533482142857143,45.0012141418457,9.33837890642053e-05,45.001939392089845,359.998984375,9557.533333333333,11006.0,0.0,19889.06666666667,409.6,0.0,9.133333333333333,0.0,19.969309786102873,30.042007626359194,0.0,18.99456062490846,5.697367813297646,0.0,0.9043106644167024,0.0,
2023-06-29_11-53-29,2023-06-29_11-53-44,5,3,56.830078125,0.002511160714285714,4.000279017857142,0.007533482142857143,45.0012141418457,9.33837890642053e-05,45.001939392089845,359.998984375,12385.4,14044.933333333334,0.0,18564.666666666664,600.6666666666667,0.0,11.933333333333334,0.0,45.73078224177293,26.69007306097158,0.0,22.323380867004587,5.781195570314339,0.0,0.4396968652757642,0.0,
2023-06-29_11-53-44,2023-06-29_11-54-00,5,3,59.19056919642857,0.002511160714285714,4.000279017857142,0.007533482142857143,45.0012141418457,9.33837890642053e-05,45.001939392089845,359.998984375,15386.533333333335,17360.533333333333,0.0,17250.466666666667,782.7333333333333,0.0,9.533333333333333,0.0,16.177007002395488,37.35603476459109,0.0,18.802068444130878,8.927112261718987,0.0,0.9921917377424813,0.0,
2023-06-29_11-54-00,2023-06-29_11-54-15,5,3,61.56863839285714,0.002511160714285714,4.000279017857142,0.007533482142857143,45.0012141418457,9.33837890642053e-05,45.001939392089845,359.998984375,18759.73333333333,21081.266666666666,0.0,15690.533333333335,1008.8666666666666,0.0,12.4,0.0,43.66735368416282,31.567106649520493,0.0,24.63367162600357,9.491282550026861,0.0,1.7619433715203345,0.0,
2023-06-29_11-54-16,2023-06-29_11-54-31,5,3,63.931640625,0.002511160714285714,4.000279017857142,0.007533482142857143,45.0012141418457,9.33837890642053e-05,45.001939392089845,359.998984375,22544.06666666667,25133.466666666667,0.0,14062.333333333332,1270.8666666666666,0.0,12.733333333333333,0.0,37.08464791677417,48.84972421166325,0.0,54.277169335836845,8.572306833311808,0.0,0.49888765156985865,0.0,
2023-06-29_11-54-31,2023-06-29_11-54-46,5,3,66.30719866071428,0.002511160714285714,4.000279017857142,0.007533482142857143,45.0012141418457,9.33837890642053e-05,45.001939392089845,359.998984375,26174.666666666668,29231.6,0.0,12357.933333333334,1527.7333333333333,0.0,12.266666666666667,0.0,36.49170377557651,54.050943048613156,0.0,32.741309279461284,12.421934005799733,0.0,1.2174654911833118,0.0,
