start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2024-07-11_16-31-09,2024-07-11_16-31-25,5,3,-134.925509375,-24.436104910714278,-0.3138950892857224,112.50453451785714,135.0048488392857,0.0008469238281350044,-0.00028125000000045475,0.0008581542968499889,-0.0030043249130358163,43626.0,25126.933333333334,0.0,11583.933333333334,1503.1333333333332,0.0,652.3999999999999,0.0,29.784037484680223,42.49998692810278,0.0,35.7785472657073,5.285830114560994,0.0,5.492823600946163,0.0,
2024-07-11_16-31-25,2024-07-11_16-31-41,5,3,-133.624728125,-24.436104910714278,-0.3138950892857224,112.50453451785714,135.0048488392857,0.0008469238281350044,-0.00028125000000045475,0.0008581542968499889,-0.0030043249130358163,43879.86666666667,25105.93333333333,0.0,11658.999999999998,1508.2,0.0,652.4000000000001,0.0,58.02352013527628,13.754756752968678,0.0,36.21831948981992,11.97710779408415,0.0,9.339521757920298,0.0,
2024-07-11_16-31-41,2024-07-11_16-31-56,5,3,-132.3038575892857,-24.436104910714278,-0.3138950892857224,112.50453451785714,135.0048488392857,0.0008469238281350044,-0.00028125000000045475,0.0008581542968499889,-0.0030043249130358163,43866.86666666667,25095.199999999997,0.0,11603.933333333332,1512.9999999999998,0.0,651.9333333333334,0.0,64.8932970344397,32.52667281546703,0.0,19.373062627151945,15.431569373635773,0.0,6.4682128735669915,0.0,
2024-07-11_16-31-57,2024-07-11_16-32-12,5,3,-130.97545357142855,-24.436104910714278,-0.3138950892857224,112.50453451785714,135.0048488392857,0.0008469238281350044,-0.00028125000000045475,0.0008581542968499889,-0.0030043249130358163,43741.73333333334,25201.6,0.0,11619.000000000002,1517.2666666666667,0.0,658.0,0.0,36.38122226277342,26.6045944236038,0.0,45.36408270868048,4.880118395649409,0.0,6.717307661721498,0.0,
2024-07-11_16-32-13,2024-07-11_16-32-28,5,3,-129.6470495535714,-24.436104910714278,-0.3138950892857224,112.50453451785714,135.0048488392857,0.0008469238281350044,-0.00028125000000045475,0.0008581542968499889,-0.0030043249130358163,43328.333333333336,25175.933333333334,0.0,11662.4,1499.0666666666668,0.0,656.6666666666667,0.0,63.77416753235078,51.37783785079145,0.0,29.644073794117787,16.186551345003828,0.0,10.380002140868966,0.0,
2024-07-11_16-32-29,2024-07-11_16-32-44,5,3,-128.3286901785714,-24.436104910714278,-0.3138950892857224,112.50453451785714,135.0048488392857,0.0008469238281350044,-0.00028125000000045475,0.0008581542968499889,-0.0030043249130358163,42815.0,25270.13333333333,0.0,11686.666666666666,1477.2,0.0,644.1333333333333,0.0,83.47042057586029,57.43436834045159,0.0,16.353728762714905,1.668665468104527,0.0,3.0814859330452244,0.0,
2024-07-11_16-32-44,2024-07-11_16-33-00,5,3,-127.00028616071427,-24.436104910714278,-0.3138950892857224,112.50453451785714,135.0048488392857,0.0008469238281350044,-0.00028125000000045475,0.0008581542968499889,-0.0030043249130358163,42129.933333333334,25342.533333333333,0.0,11740.466666666667,1445.8,0.0,640.9333333333333,0.0,28.783946142868253,32.65622282029723,0.0,7.63224155219871,8.384244483288617,0.0,4.5146674542232095,0.0,
2024-07-11_16-33-00,2024-07-11_16-33-16,5,3,-125.68192678571427,-24.436104910714278,-0.3138950892857224,112.50453451785714,135.0048488392857,0.0008469238281350044,-0.00028125000000045475,0.0008581542968499889,-0.0030043249130358163,41365.53333333333,25500.4,0.0,11774.266666666666,1424.3333333333333,0.0,622.1333333333333,0.0,52.89419207772796,52.333375796161526,0.0,19.196180175580068,8.391132886035768,0.0,5.069078373388548,0.0,
2024-07-11_16-33-16,2024-07-11_16-33-31,5,3,-124.35603392857143,-24.436104910714278,-0.3138950892857224,112.50453451785714,135.0048488392857,0.0008469238281350044,-0.00028125000000045475,0.0008581542968499889,-0.0030043249130358163,40307.6,25556.733333333334,0.0,11810.133333333335,1380.8666666666666,0.0,593.8666666666666,0.0,34.31446083245628,31.392568122620116,0.0,36.693414486344324,9.639963116573082,0.0,5.754804755834702,0.0,
2024-07-11_16-33-32,2024-07-11_16-33-47,5,3,-123.04269687499999,-24.436104910714278,-0.3138950892857224,112.50453451785714,135.0048488392857,0.0008469238281350044,-0.00028125000000045475,0.0008581542968499889,-0.0030043249130358163,39282.0,25567.800000000003,0.0,11894.8,1349.1333333333334,0.0,588.1333333333334,0.0,18.77202410207455,40.70511843327176,0.0,31.54971385677586,5.867613559948259,0.0,5.047111385072988,0.0,
