start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2024-07-11_16-50-14,2024-07-11_16-50-29,5,3,-111.93583303571427,-24.436104910714278,-0.3138950892857224,112.50453451785714,135.00233767857142,0.0008469238281350044,0.00020703124999954525,0.0008581542968499889,-0.0019624953270067635,25970.86666666667,27100.0,0.0,12449.133333333335,837.6666666666667,0.0,364.6,0.0,16.452490524064707,31.090548760390185,0.0,32.419232974681336,7.9784431786881544,0.0,7.0296198727637895,0.0,HH
2024-07-11_16-50-36,2024-07-11_16-50-51,5,3,-111.93583303571427,-24.436104910714278,-0.3138950892857224,112.50453451785714,135.00233767857142,45.001957000732425,0.00020703124999954525,0.0008581542968499889,-0.0019624953270067635,25909.933333333334,27299.4,0.0,12392.933333333334,777.7333333333333,0.0,396.2,0.0,36.49800603381559,65.96820783107871,0.0,47.091801598343956,6.5484518950834545,0.0,4.7593183452161645,0.0,HV
2024-07-11_16-50-56,2024-07-11_16-51-12,5,3,-111.93583303571427,-24.436104910714278,-0.3138950892857224,112.50453451785714,135.00233767857142,67.50198751831054,0.00020703124999954525,0.0008581542968499889,-0.0019624953270067635,25939.200000000004,26954.466666666664,0.0,12522.066666666666,13.666666666666666,0.0,752.2666666666667,0.0,63.657294249057365,55.73026307332699,0.0,41.24929629029385,0.9603240193925288,0.0,9.973520497352544,0.0,HD
2024-07-11_16-51-19,2024-07-11_16-51-34,5,3,-111.93583303571427,-24.436104910714278,-0.3138950892857224,112.50453451785714,135.00233767857142,22.498800338745117,0.00020703124999954525,0.0008581542968499889,-0.0019624953270067635,25924.533333333333,27483.13333333333,0.0,12341.733333333334,1584.6,0.0,13.2,0.0,40.096910382499786,51.77210746252377,0.0,26.205894163124764,20.778568018246297,0.0,0.6548960901462834,0.0,HA
2024-07-11_16-51-44,2024-07-11_16-52-00,5,3,-111.93583303571427,-24.436104910714278,-0.3138950892857224,112.50453451785714,135.00233767857142,0.0008469238281350044,45.0026484375,0.0008581542968499889,-0.0019624953270067635,25973.133333333335,27161.8,0.0,12457.066666666668,715.8666666666667,0.0,427.4666666666667,0.0,28.79768509215075,22.3578472428214,0.0,18.142460938055898,7.707572034477975,0.0,1.9737161790783286,0.0,HR
2024-07-11_16-52-11,2024-07-11_16-52-26,5,3,-111.93583303571427,-24.436104910714278,-0.3138950892857224,112.50453451785714,135.00233767857142,0.0008469238281350044,135.0026484375,0.0008581542968499889,-0.0019624953270067635,25955.8,27239.466666666667,0.0,12378.466666666667,786.4000000000001,0.0,381.4666666666667,0.0,40.73117833906697,77.55153125503092,0.0,20.92276803442181,2.7616420236277284,0.0,4.5723808531952645,0.0,HL
2024-07-11_16-52-48,2024-07-11_16-53-03,5,3,-111.93583303571427,-24.436104910714278,-0.3138950892857224,112.50453451785714,135.00233767857142,0.0008469238281350044,-0.00028125000000045475,45.00195678710938,-0.0019624953270067635,25423.066666666666,27097.4,0.0,12456.866666666667,700.0,0.0,401.7333333333333,0.0,27.472895733795454,30.60962085503326,0.0,14.906598091672885,11.507002698839997,0.0,5.050192515582392,0.0,VH
2024-07-11_16-53-10,2024-07-11_16-53-25,5,3,-111.93583303571427,-24.436104910714278,-0.3138950892857224,112.50453451785714,135.00233767857142,45.001957000732425,0.00020703124999954525,44.99987396240235,-0.0019624953270067635,25413.866666666665,27272.066666666662,0.0,12376.6,845.0,0.0,344.40000000000003,0.0,19.5330489171563,29.94520922544287,0.0,22.75556098090212,7.0804896252542715,0.0,6.975672010638111,0.0,VV
2024-07-11_16-53-29,2024-07-11_16-53-44,5,3,-111.93583303571427,-24.436104910714278,-0.3138950892857224,112.50453451785714,135.00233767857142,67.50198751831054,0.00020703124999954525,44.99987396240235,-0.0019624953270067635,25455.266666666666,26860.466666666664,0.0,12550.333333333332,1527.5333333333333,0.0,13.933333333333334,0.0,34.91217552659769,23.650135071261023,0.0,29.241332998951187,6.4140470843297965,0.0,1.1756794725698934,0.0,VD
2024-07-11_16-53-52,2024-07-11_16-54-07,5,3,-111.93583303571427,-24.436104910714278,-0.3138950892857224,112.50453451785714,135.00233767857142,22.498800338745117,0.00020703124999954525,44.99987396240235,-0.0019624953270067635,25429.0,27476.466666666664,0.0,12305.133333333331,14.066666666666668,0.0,731.1333333333333,0.0,47.65058003611057,42.49334588431999,0.0,36.399420019799535,1.1274356350191839,0.0,8.057156928953146,0.0,VA
2024-07-11_16-54-17,2024-07-11_16-54-33,5,3,-111.93583303571427,-24.436104910714278,-0.3138950892857224,112.50453451785714,135.00233767857142,0.0008469238281350044,45.0026484375,44.99987396240235,-0.0019624953270067635,25368.200000000004,27259.13333333333,0.0,12481.8,825.5333333333334,0.0,345.20000000000005,0.0,65.4409487842109,65.36968376514855,0.0,17.346341272889767,3.5427547348230513,0.0,3.3025242870668925,0.0,VR
2024-07-11_16-54-44,2024-07-11_16-54-59,5,3,-111.93583303571427,-24.436104910714278,-0.3138950892857224,112.50453451785714,135.00233767857142,0.0008469238281350044,135.0026484375,44.99987396240235,-0.0019624953270067635,25413.93333333333,27353.4,0.0,12487.733333333334,804.1333333333332,0.0,378.26666666666665,0.0,84.08193094304556,46.08161841293758,0.0,29.143781497945664,7.913139565164881,0.0,7.73620636286862,0.0,VL
2024-07-11_16-55-19,2024-07-11_16-55-34,5,3,-111.93583303571427,-24.436104910714278,-0.3138950892857224,112.50453451785714,135.00233767857142,0.0008469238281350044,-0.00028125000000045475,67.5019873046875,-0.0019624953270067635,25731.93333333333,27232.4,0.0,12462.933333333334,988.0666666666668,0.0,269.33333333333337,0.0,44.824522058553804,33.485552440152624,0.0,23.376483910117877,7.539083351295284,0.0,4.841946348777984,0.0,DH
