start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2024-07-09_16-09-36,2024-07-09_16-09-51,5,3,-116.57394687499999,-16.315011160714278,-0.3063616071428328,112.49197871428571,135.00736,0.0008469238281350044,0.00020703124999954525,0.0008581542968499889,-0.0019624953270067635,32075.333333333336,27239.8,0.0,12341.000000000002,1030.9333333333332,0.0,495.6,0.0,12.783670138979272,64.45253205956237,0.0,52.392853626340276,8.921509588255399,0.0,4.792818702090777,0.0,HH
2024-07-09_16-09-58,2024-07-09_16-10-13,5,3,-116.57394687499999,-16.315011160714278,-0.3063616071428328,112.49197871428571,135.00736,45.001957000732425,0.00020703124999954525,0.0008581542968499889,-0.0019624953270067635,32082.0,27432.86666666667,0.0,12251.2,1036.4,0.0,483.4,0.0,18.317568979898326,29.844709190519474,0.0,39.48453987181412,8.63159570673028,0.0,3.866379299666404,0.0,HV
2024-07-09_16-10-17,2024-07-09_16-10-33,5,3,-116.57394687499999,-16.315011160714278,-0.3063616071428328,112.49197871428571,135.00736,67.50198751831054,0.00020703124999954525,0.0008581542968499889,-0.0019624953270067635,32178.6,20271.666666666668,0.0,15489.733333333334,13.933333333333332,0.0,974.6,0.0,30.587288572579176,42.25478276676683,0.0,23.51911751934784,0.49888765156985876,0.0,11.866573033338447,0.0,HD
2024-07-09_16-10-40,2024-07-09_16-10-55,5,3,-116.57394687499999,-16.315011160714278,-0.3063616071428328,112.49197871428571,135.00736,22.499321044921874,0.00020703124999954525,0.0008581542968499889,-0.0019624953270067635,32139.26666666667,34448.13333333333,0.0,9076.133333333333,2037.6,0.0,15.0,0.0,49.63840359148477,35.94542159070149,0.0,9.459034482088336,2.8894443910359024,0.0,1.0488088481701512,0.0,HA
2024-07-09_16-11-05,2024-07-09_16-11-21,5,3,-116.57394687499999,-16.315011160714278,-0.3063616071428328,112.49197871428571,135.00736,0.0008469238281350044,45.00216015625,0.0008581542968499889,-0.0019624953270067635,32065.86666666666,26752.4,0.0,12558.066666666666,990.6,0.0,507.2666666666667,0.0,41.05356934001624,31.485340504219998,0.0,7.953615530059269,4.832068800098849,0.0,10.816345655226318,0.0,HR
2024-07-09_16-11-32,2024-07-09_16-11-47,5,3,-116.57394687499999,-16.315011160714278,-0.3063616071428328,112.49197871428571,135.00736,0.0008469238281350044,135.00216015625,0.0008581542968499889,-0.0019624953270067635,32072.4,26619.533333333336,0.0,12553.2,968.0,0.0,515.3333333333333,0.0,39.7734417251848,27.98086647852221,0.0,12.235921615382296,7.337877380036021,0.0,5.72324694168927,0.0,HL
2024-07-09_16-12-09,2024-07-09_16-12-24,5,3,-116.57394687499999,-16.315011160714278,-0.3063616071428328,112.49197871428571,135.00736,0.0008469238281350044,0.00020703124999954525,45.0024755859375,-0.0019624953270067635,18727.2,27277.533333333333,0.0,12373.866666666667,536.9333333333333,0.0,259.33333333333337,0.0,37.08362921230329,51.61283216840967,0.0,30.89455183901111,6.827558535490961,0.0,3.7741812945915085,0.0,VH
2024-07-09_16-12-31,2024-07-09_16-12-46,5,3,-116.57394687499999,-16.315011160714278,-0.3063616071428328,112.49197871428571,135.00736,45.001957000732425,0.00020703124999954525,44.99987396240235,-0.0019624953270067635,18730.933333333334,27406.6,0.0,12249.066666666666,540.2666666666668,0.0,268.4666666666667,0.0,22.8045804365899,25.60867908433497,0.0,34.986251267859004,6.4501507303662695,0.0,6.226823695378996,0.0,VV
2024-07-09_16-12-50,2024-07-09_16-13-06,5,3,-116.57394687499999,-16.315011160714278,-0.3063616071428328,112.49197871428571,135.00736,67.50198751831054,0.00020703124999954525,44.99987396240235,-0.0019624953270067635,18781.26666666667,20180.466666666667,0.0,15550.866666666665,1062.7999999999997,0.0,11.933333333333334,0.0,22.714263751611828,22.251242162579615,0.0,41.991877521465945,7.75571473889489,0.0,0.6531972647421809,0.0,VD
2024-07-09_16-13-13,2024-07-09_16-13-28,5,3,-116.57394687499999,-16.315011160714278,-0.3063616071428328,112.49197871428571,135.00736,22.499321044921874,0.00020703124999954525,44.99987396240235,-0.0019624953270067635,18778.466666666667,34385.4,0.0,9114.133333333333,11.599999999999998,0.0,509.4,0.0,34.591199908518426,32.62946861691453,0.0,24.48346380723105,0.7916228058025278,0.0,6.24268460769172,0.0,VA
