start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2024-07-14_15-20-49,2024-07-14_15-21-04,5,3,-134.9229982142857,-24.355747767857167,-0.3063616071428328,112.49700103571428,134.99480419642856,45.001957000732425,-0.00028125000000045475,45.00195678710938,-0.0019624953270067635,3662.9333333333334,26825.333333333332,0.0,11865.333333333334,17.199999999999996,0.0,7.333333333333333,0.0,25.76699007990219,32.35926794941829,0.0,29.14675510813065,1.0728984626287383,0.0,0.7453559924999299,0.0,
2024-07-14_15-21-04,2024-07-14_15-21-19,5,3,-133.6197058035714,-24.355747767857167,-0.3063616071428328,112.49700103571428,134.99480419642856,45.001957000732425,-0.00028125000000045475,45.00195678710938,-0.0019624953270067635,3510.6,26842.466666666667,0.0,11870.066666666668,11.0,0.0,3.733333333333333,0.0,18.324361441049465,24.478925176113425,0.0,31.12865775026821,0.7817359599705717,0.0,0.812403840463596,0.0,
2024-07-14_15-21-20,2024-07-14_15-21-35,5,3,-132.3038575892857,-24.355747767857167,-0.3063616071428328,112.49700103571428,134.99480419642856,45.001957000732425,-0.00028125000000045475,45.00195678710938,-0.0019624953270067635,3490.6,26822.26666666667,0.0,11819.6,12.6,0.0,3.6666666666666665,0.0,13.933732051711413,41.1729954649353,0.0,38.685684978066895,0.8589399151150082,0.0,0.5962847939999438,0.0,
2024-07-14_15-21-36,2024-07-14_15-21-51,5,3,-130.97545357142855,-24.355747767857167,-0.3063616071428328,112.49700103571428,134.99480419642856,45.001957000732425,-0.00028125000000045475,45.00195678710938,-0.0019624953270067635,3697.2,26817.0,0.0,11804.533333333333,22.2,0.0,7.666666666666667,0.0,13.29352390368246,30.810351795748385,0.0,16.61913221427505,1.4552586635295381,0.0,0.6324555320336759,0.0,
2024-07-14_15-21-52,2024-07-14_15-22-07,5,3,-129.6470495535714,-24.355747767857167,-0.3063616071428328,112.49700103571428,134.99480419642856,45.001957000732425,-0.00028125000000045475,45.00195678710938,-0.0019624953270067635,4181.8,26815.533333333333,0.0,11884.466666666665,38.46666666666666,0.0,12.8,0.0,7.597221714401819,22.99217258111994,0.0,28.635758531365603,2.1949436844205765,0.0,0.7195677714974299,0.0,
2024-07-14_15-22-07,2024-07-14_15-22-22,5,3,-128.3312013392857,-24.355747767857167,-0.3063616071428328,112.49700103571428,134.99480419642856,45.001957000732425,-0.00028125000000045475,45.00195678710938,-0.0019624953270067635,4813.8,26983.2,0.0,11894.8,66.4,0.0,22.533333333333335,0.0,9.56010227746306,61.88453405783642,0.0,23.905740826095567,1.3308309851784748,0.0,0.9104333522498442,0.0,
2024-07-14_15-22-23,2024-07-14_15-22-38,5,3,-127.00279732142855,-24.355747767857167,-0.3063616071428328,112.49700103571428,134.99480419642856,45.001957000732425,-0.00028125000000045475,45.00195678710938,-0.0019624953270067635,5654.8,27052.8,0.0,11956.8,100.4,0.0,34.733333333333334,0.0,26.64803515792064,38.245493561696826,0.0,20.18486781945559,2.8894443910359127,0.0,1.5999999999999996,0.0,
2024-07-14_15-22-39,2024-07-14_15-22-54,5,3,-125.68192678571427,-24.355747767857167,-0.3063616071428328,112.49700103571428,134.99480419642856,45.001957000732425,-0.00028125000000045475,45.00195678710938,-0.0019624953270067635,6620.933333333334,27027.06666666667,0.0,11986.0,132.73333333333335,0.0,49.13333333333334,0.0,12.403583711528352,28.555482057838567,0.0,30.141149428793852,2.4207436873820423,0.0,1.9252705437591537,0.0,
2024-07-14_15-22-54,2024-07-14_15-23-10,5,3,-124.35352276785716,-24.355747767857167,-0.3063616071428328,112.49700103571428,134.99480419642856,45.001957000732425,-0.00028125000000045475,45.00195678710938,-0.0019624953270067635,7859.9333333333325,27106.93333333333,0.0,12022.8,182.53333333333333,0.0,70.26666666666667,0.0,16.098792225229452,33.555493009507515,0.0,10.233170465587945,2.031966753883757,0.0,3.919183588453084,0.0,
2024-07-14_15-23-10,2024-07-14_15-23-25,5,3,-123.03767455357143,-24.355747767857167,-0.3063616071428328,112.49700103571428,134.99480419642856,45.001957000732425,-0.00028125000000045475,45.00195678710938,-0.0019624953270067635,9284.000000000002,27212.933333333338,0.0,12114.133333333335,231.8,0.0,90.46666666666667,0.0,24.48877293781773,35.71171609803525,0.0,34.690632741418746,4.939185717864387,0.0,1.815366507225348,0.0,
