start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2024-07-16_10-21-36,2024-07-16_10-21-52,5,3,-125.43583303571427,-25.021205357142833,-0.3063616071428328,112.5024318392857,135.0048488392857,0.0009370117187472715,-0.00028125000000045475,0.0008581542968499889,-0.0019624953270067635,42093.2,23369.2,0.0,13150.466666666669,1277.6666666666665,0.0,739.4666666666667,0.0,25.79633910288683,25.14725520696914,0.0,39.76033757960874,5.853773711604025,0.0,10.202722948093587,0.0,HH
2024-07-16_10-21-58,2024-07-16_10-22-14,5,3,-125.43583303571427,-25.021205357142833,-0.3063616071428328,112.5024318392857,135.0048488392857,45.00203564453125,-0.00028125000000045475,0.0008581542968499889,-0.0019624953270067635,42013.4,29397.333333333336,0.0,10626.2,1542.6,0.0,611.2666666666668,0.0,54.25939754754236,39.228107836657585,0.0,44.10651249469243,8.784708937188014,0.0,4.803239647478675,0.0,HV
2024-07-16_10-22-18,2024-07-16_10-22-34,5,3,-125.43583303571427,-25.021205357142833,-0.3063616071428328,112.5024318392857,135.0048488392857,67.50206616210937,-0.00028125000000045475,0.0008581542968499889,-0.0019624953270067635,42134.6,7848.266666666667,0.0,20345.6,28.066666666666663,0.0,1336.7999999999997,0.0,55.91614753857427,28.9784210903369,0.0,41.745312444765894,1.0077477638553984,0.0,10.847734018371463,0.0,HD
2024-07-16_10-22-41,2024-07-16_10-22-57,5,3,-125.43583303571427,-25.021205357142833,-0.3063616071428328,112.5024318392857,135.0048488392857,22.499398735046388,-0.00028125000000045475,0.0008581542968499889,-0.0019624953270067635,42043.53333333334,45110.53333333334,0.0,3427.8666666666663,2767.733333333333,0.0,20.8,0.0,54.37938743474234,45.994999728231406,0.0,6.939100165807606,8.450772482770809,0.0,0.9463379711052259,0.0,HA
2024-07-16_10-23-08,2024-07-16_10-23-23,5,3,-125.43583303571427,-25.021205357142833,-0.3063616071428328,112.5024318392857,135.0048488392857,0.0009370117187472715,45.001671875,0.0008581542968499889,-0.0019624953270067635,42070.066666666666,23851.866666666665,0.0,13114.8,1266.3333333333335,0.0,739.5333333333334,0.0,29.267236137208677,47.21588715676098,0.0,49.041320446243255,4.962078417580904,0.0,2.8374479926707106,0.0,HR
2024-07-16_10-23-35,2024-07-16_10-23-50,5,3,-125.43583303571427,-25.021205357142833,-0.3063616071428328,112.5024318392857,135.0048488392857,0.0009370117187472715,135.001671875,0.0008581542968499889,-0.0019624953270067635,42115.2,25561.666666666664,0.0,12140.0,1400.8000000000002,0.0,681.9333333333333,0.0,52.860361120387346,49.60499526817376,0.0,23.343569183443893,11.22675376054894,0.0,4.885807109486732,0.0,HL
2024-07-16_10-24-12,2024-07-16_10-24-27,5,3,-125.43583303571427,-25.021205357142833,-0.3063616071428328,112.5024318392857,135.0048488392857,0.0009370117187472715,-0.00028125000000045475,45.00195678710938,-0.0019624953270067635,6800.066666666666,23555.93333333333,0.0,13192.266666666668,122.8,0.0,60.8,0.0,6.821860287178159,30.859430397278288,0.0,25.2426887104632,1.1333333333333337,0.0,2.729672345009765,0.0,VH
2024-07-16_10-24-34,2024-07-16_10-24-49,5,3,-125.43583303571427,-25.021205357142833,-0.3063616071428328,112.5024318392857,135.0048488392857,45.00203564453125,-0.00028125000000045475,44.99987396240235,-0.0019624953270067635,6804.733333333333,29331.533333333333,0.0,10594.8,123.4,0.0,61.533333333333324,0.0,13.584059285304411,23.472821162641385,0.0,27.64509198955762,2.2469732728470304,0.0,1.1382247385975928,0.0,VV
2024-07-16_10-24-54,2024-07-16_10-25-09,5,3,-125.43583303571427,-25.021205357142833,-0.3063616071428328,112.5024318392857,135.0048488392857,67.50206616210937,-0.00028125000000045475,44.99987396240235,-0.0019624953270067635,6843.266666666667,7705.666666666667,0.0,20282.266666666666,242.1333333333333,0.0,8.133333333333335,0.0,10.239032072309291,11.823235127869646,0.0,15.106804941997481,3.807302924059967,0.0,1.3316656236958786,0.0,VD
2024-07-16_10-25-16,2024-07-16_10-25-32,5,3,-125.43583303571427,-25.021205357142833,-0.3063616071428328,112.5024318392857,135.0048488392857,22.499398735046388,-0.00028125000000045475,44.99987396240235,-0.0019624953270067635,6776.466666666665,45057.73333333333,0.0,3424.9333333333334,11.666666666666668,0.0,115.86666666666667,0.0,13.094358412011761,39.77623522769512,0.0,21.570143975205934,1.090361815586408,0.0,1.7275544693133247,0.0,VA
2024-07-16_10-25-42,2024-07-16_10-25-58,5,3,-125.43583303571427,-25.021205357142833,-0.3063616071428328,112.5024318392857,135.0048488392857,0.0009370117187472715,45.001671875,44.99987396240235,-0.0019624953270067635,6787.0666666666675,23786.6,0.0,13142.933333333334,142.53333333333336,0.0,45.733333333333334,0.0,14.888996682860183,59.84725000644001,0.0,32.61754810595733,2.1307275752662513,0.0,1.9675139417831604,0.0,VR
2024-07-16_10-26-09,2024-07-16_10-26-24,5,3,-125.43583303571427,-25.021205357142833,-0.3063616071428328,112.5024318392857,135.0048488392857,0.0009370117187472715,135.001671875,44.99987396240235,-0.0019624953270067635,6775.266666666667,25558.000000000004,0.0,12103.866666666665,115.0,0.0,67.66666666666666,0.0,14.70389215291133,37.42503618346078,0.0,14.270638076523065,2.3142073276946378,0.0,1.5238839267549948,0.0,VL
2024-07-16_10-26-44,2024-07-16_10-26-59,5,3,-125.43583303571427,-25.021205357142833,-0.3063616071428328,112.5024318392857,135.0048488392857,0.0009370117187472715,-0.00028125000000045475,67.5019873046875,-0.0019624953270067635,23593.2,23456.6,0.0,13123.666666666666,798.9333333333334,0.0,312.26666666666665,0.0,61.89710099117035,43.24778735509064,0.0,34.83086115629184,11.472866540959439,0.0,6.6193319568938,0.0,DH
2024-07-16_10-27-06,2024-07-16_10-27-22,5,3,-125.43583303571427,-25.021205357142833,-0.3063616071428328,112.5024318392857,135.0048488392857,45.00203564453125,-0.00028125000000045475,67.49990447998047,-0.0019624953270067635,23606.933333333334,29330.6,0.0,10635.066666666668,731.3333333333334,0.0,375.6,0.0,29.6234516707436,31.15577349741486,0.0,19.662541940338045,6.041522986797284,0.0,6.9357367629145505,0.0,DV
2024-07-16_10-27-26,2024-07-16_10-27-42,5,3,-125.43583303571427,-25.021205357142833,-0.3063616071428328,112.5024318392857,135.0048488392857,67.50206616210937,-0.00028125000000045475,67.49990447998047,-0.0019624953270067635,23534.266666666666,7752.266666666667,0.0,20343.0,164.26666666666668,0.0,630.6,0.0,43.555507369587566,23.005651479582237,0.0,36.21110940643011,3.0484968973796436,0.0,6.593262554389231,0.0,DD
2024-07-16_10-27-49,2024-07-16_10-28-05,5,3,-125.43583303571427,-25.021205357142833,-0.3063616071428328,112.5024318392857,135.0048488392857,22.499398735046388,-0.00028125000000045475,67.49990447998047,-0.0019624953270067635,23542.533333333333,44964.86666666666,0.0,3449.933333333333,1375.8666666666666,0.0,57.733333333333334,0.0,38.882815398750665,38.46709993978968,0.0,20.896145311728862,11.194046036472567,0.0,0.8393118874676112,0.0,DA
2024-07-16_10-28-16,2024-07-16_10-28-31,5,3,-125.43583303571427,-25.021205357142833,-0.3063616071428328,112.5024318392857,135.0048488392857,0.0009370117187472715,45.001671875,67.49990447998047,-0.0019624953270067635,23607.0,23818.0,0.0,13086.333333333332,310.9333333333333,0.0,552.4,0.0,24.39444381183745,57.577387536736374,0.0,14.852235147912522,4.570922591045854,0.0,5.442017599710199,0.0,DR
2024-07-16_10-28-43,2024-07-16_10-28-58,5,3,-125.43583303571427,-25.021205357142833,-0.3063616071428328,112.5024318392857,135.0048488392857,0.0009370117187472715,135.001671875,67.49990447998047,-0.0019624953270067635,23626.0,25503.933333333334,0.0,12137.333333333332,1122.9333333333334,0.0,185.60000000000002,0.0,37.121123067301866,55.15960679901745,0.0,18.12272974287623,3.0411985941218753,0.0,5.957628163399704,0.0,DL
2024-07-16_10-29-21,2024-07-16_10-29-36,5,3,-125.43583303571427,-25.021205357142833,-0.3063616071428328,112.5024318392857,135.0048488392857,0.0009370117187472715,-0.00028125000000045475,22.499841537475586,-0.0019624953270067635,25284.4,23458.933333333334,0.0,13085.0,576.4666666666666,0.0,492.4,0.0,70.20647326912841,54.06512533766809,0.0,22.963255673164287,3.547456052503595,0.0,5.422586508710062,0.0,AH
2024-07-16_10-29-43,2024-07-16_10-29-58,5,3,-125.43583303571427,-25.021205357142833,-0.3063616071428328,112.5024318392857,135.0048488392857,45.00203564453125,-0.00028125000000045475,22.499841537475586,-0.0019624953270067635,25286.333333333332,29354.6,0.0,10637.933333333332,952.0666666666666,0.0,291.4666666666667,0.0,39.12515530675605,32.025233106966574,0.0,9.895228928910978,11.281942307166005,0.0,3.079682523320292,0.0,AV
2024-07-16_10-30-03,2024-07-16_10-30-18,5,3,-125.43583303571427,-25.021205357142833,-0.3063616071428328,112.5024318392857,135.0048488392857,67.50206616210937,-0.00028125000000045475,22.499841537475586,-0.0019624953270067635,25311.466666666667,7708.333333333333,0.0,20292.399999999998,100.26666666666667,0.0,691.1333333333333,0.0,42.1654940548414,22.343778651885277,0.0,23.439141053659355,2.8836705005176233,0.0,4.426686746942402,0.0,AD
2024-07-16_10-30-26,2024-07-16_10-30-41,5,3,-125.43583303571427,-25.021205357142833,-0.3063616071428328,112.5024318392857,135.0048488392857,22.499398735046388,-0.00028125000000045475,22.499841537475586,-0.0019624953270067635,25383.93333333333,44990.26666666667,0.0,3432.6,1423.6666666666665,0.0,70.0,0.0,40.969961896220696,67.11444620116292,0.0,14.649383756474032,5.805170109479995,0.0,1.6766368453279066,0.0,AA
2024-07-16_10-30-52,2024-07-16_10-31-07,5,3,-125.43583303571427,-25.021205357142833,-0.3063616071428328,112.5024318392857,135.0048488392857,0.0009370117187472715,45.001671875,22.499841537475586,-0.0019624953270067635,25353.333333333332,23810.466666666667,0.0,13130.266666666666,1107.1333333333332,0.0,235.26666666666665,0.0,26.925411376203296,38.627508908088366,0.0,33.1787080319091,10.298112016826758,0.0,5.196580071974687,0.0,AR
2024-07-16_10-31-19,2024-07-16_10-31-34,5,3,-125.43583303571427,-25.021205357142833,-0.3063616071428328,112.5024318392857,135.0048488392857,0.0009370117187472715,135.001671875,22.499841537475586,-0.0019624953270067635,25279.93333333333,25545.066666666666,0.0,12133.000000000002,408.53333333333336,0.0,552.5333333333333,0.0,55.702523381900065,24.028085418711356,0.0,23.457763462586648,5.331874800563957,0.0,5.5041398561042705,0.0,AL
2024-07-16_10-32-00,2024-07-16_10-32-15,5,3,-125.43583303571427,-25.021205357142833,-0.3063616071428328,112.5024318392857,135.0048488392857,0.0009370117187472715,-0.00028125000000045475,0.0008581542968499889,45.000703918457035,23602.6,23465.06666666667,0.0,13081.266666666666,332.79999999999995,0.0,568.9333333333333,0.0,45.321125807336585,53.33004156508145,0.0,18.964704057801693,2.477902338672775,0.0,2.8952067667477968,0.0,RH
