start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2024-06-25_14-27-58,2024-06-25_14-28-14,5,3,-67.43806517857143,-34.99051339285711,-0.3138950892857224,0.004534517857141651,8.171143482142858,0.0008469238281350044,45.001916015625,67.50250610351563,-0.0024834399223436776,25446.466666666667,25714.933333333334,0.0,12786.266666666666,1387.8666666666666,0.0,77.4,0.0,41.37546240090736,64.08262028211902,0.0,20.58003347367984,16.408195784085738,0.0,2.829212689856392,0.0,
2024-06-25_14-28-15,2024-06-25_14-28-30,5,3,-67.43806517857143,-33.21261160714283,-0.3138950892857224,0.004534517857141651,8.171143482142858,0.0008469238281350044,45.001916015625,67.50250610351563,-0.0024834399223436776,25534.73333333333,25775.333333333336,0.0,12833.8,1203.9333333333334,0.0,156.86666666666667,0.0,78.12834170630933,57.94873213069927,0.0,9.680220383166215,7.787739652099896,0.0,2.344260129668966,0.0,
2024-06-25_14-28-31,2024-06-25_14-28-47,5,3,-67.43806517857143,-31.419642857142833,-0.3138950892857224,0.004534517857141651,8.171143482142858,0.0008469238281350044,45.001916015625,67.50250610351563,-0.0024834399223436776,25556.4,25733.06666666667,0.0,13034.733333333334,890.0,0.0,299.33333333333337,0.0,49.87433096181692,40.16679114780192,0.0,28.905093745643764,8.488554385497881,0.0,5.651941652604393,0.0,
2024-06-25_14-28-48,2024-06-25_14-29-03,5,3,-67.43806517857143,-29.624162946428555,-0.3138950892857224,0.004534517857141651,8.171143482142858,0.0008469238281350044,45.001916015625,67.50250610351563,-0.0024834399223436776,25792.8,25959.8,0.0,13161.8,576.8000000000001,0.0,456.0,0.0,27.61935714112289,24.2545757424128,0.0,25.20374751676582,5.441200847852116,0.0,6.673330003329174,0.0,
2024-06-25_14-29-05,2024-06-25_14-29-20,5,3,-67.43806517857143,-27.84375,-0.3138950892857224,0.004534517857141651,8.171143482142858,0.0008469238281350044,45.001916015625,67.50250610351563,-0.0024834399223436776,25637.733333333337,25918.266666666666,0.0,13194.333333333334,302.33333333333337,0.0,607.4666666666667,0.0,43.1918716632863,44.797122923488985,0.0,20.961605112416706,7.261006970263994,0.0,3.22765824984271,0.0,
2024-06-25_14-29-21,2024-06-25_14-29-37,5,3,-67.43806517857143,-26.048270089285722,-0.3138950892857224,0.004534517857141651,8.171143482142858,0.0008469238281350044,45.001916015625,67.50250610351563,-0.0024834399223436776,25576.466666666667,25778.6,0.0,13144.533333333331,108.13333333333335,0.0,692.0666666666666,0.0,51.31131562444192,62.49385747593326,0.0,32.331546342371134,1.0143416036468618,0.0,6.234670088393704,0.0,
2024-06-25_14-29-38,2024-06-25_14-29-53,5,3,-67.43806517857143,-24.262834821428555,-0.3138950892857224,0.004534517857141651,8.171143482142858,0.0008469238281350044,45.001916015625,67.50250610351563,-0.0024834399223436776,25523.466666666667,25969.26666666667,0.0,13168.733333333332,45.53333333333334,0.0,743.9999999999999,0.0,70.40214643192516,48.06134968281009,0.0,28.12381355522221,1.8577166390790356,0.0,4.974378799854761,0.0,
2024-06-25_14-29-55,2024-06-25_14-30-10,5,3,-67.43806517857143,-22.467354910714278,-0.3138950892857224,0.004534517857141651,8.171143482142858,0.0008469238281350044,45.001916015625,67.50250610351563,-0.0024834399223436776,25572.733333333334,26059.0,0.0,13135.2,79.6,0.0,747.0,0.0,43.18698363576168,22.894929084358008,0.0,23.180834995985492,2.610661899893505,0.0,6.806043066438976,0.0,
2024-06-25_14-30-11,2024-06-25_14-30-26,5,3,-67.43806517857143,-20.689453125,-0.3138950892857224,0.004534517857141651,8.171143482142858,0.0008469238281350044,45.001916015625,67.50250610351563,-0.0024834399223436776,25525.800000000003,26192.6,0.0,13052.533333333333,198.66666666666666,0.0,693.8000000000001,0.0,41.72896675771736,42.89410733940577,0.0,31.05275081749342,2.562550812504347,0.0,4.199999999999999,0.0,
2024-06-25_14-30-27,2024-06-25_14-30-43,5,3,-67.43806517857143,-18.891462053571445,-0.3138950892857224,0.004534517857141651,8.171143482142858,0.0008469238281350044,45.001916015625,67.50250610351563,-0.0024834399223436776,25460.733333333334,26288.2,0.0,12903.466666666667,370.99999999999994,0.0,632.8,0.0,42.0637611252252,19.494044674663737,0.0,27.190807270105235,4.554606947305599,0.0,7.4525163535546834,0.0,
2024-06-25_14-30-44,2024-06-25_14-30-59,5,3,-67.43806517857143,-17.101004464285722,-0.3138950892857224,0.004534517857141651,8.171143482142858,0.0008469238281350044,45.001916015625,67.50250610351563,-0.0024834399223436776,25409.4,26409.266666666663,0.0,12829.733333333334,561.4666666666667,0.0,536.6666666666667,0.0,53.85633151677166,42.397903512110005,0.0,11.64350080994157,6.952697318307487,0.0,4.2946995755750415,0.0,
2024-06-25_14-31-00,2024-06-25_14-31-15,5,3,-67.43806517857143,-15.315569196428555,-0.3138950892857224,0.004534517857141651,8.171143482142858,0.0008469238281350044,45.001916015625,67.50250610351563,-0.0024834399223436776,25634.133333333335,26776.066666666662,0.0,12948.133333333333,764.3333333333333,0.0,448.4666666666667,0.0,27.494363058633972,46.322588682220776,0.0,21.574573511942816,5.617433182117561,0.0,4.669760878960153,0.0,
2024-06-25_14-31-16,2024-06-25_14-31-32,5,3,-67.43806517857143,-13.522600446428555,-0.3138950892857224,0.004534517857141651,8.171143482142858,0.0008469238281350044,45.001916015625,67.50250610351563,-0.0024834399223436776,25385.533333333333,26670.86666666667,0.0,12770.000000000002,926.4,0.0,363.66666666666663,0.0,65.8561226378297,27.619357141122958,0.0,21.89672730493453,8.050120772040897,0.0,4.86141268905791,0.0,
2024-06-25_14-31-33,2024-06-25_14-31-48,5,3,-67.43806517857143,-11.739676339285722,-0.3138950892857224,0.004534517857141651,8.171143482142858,0.0008469238281350044,45.001916015625,67.50250610351563,-0.0024834399223436776,25600.4,26741.86666666667,0.0,12846.466666666665,1061.6666666666667,0.0,294.0,0.0,53.37762743988415,41.15264268549489,0.0,28.468423052763526,5.067324518695989,0.0,1.6566364853052244,0.0,
