start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2024-06-28_12-00-54,2024-06-28_12-01-09,5,3,-89.9481098214286,-0.9919084821428328,-0.3063616071428328,67.49197871428572,45.00736,0.0008469238281350044,-0.00028125000000045475,0.0008581542968499889,-0.0030043249130358163,3764.4666666666662,28647.466666666667,0.0,13514.733333333332,5.533333333333333,0.0,1.0,0.0,7.425631286294788,17.59848478326072,0.0,27.337479360354,0.3590109871423002,0.0,0.23570226039551584,0.0,
2024-06-28_12-01-10,2024-06-28_12-01-25,5,3,-88.06976160714288,-0.9919084821428328,-0.3063616071428328,67.49197871428572,45.00736,0.0008469238281350044,-0.00028125000000045475,0.0008581542968499889,-0.0030043249130358163,3882.333333333333,28695.4,0.0,13519.133333333335,9.6,0.0,4.0,0.0,13.267336666498707,51.4860714713757,0.0,25.959070348017672,0.896908269804914,0.0,0.6582805886043833,0.0,
2024-06-28_12-01-26,2024-06-28_12-01-41,5,3,-86.19392455357143,-0.9919084821428328,-0.3063616071428328,67.49197871428572,45.00736,0.0008469238281350044,-0.00028125000000045475,0.0008581542968499889,-0.0030043249130358163,4372.866666666666,28686.73333333333,0.0,13443.6,27.8,0.0,12.799999999999999,0.0,12.481363885587328,15.531831114771542,0.0,23.912432842444996,1.3399834161494517,0.0,0.08164965809277275,0.0,
2024-06-28_12-01-42,2024-06-28_12-01-57,5,3,-84.31557633928571,-0.9919084821428328,-0.3063616071428328,67.49197871428572,45.00736,0.0008469238281350044,-0.00028125000000045475,0.0008581542968499889,-0.0030043249130358163,5195.2,28504.266666666663,0.0,13441.2,59.4,0.0,28.4,0.0,13.090115015197988,30.4584233924798,0.0,46.90849247915202,2.8507309004300385,0.0,1.1850925889754123,0.0,
2024-06-28_12-01-58,2024-06-28_12-02-13,5,3,-82.44727276785716,-0.9919084821428328,-0.3063616071428328,67.49197871428572,45.00736,0.0008469238281350044,-0.00028125000000045475,0.0008581542968499889,-0.0030043249130358163,6279.2,28398.0,0.0,13344.933333333334,94.4,0.0,47.06666666666667,0.0,23.563766912595106,25.874483355013528,0.0,21.818799233688416,1.6646654652245025,0.0,1.7556258776351592,0.0,
2024-06-28_12-02-13,2024-06-28_12-02-29,5,3,-80.5789691964286,-0.9919084821428328,-0.3063616071428328,67.49197871428572,45.00736,0.0008469238281350044,-0.00028125000000045475,0.0008581542968499889,-0.0030043249130358163,7708.6,28229.06666666667,0.0,13241.06666666667,142.73333333333332,0.0,77.86666666666667,0.0,20.486960622687775,24.52875863145175,0.0,21.343330990681256,1.363818169698585,0.0,2.069889959501337,0.0,
2024-06-28_12-02-29,2024-06-28_12-02-44,5,3,-78.69308749999999,-0.9919084821428328,-0.3063616071428328,67.49197871428572,45.00736,0.0008469238281350044,-0.00028125000000045475,0.0008581542968499889,-0.0030043249130358163,9483.533333333335,28243.06666666667,0.0,13132.533333333335,214.66666666666669,0.0,101.86666666666666,0.0,23.794397099597383,24.038718767854707,0.0,33.95398847460103,5.609515724790035,0.0,1.7016332024133634,0.0,
2024-06-28_12-02-45,2024-06-28_12-03-00,5,3,-76.82227276785716,-0.9919084821428328,-0.3063616071428328,67.49197871428572,45.00736,0.0008469238281350044,-0.00028125000000045475,0.0008581542968499889,-0.0030043249130358163,11408.333333333334,28054.13333333334,0.0,12998.533333333335,274.7333333333333,0.0,141.20000000000002,0.0,29.951813152313647,58.42512777526112,0.0,24.595753924430014,5.871210361681059,0.0,3.0195658260382023,0.0,
2024-06-28_12-03-01,2024-06-28_12-03-16,5,3,-74.94141339285716,-0.9919084821428328,-0.3063616071428328,67.49197871428572,45.00736,0.0008469238281350044,-0.00028125000000045475,0.0008581542968499889,-0.0030043249130358163,13557.466666666669,27829.0,0.0,12868.066666666668,360.6,0.0,188.8,0.0,23.55268326303586,51.10240263975418,0.0,13.42319716841801,3.8099285499278803,0.0,2.914713631826558,0.0,
2024-06-28_12-03-17,2024-06-28_12-03-32,5,3,-73.06055401785716,-0.9919084821428328,-0.3063616071428328,67.49197871428572,45.00736,0.0008469238281350044,-0.00028125000000045475,0.0008581542968499889,-0.0030043249130358163,15949.8,27662.73333333333,0.0,12744.4,431.8666666666667,0.0,221.4666666666667,0.0,29.13981621233896,42.55550623727934,0.0,16.809851608836652,5.694636853117935,0.0,1.9453648615219818,0.0,
