start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2024-07-02_14-40-09,2024-07-02_14-40-24,5,3,-67.44559866071427,-34.99051339285711,-0.3063616071428328,-0.0055101250000006985,89.99731535714287,0.0008469238281350044,135.0026484375,67.5019873046875,-0.0019624953270067635,25772.266666666666,27240.8,0.0,12508.733333333334,1473.0,0.0,50.93333333333333,0.0,21.031035268013703,43.51137782235816,0.0,26.45864697976831,7.8796503024492415,0.0,2.276449477195183,0.0,
2024-07-02_14-40-26,2024-07-02_14-40-41,5,3,-67.44559866071427,-33.21261160714283,-0.3063616071428328,-0.0055101250000006985,89.99731535714287,0.0008469238281350044,135.0026484375,67.5019873046875,-0.0019624953270067635,26045.06666666667,27386.8,0.0,12502.866666666665,1258.8666666666666,0.0,144.06666666666666,0.0,38.84590640523724,39.579259439481284,0.0,19.44010745283513,9.487769905398087,0.0,3.9824615503479746,0.0,
2024-07-02_14-40-42,2024-07-02_14-40-57,5,3,-67.44559866071427,-31.417131696428555,-0.3063616071428328,-0.0055101250000006985,89.99731535714287,0.0008469238281350044,135.0026484375,67.5019873046875,-0.0019624953270067635,26291.73333333333,27548.4,0.0,12647.933333333334,926.8,0.0,297.26666666666665,0.0,57.36311242136966,30.49032633475737,0.0,13.392950052587976,11.29040890904015,0.0,5.3181032541896185,0.0,
2024-07-02_14-40-59,2024-07-02_14-41-14,5,3,-67.44559866071427,-29.634207589285722,-0.3063616071428328,-0.0055101250000006985,89.99731535714287,0.0008469238281350044,135.0026484375,67.5019873046875,-0.0019624953270067635,26158.0,27542.2,0.0,12692.333333333332,572.0,0.0,454.2,0.0,48.9512228879141,88.16352231318048,0.0,24.803673563047546,10.726395273136058,0.0,4.4329573775427935,0.0,
2024-07-02_14-41-15,2024-07-02_14-41-31,5,3,-67.44559866071427,-27.833705357142833,-0.3063616071428328,-0.0055101250000006985,89.99731535714287,0.0008469238281350044,135.0026484375,67.5019873046875,-0.0019624953270067635,26385.533333333333,27715.333333333332,0.0,12728.2,299.73333333333335,0.0,597.6000000000001,0.0,35.76009569959864,42.871513463681936,0.0,27.447039913258376,3.9135093657171134,0.0,5.21578799841831,0.0,
2024-07-02_14-41-32,2024-07-02_14-41-47,5,3,-67.44559866071427,-26.045758928571445,-0.3063616071428328,-0.0055101250000006985,89.99731535714287,0.0008469238281350044,135.0026484375,67.5019873046875,-0.0019624953270067635,25999.533333333333,27526.13333333334,0.0,12566.0,130.0,0.0,690.4666666666667,0.0,26.46813597936649,30.51549697376039,0.0,46.17262296113481,2.3190036174568105,0.0,7.2261869459472114,0.0,
2024-07-02_14-41-49,2024-07-02_14-42-04,5,3,-67.44559866071427,-24.2578125,-0.3063616071428328,-0.0055101250000006985,89.99731535714287,0.0008469238281350044,135.0026484375,67.5019873046875,-0.0019624953270067635,26176.333333333336,27614.93333333333,0.0,12672.066666666666,69.53333333333333,0.0,734.3333333333333,0.0,29.503860387715395,53.31264181953236,0.0,22.435933479824484,1.7081503967091947,0.0,8.111035007253328,0.0,
2024-07-02_14-42-05,2024-07-02_14-42-20,5,3,-67.44559866071427,-22.479910714285722,-0.3063616071428328,-0.0055101250000006985,89.99731535714287,0.0008469238281350044,135.0026484375,67.5019873046875,-0.0019624953270067635,26037.733333333334,27742.73333333333,0.0,12621.266666666666,113.93333333333332,0.0,717.1333333333334,0.0,58.8299243582715,25.031846382825115,0.0,26.624424876417518,2.15870331449229,0.0,4.425431554599437,0.0,
2024-07-02_14-42-22,2024-07-02_14-42-38,5,3,-67.44559866071427,-20.684430803571445,-0.3063616071428328,-0.0055101250000006985,89.99731535714287,0.0008469238281350044,135.0026484375,67.5019873046875,-0.0019624953270067635,26099.666666666664,27749.533333333333,0.0,12695.4,243.2,0.0,687.0666666666667,0.0,27.997420516103656,42.19776192064097,0.0,20.791130587611246,4.3977266854592045,0.0,3.0955164709983842,0.0,
2024-07-02_14-42-39,2024-07-02_14-42-54,5,3,-67.44559866071427,-18.898995535714278,-0.3063616071428328,-0.0055101250000006985,89.99731535714287,0.0008469238281350044,135.0026484375,67.5019873046875,-0.0019624953270067635,25938.066666666666,27600.26666666667,0.0,12559.733333333334,422.2666666666666,0.0,606.2,0.0,34.2577485152384,22.272404450350727,0.0,28.666744185941834,6.695271963607354,0.0,2.8296053906272265,0.0,
